location,price,beds,baths,house_size,land_size
11,32500000,4,4,3500,11
28,13000000,3,3,1500,10.7
17,22500000,4,4,2800,10
17,33000000,6,5,3900,12
17,16000000,3,3,1600,10
17,11000000,3,3,1300,6.5
17,23000000,4,4,2800,9
9,13500000,3,3,1650,10
17,105000000,5,5,6600,40
26,30000000,4,2,2600,11
3,7500000,3,2,1200,4.4
1,14000000,3,2,1288,8
16,18000000,2,2,1500,7
16,22000000,4,3,2850,8
9,18000000,4,2,2537,6.3
31,32000000,3,2,2000,6.1
1,26000000,4,2,2700,13
1,10000000,2,1,700,7.5
11,30000000,3,3,2500,11
31,42000000,5,4,3455,12.25
22,7200000,3,2,2500,11.5
32,127500000,5,4,9000,18
32,39000000,5,5,4000,10
17,21500000,4,3,2850,6
9,8000000,2,2,1800,6
18,12500000,3,3,1200,7
7,22000000,4,2,1100,13
24,80000000,9,4,5000,20
17,18000000,4,4,2200,7
7,25000000,5,3,2725,12
22,16000000,4,2,2100,6
8,16000000,4,2,2100,6
23,56000000,9,7,4500,10
18,29000000,4,4,3000,6
17,21000000,4,4,2450,7
17,30000000,4,4,2900,8
17,19000000,3,3,2400,10
17,20000000,4,4,2500,10
9,11000000,3,3,1400,9
1,10000000,2,1,700,7.5
17,33000000,6,6,3800,12
17,24000000,4,4,2900,7
9,27000000,5,4,5480,12.8
1,27000000,5,4,5408,12.8
18,16500000,3,2,2200,7.1
17,16000000,3,2,1600,10
24,29000000,5,2,1600,7
9,6400000,2,1,1000,6
24,40000000,4,3,3000,14
33,9500000,3,1,1600,7
31,40000000,3,3,2400,14.5
3,4000000,2,2,1000,1.7
17,28000000,4,5,3500,6
17,68000000,6,6,5300,21
11,12000000,4,2,1976,6.85
32,55000000,3,3,2000,20
8,12500000,4,3,1850,9
31,42000000,4,3,2980,8
11,28000000,6,4,3650,12.5
17,15500000,6,3,2500,12
24,28000000,4,2,2000,7
22,13000000,4,2,1550,7
8,12800000,3,1,1200,7.5
17,7200000,2,1,1000,6
1,13000000,3,3,1580,8
1,26000000,4,4,2900,10
1,17000000,4,3,2100,6.2
17,46000000,5,4,3500,11.8
31,75000000,3,2,2000,36
17,23000000,4,4,2800,9
17,24000000,4,4,2900,7
24,5500000,2,1,871,3
18,22800000,4,4,1885,5.5
22,14000000,3,2,1200,9.7
9,20000000,4,3,2700,10
35,37500000,3,1,1200,10.56
35,57000000,4,3,3000,7.5
35,85000000,4,3,2100,13.32
18,22500000,3,2,1800,10.5
7,15000000,3,2,2000,8.25
9,31000000,4,5,4000,10
11,32500000,4,4,3200,10
11,57500000,5,5,3800,20
29,5000000,2,1,1200,18
11,34000000,4,4,3300,8
11,42000000,5,5,4000,12.5
18,18000000,3,3,1800,10.5
7,23000000,5,2,2500,8.6
25,6900000,4,2,1500,10
12,40000000,20,20,1500,70
4,50000000,3,2,2500,6.5
22,16500000,6,3,2800,18
28,39500000,4,4,4000,20
7,27500000,4,4,3000,10
22,16000000,4,4,3200,7.2
9,19500000,4,3,2850,7.5
33,9600000,3,2,650,5.9
31,220000000,4,4,4000,14.5
12,45000000,3,2,2000,5.6
23,21000000,4,3,2000,4
30,57000000,5,5,3000,10.5
17,6900000,2,2,1077,3.5
17,9500000,3,1,2000,9.7
24,37500000,3,3,3200,6
25,11200000,3,3,1580,8
30,28500000,4,3,2500,6
34,60000000,4,3,2000,13.1
17,18000000,3,3,2300,6.5
31,47000000,5,3,4500,7.9
29,7900000,3,3,1600,20
18,17500000,4,2,714,5.35
1,10000000,2,1,700,7.5
25,9000000,3,3,1480,7.5
31,14000000,3,2,800,10.02
30,160000000,8,2,4000,12
23,26500000,3,2,1700,7.5
5,18000000,5,2,1582,5.4
31,21000000,3,2,1950,11.8
16,52500000,4,3,4500,12
23,14000000,3,1,800,3.8
24,40000000,4,4,3000,6
21,60000000,3,3,1000,120
30,39000000,4,4,3600,30
17,28500000,5,4,3500,10
25,7900000,3,2,2000,10
19,6800000,2,2,1200,4.2
17,24000000,4,4,2900,7
17,22500000,4,4,2800,10
17,30000000,4,4,2900,8
36,2500000,2,1,1400,4
