location,price,beds,baths,house_size,land_size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
16,27000000,4,2,2500,8.35,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0
18,18000000,3,3,1800,10.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
6,5500000,5,2,1500,15,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
28,23700000,4,3,3140,10,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
8,5900000,3,2,2400,10,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
2,24000000,4,3,2100,8.3,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0
25,11000000,3,2,1500,11,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
18,110000000,4,4,4500,22,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
25,3950000,3,1,1150,9.6,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
22,13500000,3,2,2100,13.5,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
31,100000000,7,6,8600,19.6,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
9,16000000,4,3,2200,7,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0
33,140000000,6,5,8000,53,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0
1,26000000,4,4,3800,10,1,1,0,0,0,2,1,1,1,0,0,0,0,0,0
18,30000000,5,4,3500,16,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
1,21000000,4,3,2500,9,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
18,12500000,3,3,1200,7,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
1,6000000,2,2,1200,4.6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
9,13500000,3,3,1650,10,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
8,5300000,3,1,1250,10,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
17,11000000,3,3,1300,6.5,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
17,23000000,4,4,2800,9,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
18,18000000,6,2,2000,10.2,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
