location,price,beds,baths,house_size,land_size,cluster
35,14000000,4,3,1800.0,11.0,0
32,21500000,4,3,2500.0,6.5,0
18,38000000,4,4,3499.0,6.0,0
28,12000000,3,2,1350.0,7.2,0
27,29000000,3,1,2000.0,10.0,0
33,11500000,5,3,2552.0,15.0,0
3,19500000,3,3,2040.0,6.5,0
35,18500000,5,3,2500.0,10.0,0
22,22500000,4,4,3200.0,8.0,0
32,21500000,4,3,2500.0,6.5,0
34,7300000,2,2,1000.0,8.0,0
18,38000000,4,4,3400.0,6.0,0
18,46000000,5,4,2850.0,7.9,0
18,46000000,5,4,3050.0,7.9,0
18,50000000,5,6,3750.0,12.0,0
30,35000000,4,3,2400.0,6.0,0
32,65000000,4,4,4000.0,18.12,2
35,21500000,4,3,2200.0,8.0,0
28,30000000,4,4,2400.0,10.0,0
38,30000000,5,4,3500.0,7.5,0
4,17000000,3,3,3500.0,9.0,0
18,50000000,5,6,3749.0,12.0,0
30,60000000,4,4,3450.0,6.0,2
35,25000000,5,2,4000.0,12.5,0
20,6800000,3,2,1200.0,10.0,0
18,80000000,10,10,6000.0,33.5,2
28,37000000,4,4,2900.0,10.0,0
32,80000000,5,4,5000.0,25.5,2
25,9000000,3,2,1380.0,6.5,0
25,13000000,3,3,1580.0,8.0,0
29,19800000,4,2,2200.0,8.6,0
21,7000000,5,4,2400.0,12.2,0
26,127500000,5,4,9000.0,18.0,2
31,38000000,7,4,1020.0,3.75,0
36,25000000,3,3,3500.0,17.0,0
32,59500000,7,5,5200.0,12.5,2
1,22500000,5,3,2400.0,18.5,0
39,230000000,4,2,1890.4,19.5,1
25,24800000,4,4,2500.0,7.0,0
38,21500000,4,3,2200.0,6.5,0
32,45000000,5,5,2400.0,10.5,0
38,32500000,4,4,3200.0,10.0,0
28,22500000,4,3,1883.0,5.5,0
1,31000000,4,5,4000.0,10.0,0
1,8300000,2,1,1600.0,12.0,0
28,19000000,3,3,2400.0,10.0,0
28,11800000,3,3,1500.0,8.0,0
28,11000000,3,3,1300.0,6.5,0
20,9500000,4,2,2000.0,12.0,0
3,85000000,4,2,5521.0,37.0,2
28,18000000,4,4,2200.0,7.0,0
28,23000000,4,4,2800.0,9.0,0
28,21000000,4,4,2450.0,7.0,0
35,28800000,6,5,3300.0,8.2,0
18,45000000,3,2,3500.0,14.5,0
9,25000000,2,2,800.0,6.5,0
34,26000000,3,2,1500.0,10.0,0
13,260000000,4,4,5000.0,20.1,1
28,20000000,4,3,2400.0,10.0,0
28,21000000,4,4,2800.0,7.0,0
28,21500000,4,3,2650.0,7.0,0
28,11000000,3,2,1500.0,7.0,0
28,28500000,5,4,3800.0,10.5,0
25,12500000,3,2,1537.0,10.0,0
23,33000000,4,4,2900.0,8.0,0
28,21500000,4,4,2400.0,6.0,0
32,37500000,5,3,3700.0,12.0,0
25,9500000,3,2,1100.0,9.0,0
27,47000000,4,3,3000.0,10.0,0
28,22500000,4,4,2800.0,8.0,0
17,75000000,4,3,2800.0,10.0,2
28,21500000,4,3,2200.0,6.5,0
28,16000000,3,3,1600.0,10.0,0
28,20000000,4,3,2500.0,10.0,0
28,28500000,5,4,3500.0,10.0,0
35,8000000,4,2,2420.0,5.0,0
3,49000000,5,5,6000.0,21.0,0
28,22500000,4,4,2850.0,8.0,0
27,29000000,4,2,3000.0,20.0,0
28,24000000,4,4,2850.0,8.0,0
28,30000000,5,4,2850.0,10.0,0
4,30000000,5,4,3500.0,7.6,0
20,4200000,2,1,1000.0,6.5,0
36,65000000,5,4,4500.0,11.5,2
28,24000000,5,4,2500.0,10.0,0
35,8700000,2,2,1200.0,6.0,0
36,32500000,4,4,3600.0,8.0,0
35,18500000,4,3,2300.0,10.0,0
28,23500000,4,4,2780.0,8.0,0
22,18500000,4,3,2000.0,9.0,0
21,13000000,3,2,2000.0,14.0,0
27,27000000,4,2,2500.0,8.35,0
28,33000000,6,6,3900.0,12.0,0
24,11000000,3,2,1633.0,7.5,0
28,16000000,3,3,1600.0,10.0,0
13,5500000,3,2,2000.0,2.0,0
28,21500000,4,3,2200.0,6.5,0
28,24000000,4,4,2650.0,8.0,0
28,11800000,3,3,1500.0,8.0,0
1,7200000,2,1,950.0,6.0,0
25,18500000,5,4,2600.0,9.7,0
28,19000000,3,3,2400.0,10.0,0
30,65000000,7,6,5000.0,18.0,2
28,28500000,5,4,3800.0,10.5,0
28,33000000,6,6,3800.0,12.0,0
28,24000000,4,4,2900.0,7.0,0
36,65000000,5,4,3500.0,12.0,2
28,25800000,4,3,3400.0,8.5,0
38,45000000,3,2,3000.0,11.5,0
18,37000000,4,5,4000.0,10.0,0
28,16000000,3,3,1600.0,10.0,0
1,31000000,4,5,4000.0,10.0,0
28,23000000,4,4,2800.0,9.0,0
28,18000000,4,4,2200.0,7.0,0
20,18500000,4,4,2382.0,8.5,0
27,27000000,4,2,2500.0,8.35,0
28,19000000,3,3,2400.0,10.0,0
28,22500000,4,4,2800.0,8.0,0
28,19000000,3,3,2400.0,10.0,0
28,26000000,5,4,3300.0,8.0,0
28,11000000,3,3,1300.0,6.5,0
28,28500000,5,4,3500.0,10.0,0
1,7900000,2,1,1300.0,12.0,0
20,18000000,5,3,3000.0,10.0,0
32,43000000,5,4,3209.0,7.85,0
27,18000000,2,2,1500.0,11.25,0
4,21000000,4,2,2500.0,16.0,0
28,21000000,4,4,2800.0,7.5,0
28,51000000,3,4,4000.0,27.1,0
1,8000000,2,1,1200.0,10.0,0
28,22500000,4,4,2800.0,8.0,0
28,18000000,4,4,2450.0,7.0,0
28,42500000,5,3,3500.0,17.0,0
28,21500000,4,3,2850.0,6.0,0
28,21000000,4,3,2850.0,7.0,0
27,42000000,5,3,4100.0,14.3,0
28,21000000,4,4,2850.0,7.5,0
28,24000000,5,4,2800.0,10.25,0
1,18000000,4,4,2200.0,8.0,0
28,20000000,4,3,2500.0,10.0,0
28,22500000,4,4,2850.0,8.0,0
28,24000000,4,4,2900.0,7.0,0
35,12500000,4,2,1750.0,6.5,0
28,19000000,3,3,2400.0,10.0,0
28,11800000,3,3,1500.0,8.0,0
28,21000000,4,4,2450.0,7.0,0
28,30000000,4,3,315.0,6.0,0
38,34000000,4,4,3300.0,8.0,0
38,21500000,4,3,2200.0,6.5,0
28,19500000,4,4,2750.0,10.5,0
28,21500000,4,3,2200.0,6.5,0
28,16000000,3,3,1600.0,10.0,0
28,18000000,3,3,2300.0,6.5,0
32,88000000,4,5,3000.0,16.0,2
28,19500000,3,3,2400.0,8.6,0
28,19500000,4,3,2250.0,6.5,0
26,6900000,2,1,650.0,3.5,0
1,8700000,3,1,1100.0,6.0,0
28,9865000,3,3,1905.0,3.5,0
3,25000000,4,3,3000.0,10.0,0
1,13400000,3,3,1750.0,7.0,0
28,18000000,3,3,1800.0,7.13,0
28,23000000,4,4,2300.0,11.0,0
28,19500000,4,3,2850.0,7.5,0
35,13000000,4,2,1600.0,11.5,0
28,22500000,5,4,2850.0,10.0,0
22,11000000,3,2,1600.0,8.3,0
28,31000000,5,4,3800.0,7.5,0
28,28800000,6,4,2850.0,12.0,0
35,60000000,6,4,4500.0,11.0,2
23,33000000,4,4,2900.0,8.0,0
20,9300000,3,3,1410.0,10.5,0
24,7500000,2,2,1127.0,2.5,0
24,19000000,6,3,2230.0,5.5,0
36,7500000,3,2,1500.0,3.0,0
18,48000000,4,4,3300.0,11.5,0
13,260000000,4,4,5000.0,20.1,1
35,16500000,4,3,2500.0,13.0,0
32,15000000,2,1,1400.0,7.5,0
35,68000000,5,4,3600.0,9.5,2
26,55000000,10,5,3500.0,12.0,2
25,19000000,4,4,2620.0,8.0,0
29,3900000,3,2,2000.0,15.0,0
35,8700000,2,2,1250.0,6.0,0
1,16000000,4,3,2200.0,7.0,0
38,12000000,3,2,1100.0,5.1,0
37,6300000,2,1,600.0,1.0,0
35,15900000,6,3,2750.0,8.5,0
1,18000000,4,4,2200.0,8.0,0
18,55000000,4,3,2000.0,15.2,2
1,13500000,3,3,1650.0,10.0,0
29,7000000,4,1,2000.0,7.0,0
28,24000000,4,4,2900.0,7.0,0
38,35300000,4,4,3200.0,10.5,0
29,7000000,2,1,1500.0,10.0,0
28,27000000,3,2,1500.0,10.0,0
20,11000000,3,2,1500.0,11.0,0
20,6800000,3,2,1200.0,10.0,0
34,24800000,4,4,2500.0,7.0,0
34,21000000,4,3,2500.0,9.0,0
3,16500000,3,2,2200.0,7.1,0
25,20000000,4,4,2500.0,8.0,0
28,18000000,4,4,2200.0,7.0,0
28,18000000,3,3,2300.0,6.5,0
26,24000000,6,3,2850.0,7.0,0
3,18000000,3,3,1800.0,10.5,0
28,23000000,4,4,2800.0,9.0,0
14,128250000,4,2,2000.0,22.5,2
28,12800000,3,3,1300.0,7.9,0
20,5800000,2,1,720.0,6.0,0
9,50000000,7,4,3000.0,17.75,0
28,20000000,4,4,2500.0,10.0,0
23,140000000,9,6,2200.0,20.0,2
18,8900000,5,2,1500.0,2.5,0
28,16000000,7,4,3000.0,21.0,0
37,13500000,3,2,1600.0,6.0,0
28,14000000,5,4,1950.0,6.6,0
28,29000000,4,3,3200.0,10.5,0
20,24000000,5,3,3000.0,9.5,0
20,2800000,2,1,1200.0,5.8,0
29,15900000,4,3,2200.0,8.0,0
20,31500000,5,4,4000.0,6.0,0
34,11000000,3,1,2000.0,9.3,0
4,32000000,4,5,3223.0,6.2,0
34,40000000,4,3,3800.0,22.0,0
28,22500000,4,4,2800.0,8.0,0
38,80000000,4,4,4800.0,18.5,2
28,33000000,6,6,3900.0,12.0,0
15,525000000,4,6,11715.0,22.3,1
38,35000000,4,4,3250.0,8.0,0
35,9800000,3,2,960.0,10.0,0
12,200000000,6,4,4000.0,8.8,1
39,12500000,4,2,1520.0,4.5,0
23,30000000,3,3,2850.0,7.5,0
38,34000000,4,3,2850.0,7.5,0
28,18500000,3,2,1950.0,8.0,0
13,130000000,4,2,1850.0,23.0,2
26,29000000,6,3,2650.0,9.6,0
38,78000000,6,6,6000.0,11.3,2
34,25000000,5,4,2800.0,10.0,0
28,23000000,4,4,3000.0,8.0,0
31,41000000,3,2,2600.0,11.0,0
38,34000000,4,4,3300.0,8.0,0
22,13000000,4,3,1900.0,10.0,0
33,5900000,3,1,1200.0,12.0,0
34,21000000,4,3,2600.0,10.7,0
38,33500000,5,4,4200.0,7.0,0
26,130000000,4,3,3500.0,26.0,2
25,13000000,3,2,1400.0,8.0,0
21,13000000,3,2,2000.0,14.0,0
1,29500000,4,3,4500.0,11.0,0
25,11700000,3,2,1550.0,8.7,0
32,37500000,5,5,4000.0,6.0,0
34,12900000,3,2,1200.0,10.9,0
27,15500000,3,1,1500.0,10.8,0
30,23000000,5,5,2500.0,11.6,0
21,150000000,5,2,1600.0,13.0,1
1,7500000,3,2,1050.0,6.0,0
35,11000000,4,2,2624.0,8.5,0
25,9700000,3,2,1100.0,7.4,0
32,38500000,6,4,2900.0,9.85,0
19,11000000,5,2,1100.0,12.0,0
13,250000000,6,7,3800.0,15.0,1
32,31100000,3,2,7988.0,7.5,0
13,125000000,5,4,4200.0,12.0,2
3,12500000,3,2,1400.0,10.0,0
32,250000000,6,7,3500.0,15.0,1
38,36000000,4,4,3000.0,8.8,0
3,45000000,4,3,3800.0,10.0,0
34,39000000,5,3,4000.0,7.2,0
3,255000000,4,4,3500.0,23.5,1
4,24000000,4,3,2300.0,7.0,0
26,30000000,3,3,2250.0,6.38,0
36,30000000,4,1,1700.0,5.5,0
4,21000000,5,3,2500.0,9.8,0
25,13000000,3,3,1580.0,8.0,0
28,22500000,4,4,2800.0,8.0,0
25,20000000,4,4,2100.0,10.1,0
25,15500000,3,3,1645.0,7.0,0
4,24000000,4,3,2850.0,7.0,0
28,19000000,3,3,2400.0,10.0,0
28,24000000,4,4,2900.0,7.0,0
28,16500000,3,2,1550.0,10.0,0
3,120000000,4,4,4000.0,17.4,2
29,50000000,4,3,3500.0,19.0,0
4,23000000,5,2,2500.0,8.6,0
13,36000000,4,2,2500.0,6.5,0
35,22000000,4,3,2200.0,8.0,0
35,8700000,2,2,1250.0,6.0,0
34,13000000,3,3,1650.0,8.5,0
13,25000000,4,2,2500.0,7.0,0
3,45000000,4,5,2800.0,7.5,0
27,33000000,8,3,2850.0,15.0,0
37,11000000,2,1,900.0,7.1,0
13,70000000,6,6,3050.0,22.0,2
32,35000000,5,3,2500.0,10.0,0
38,100000000,6,4,4000.0,17.0,2
27,8000000,3,1,1950.0,9.0,0
28,19000000,3,3,2400.0,10.0,0
28,23000000,4,4,2800.0,9.0,0
28,11000000,3,3,1300.0,6.5,0
1,8700000,3,1,1100.0,7.0,0
3,22500000,3,2,1800.0,10.5,0
28,21000000,4,4,2450.0,7.0,0
28,29000000,4,3,3000.0,10.0,0
35,21500000,4,4,2900.0,8.5,0
38,32000000,5,4,2800.0,9.5,0
28,23000000,4,3,3200.0,8.0,0
3,15800000,3,2,1850.0,10.0,0
3,170000000,6,5,5544.0,20.0,1
27,18000000,3,3,1950.0,8.0,0
32,115000000,5,5,6500.0,14.8,2
34,21000000,4,3,2100.0,8.8,0
32,52500000,5,4,4500.0,17.5,2
28,15500000,3,2,1700.0,10.0,0
38,16500000,3,2,2650.0,7.7,0
28,29000000,3,3,2100.0,7.2,0
28,29000000,4,3,2650.0,12.0,0
23,105000000,4,4,4600.0,37.0,2
18,16000000,4,2,3000.0,6.3,0
28,13000000,3,1,1800.0,10.0,0
2,8500000,4,2,2500.0,98.0,0
33,6000000,3,2,1650.0,9.64,0
38,14300000,2,1,1000.0,10.0,0
20,19600000,3,3,1900.0,6.5,0
28,11800000,3,3,1500.0,8.0,0
28,16000000,3,3,1600.0,10.0,0
38,21500000,4,3,2200.0,6.5,0
29,28000000,4,4,3680.0,10.0,0
37,56000000,4,2,2500.0,18.69,2
39,13500000,6,4,1500.0,9.0,0
28,24000000,4,4,2900.0,7.0,0
27,43000000,4,4,4100.0,11.6,0
25,21500000,4,3,2500.0,9.0,0
28,18000000,3,3,2300.0,6.5,0
28,11000000,3,3,1300.0,6.5,0
28,23000000,4,4,2800.0,9.0,0
28,21000000,4,4,2450.0,7.0,0
20,5500000,3,1,1500.0,20.0,0
28,30000000,5,4,3500.0,16.0,0
28,20000000,4,4,2500.0,10.0,0
18,50000000,4,4,4400.0,7.0,0
34,14500000,3,1,1200.0,16.3,0
32,47000000,5,4,4000.0,13.5,0
35,5500000,1,1,850.0,6.5,0
20,5500000,3,1,600.0,15.0,0
28,19500000,4,4,2650.0,10.5,0
3,50000000,6,5,3600.0,17.6,0
38,47500000,5,4,4800.0,10.25,0
35,9500000,3,1,1600.0,10.0,0
4,27500000,4,2,1200.0,8.0,0
13,40000000,5,3,2400.0,7.85,0
29,12500000,3,1,1200.0,6.0,0
28,23000000,4,3,2128.0,6.0,0
22,12500000,3,3,2000.0,8.0,0
28,46000000,4,4,3500.0,11.8,0
28,21000000,4,4,2450.0,7.0,0
22,12500000,3,3,2000.0,8.0,0
37,16500000,6,3,3000.0,12.0,0
29,10500000,2,1,1000.0,7.1,0
28,20000000,4,4,2500.0,10.0,0
28,22500000,4,4,2800.0,10.0,0
28,33000000,6,6,3900.0,12.0,0
28,21500000,4,3,2200.0,6.5,0
35,24000000,5,4,3600.0,11.5,0
35,21500000,5,3,3500.0,24.0,0
34,8800000,4,2,1300.0,8.0,0
29,17500000,5,4,2600.0,10.5,0
1,8000000,3,2,1000.0,6.8,0
3,36000000,4,4,3500.0,7.75,0
3,45000000,5,5,3150.0,7.5,0
3,26500000,4,3,2500.0,7.8,0
26,37000000,5,5,3750.0,9.4,0
30,72000000,3,3,4100.0,6.0,2
32,32000000,4,3,2500.0,8.0,0
32,29500000,3,3,2800.0,8.7,0
23,36000000,4,3,2500.0,8.0,0
18,75000000,4,4,2500.0,13.25,2
32,55000000,4,4,3500.0,13.0,2
38,32000000,4,3,3150.0,9.2,0
18,46000000,4,4,3200.0,16.0,0
22,10500000,3,2,1500.0,8.3,0
38,33500000,5,4,3800.0,7.8,0
28,21000000,4,4,2800.0,7.5,0
22,13000000,4,3,1600.0,11.5,0
35,21000000,4,3,2200.0,7.0,0
22,10000000,2,2,1240.0,6.0,0
35,11800000,3,2,1500.0,6.5,0
30,30000000,4,3,5000.0,12.0,0
18,95000000,6,5,4500.0,25.0,2
20,17000000,4,3,3000.0,16.25,0
27,42000000,5,3,3968.0,13.64,0
19,16900000,3,2,2700.0,28.0,0
38,13500000,4,3,1850.0,7.0,0
18,40000000,5,5,4300.0,12.5,0
38,35000000,4,4,3000.0,8.8,0
35,22000000,4,4,1130.0,8.3,0
14,60000000,5,5,3500.0,8.6,2
36,22000000,5,2,2723.0,10.0,0
38,45000000,4,4,4000.0,12.0,0
25,14000000,3,2,1288.0,8.0,0
21,16000000,3,3,2200.0,6.8,0
3,16500000,3,2,2200.0,7.1,0
1,8300000,2,1,1600.0,12.0,0
25,18000000,5,4,2880.0,7.8,0
19,15000000,3,1,2034.0,14.7,0
1,19000000,4,4,2400.0,8.0,0
27,15500000,4,2,1300.0,6.8,0
28,30000000,5,4,3500.0,16.0,0
25,14000000,3,1,1950.0,18.5,0
21,19000000,4,2,2000.0,14.0,0
1,4600000,2,1,1144.0,10.0,0
13,6300000,2,1,1000.0,6.9,0
3,30000000,4,2,2200.0,13.0,0
25,20000000,4,4,2500.0,8.0,0
37,18000000,3,2,2450.0,10.0,0
32,75000000,5,4,4850.0,21.5,2
21,6700000,3,1,1200.0,12.0,0
