location,price,beds,baths,house_size,land_size
28,18000000,4,4,2200,7
28,23000000,4,4,2800,9
28,21000000,4,4,2450,7
35,28800000,6,5,3300,8.2
18,45000000,3,2,3500,14.5
9,25000000,2,2,800,6.5
34,26000000,3,2,1500,10
13,260000000,4,4,5000,20.1
28,20000000,4,3,2400,10
28,21000000,4,4,2800,7
28,21500000,4,3,2650,7
28,11000000,3,2,1500,7
28,28500000,5,4,3800,10.5
25,12500000,3,2,1537,10
23,33000000,4,4,2900,8
28,21500000,4,4,2400,6
32,37500000,5,3,3700,12
25,9500000,3,2,1100,9
27,47000000,4,3,3000,10
28,22500000,4,4,2800,8
17,75000000,4,3,2800,10
28,21500000,4,3,2200,6.5
28,16000000,3,3,1600,10
28,20000000,4,3,2500,10
28,28500000,5,4,3500,10
35,8000000,4,2,2420,5
3,49000000,5,5,6000,21
28,22500000,4,4,2850,8
27,29000000,4,2,3000,20
28,24000000,4,4,2850,8
28,30000000,5,4,2850,10
4,30000000,5,4,3500,7.6
20,4200000,2,1,1000,6.5
36,65000000,5,4,4500,11.5
28,24000000,5,4,2500,10
35,8700000,2,2,1200,6
36,32500000,4,4,3600,8
35,18500000,4,3,2300,10
28,23500000,4,4,2780,8
22,18500000,4,3,2000,9
21,13000000,3,2,2000,14
27,27000000,4,2,2500,8.35
28,33000000,6,6,3900,12
24,11000000,3,2,1633,7.5
28,16000000,3,3,1600,10
13,5500000,3,2,2000,2
28,21500000,4,3,2200,6.5
28,24000000,4,4,2650,8
28,11800000,3,3,1500,8
1,7200000,2,1,950,6
25,18500000,5,4,2600,9.7
28,19000000,3,3,2400,10
30,65000000,7,6,5000,18
28,28500000,5,4,3800,10.5
28,33000000,6,6,3800,12
28,24000000,4,4,2900,7
36,65000000,5,4,3500,12
28,25800000,4,3,3400,8.5
38,45000000,3,2,3000,11.5
18,37000000,4,5,4000,10
28,16000000,3,3,1600,10
1,31000000,4,5,4000,10
28,23000000,4,4,2800,9
28,18000000,4,4,2200,7
20,18500000,4,4,2382,8.5
27,27000000,4,2,2500,8.35
28,19000000,3,3,2400,10
28,22500000,4,4,2800,8
28,19000000,3,3,2400,10
28,26000000,5,4,3300,8
28,11000000,3,3,1300,6.5
28,28500000,5,4,3500,10
1,7900000,2,1,1300,12
20,18000000,5,3,3000,10
32,43000000,5,4,3209,7.85
27,18000000,2,2,1500,11.25
4,21000000,4,2,2500,16
28,21000000,4,4,2800,7.5
28,51000000,3,4,4000,27.1
1,8000000,2,1,1200,10
28,22500000,4,4,2800,8
28,18000000,4,4,2450,7
28,42500000,5,3,3500,17
28,21500000,4,3,2850,6
28,21000000,4,3,2850,7
27,42000000,5,3,4100,14.3
28,21000000,4,4,2850,7.5
28,24000000,5,4,2800,10.25
1,18000000,4,4,2200,8
28,20000000,4,3,2500,10
28,22500000,4,4,2850,8
28,24000000,4,4,2900,7
35,12500000,4,2,1750,6.5
28,19000000,3,3,2400,10
28,11800000,3,3,1500,8
28,21000000,4,4,2450,7
28,30000000,4,3,315,6
38,34000000,4,4,3300,8
38,21500000,4,3,2200,6.5
28,19500000,4,4,2750,10.5
28,21500000,4,3,2200,6.5
28,16000000,3,3,1600,10
28,18000000,3,3,2300,6.5
32,88000000,4,5,3000,16
28,19500000,3,3,2400,8.6
28,19500000,4,3,2250,6.5
26,6900000,2,1,650,3.5
1,8700000,3,1,1100,6
28,9865000,3,3,1905,3.5
3,25000000,4,3,3000,10
1,13400000,3,3,1750,7
28,18000000,3,3,1800,7.13
28,23000000,4,4,2300,11
28,19500000,4,3,2850,7.5
35,13000000,4,2,1600,11.5
28,22500000,5,4,2850,10
22,11000000,3,2,1600,8.3
28,31000000,5,4,3800,7.5
28,28800000,6,4,2850,12
35,60000000,6,4,4500,11
23,33000000,4,4,2900,8
20,9300000,3,3,1410,10.5
24,7500000,2,2,1127,2.5
24,19000000,6,3,2230,5.5
36,7500000,3,2,1500,3
18,48000000,4,4,3300,11.5
13,260000000,4,4,5000,20.1
35,16500000,4,3,2500,13
32,15000000,2,1,1400,7.5
35,68000000,5,4,3600,9.5
26,55000000,10,5,3500,12
25,19000000,4,4,2620,8
29,3900000,3,2,2000,15
35,8700000,2,2,1250,6
1,16000000,4,3,2200,7
38,12000000,3,2,1100,5.1
37,6300000,2,1,600,1
35,15900000,6,3,2750,8.5
1,18000000,4,4,2200,8
18,55000000,4,3,2000,15.2
1,13500000,3,3,1650,10
29,7000000,4,1,2000,7
28,24000000,4,4,2900,7
38,35300000,4,4,3200,10.5
29,7000000,2,1,1500,10
28,27000000,3,2,1500,10
20,11000000,3,2,1500,11
20,6800000,3,2,1200,10
34,24800000,4,4,2500,7
34,21000000,4,3,2500,9
3,16500000,3,2,2200,7.1
25,20000000,4,4,2500,8
28,18000000,4,4,2200,7
28,18000000,3,3,2300,6.5
26,24000000,6,3,2850,7
3,18000000,3,3,1800,10.5
28,23000000,4,4,2800,9
14,128250000,4,2,2000,22.5
28,12800000,3,3,1300,7.9
20,5800000,2,1,720,6
9,50000000,7,4,3000,17.75
28,20000000,4,4,2500,10
23,140000000,9,6,2200,20
18,8900000,5,2,1500,2.5
28,16000000,7,4,3000,21
37,13500000,3,2,1600,6
28,14000000,5,4,1950,6.6
28,29000000,4,3,3200,10.5
20,24000000,5,3,3000,9.5
20,2800000,2,1,1200,5.8
29,15900000,4,3,2200,8
20,31500000,5,4,4000,6
34,11000000,3,1,2000,9.3
4,32000000,4,5,3223,6.2
34,40000000,4,3,3800,22
28,22500000,4,4,2800,8
38,80000000,4,4,4800,18.5
28,33000000,6,6,3900,12
15,525000000,4,6,11715,22.3
38,35000000,4,4,3250,8
35,9800000,3,2,960,10
12,200000000,6,4,4000,8.8
39,12500000,4,2,1520,4.5
23,30000000,3,3,2850,7.5
38,34000000,4,3,2850,7.5
28,18500000,3,2,1950,8
13,130000000,4,2,1850,23
26,29000000,6,3,2650,9.6
38,78000000,6,6,6000,11.3
34,25000000,5,4,2800,10
28,23000000,4,4,3000,8
31,41000000,3,2,2600,11
38,34000000,4,4,3300,8
22,13000000,4,3,1900,10
33,5900000,3,1,1200,12
34,21000000,4,3,2600,10.7
38,33500000,5,4,4200,7
26,130000000,4,3,3500,26
25,13000000,3,2,1400,8
21,13000000,3,2,2000,14
1,29500000,4,3,4500,11
25,11700000,3,2,1550,8.7
32,37500000,5,5,4000,6
34,12900000,3,2,1200,10.9
27,15500000,3,1,1500,10.8
30,23000000,5,5,2500,11.6
21,150000000,5,2,1600,13
1,7500000,3,2,1050,6
35,11000000,4,2,2624,8.5
25,9700000,3,2,1100,7.4
32,38500000,6,4,2900,9.85
19,11000000,5,2,1100,12
13,250000000,6,7,3800,15
32,31100000,3,2,7988,7.5
13,125000000,5,4,4200,12
3,12500000,3,2,1400,10
32,250000000,6,7,3500,15
38,36000000,4,4,3000,8.8
3,45000000,4,3,3800,10
34,39000000,5,3,4000,7.2
3,255000000,4,4,3500,23.5
4,24000000,4,3,2300,7
26,30000000,3,3,2250,6.38
36,30000000,4,1,1700,5.5
4,21000000,5,3,2500,9.8
25,13000000,3,3,1580,8
28,22500000,4,4,2800,8
25,20000000,4,4,2100,10.1
25,15500000,3,3,1645,7
4,24000000,4,3,2850,7
28,19000000,3,3,2400,10
28,24000000,4,4,2900,7
28,16500000,3,2,1550,10
3,120000000,4,4,4000,17.4
29,50000000,4,3,3500,19
4,23000000,5,2,2500,8.6
13,36000000,4,2,2500,6.5
35,22000000,4,3,2200,8
35,8700000,2,2,1250,6
34,13000000,3,3,1650,8.5
13,25000000,4,2,2500,7
3,45000000,4,5,2800,7.5
27,33000000,8,3,2850,15
37,11000000,2,1,900,7.1
13,70000000,6,6,3050,22
32,35000000,5,3,2500,10
38,100000000,6,4,4000,17
