,0,1,2,3,4,5,6,7,8
19,Luxury 3 Br Apartments for Sale in Havelock City / Splendour Rajagiriya,18 Jul  2:30 pm,"Rajagiriya, Colombo","38,000,000","Brand new, completed apartments, 5 mins from rajagiriya junction. SPLENDOUR Residencies, by Prime Group.  Rooftop pool and gym, function hall. Luxury finishes. 3 BR,  1513 sqft. Highest point in Colombo  - Panaromic Views. Top floor.Havelock City , Melford Tower 3 BR , 1313 sqft - 58 mn",3,2,"1,513 sqft",
20,Ground Floor Apartment in Rajagiriya,15 Jul  6:55 pm,"Rajagiriya, Colombo","16,500,000","Residential area of Rajagiriya off Medawelikada Road , access from Rajagiriya Rd and Dharmapala Mawatha, one apartment of only four apartment complex, large bedrooms with one ensuite, varanda, sitting room , dining room ,pergola , fitted kitchen , fully tiled, covered parking for one vehicle , 13 yrs old, solidly built, needs only cosmetic changes, quick sale, owners abroad, contact",3,2,"2,000 sqft",
21,New Apartment for Sale - Rajagiriya,15 Jul  1:12 pm,"Rajagiriya, Colombo","32,000,000","Brand new. Floor area 1,279 sq.ft. It has 3 bedrooms and 2 bathrooms. Unfurnished. Fully air conditioned. Hot water in both bathrooms. Separate maid’s quarters and 1 parking slot available. Apartment complex has a swimming pool, gym, and rooftop terrace. Price Rs. 32Mn.",3,2,"1,279 sqft",
22,Brand New Apartment Rajagiriya,14 Jul  1:41 pm,"Rajagiriya, Colombo","35,000,000",SPECIAL OPTION - 2 CAR PARKING SLOTS FOR THIS APARTMENT,HIGHNESS RAJAGIRIYA,3,3,"1,300 sqft"
23,Luxury apartment for sale Rajagiriya,14 Jul  9:52 am,"Rajagiriya, Colombo","62,000,000","Located in center of rajagiriya prime land apartment 9th floorVery good viewIn front of HSBC bank rajagiriyaWalking distance to damro, bread talk, cargils food city, 24 hr opean laughs food city rajagiriyaBrand new2 parking slots.Servent room and bath room.Fully ACWith fully equipped gymSwimming poolLarge function hall24hr security",3,2,"1,675 sqft",
24,Apartment for Sale in Rajagiriya,13 Jul  2:28 pm,"Rajagiriya, Colombo","65,000,000",- 4 bedrooms and 4 bathrooms- 2 parking spaces- 2146 sqft- Swimming Pool- Kiddies Pool- Fully Equipped Gym- Lounge- Banquet Hall- Meeting Room- Drivers Lounge- Club House- Badminton and Squash court- Tennis court- Basketball court- Games Room- Diner- Mini Mart- Price Rs. 65 million,4,4,"2,146 sqft",
25,Apartment for Sale in Rajagiriya - A0551,12 Jul  7:51 pm,"Rajagiriya, Colombo","15,500,000","Apartment for sale in Araliya Court Apartment, Off Ambahagaha Junction, Rajagiriya",2,2,950 sqft,
26,Apartment for Sale Iconic Rajagiriya,12 Jul 11:19 am,"Rajagiriya, Colombo","40,000,000",Iconic Rajagiriya3 bed rooms /2 Bathroom1800 SQ. F.Swimming pool /Gym /Badminton courtSupermarket /RestaurantFully furnished /AC roomInternet /Hot water3 phase electricity24 hour security Servants room /Servant wash roomPrice 40 million3Month Advance Only,3,2,"1,800 sqft",
27,Apartment for sale Clear point Penthouse -Rajagiriya,12 Jul 11:11 am,"Rajagiriya, Colombo","78,000,000",Apartment for saleClear pointPenthouse 4-bedrooms /3 Bathroom1800 SQ. F.Swimming pool/Gym/Badminton courtSupermarket/ Restaurant / Fully furnishedAC room/Internet /Hot water/3 phase electricity24-hour security Servants room /Servant wash roomPrice 78 Million,4,3,"1,800 sqft",
28,Clear-point Apartment | for sale Rajagiriya - A0593,11 Jul  9:17 pm,"Rajagiriya, Colombo","60,000,000",Clear-point Apartment for sale in Rajagiriya,3,3,"2,400 sqft",
29,Brand New Luxury 3 Bedroom Apartment Residencies) Rajagiriya-,23 Jul 12:07 pm,"Rajagiriya, Colombo","37,000,000","Brand New Spacious 3 Bed room apartment with separate maid room and private balconies at 6th floor ( 9th Level) with Scenic city view. Floor area 1512Sqft with fully equipped gym and infinity roof top pool. 1.5 km from the city in a highly residential area with excellent road network, supermarkets, Schools around.(Ready to Occupy)",Rajagiriya,3,3,"1,512 sqft"
30,Apartment for sale rajagiriya 3 Bed 2 Bath,19 Jul  2:27 pm,"Rajagiriya, Colombo","32,800,000",Home land Sky Line semi Luxury Apartments• Three bedrooms with one attached bathroom and one common bathroom • Dinning area• Living area• Open pantry and kitchen• servant room and toilet • Four balconies one large balcony,Darmapala road rajagiriya,3,2,"1,400 sqft"
