,0,1,2,3,4,5,6,7,8
10,Holiday Bungalow at Anuradhapura,13 Jul 12:45 pm,"Anuradhapura, Anuradhapura",500,අනුරාධපුර නගරයේ සුවපහසු ආරක්ශිත නවාතැන් පහසුකම් අංග සමිපුර්ණ මුලුතැන්ගෙය හා TV  ශිතකරණ විදුලි පංකා සමග අංග සම්පුර්ණ නිවසේ ආරක්ශිත නවාතැන් පහසුකම් ජය ශ්‍රී මහා බෝධියට අනුරාධපුර නගරයට විනාඩි 10 දුරනගරයට කි.මි.2 අයකිරිම එක් අයෙක් සදහා රු 500/= වන අතර 10 දෙනෙකු සදහා රු 5000/= ඊට වැඩි වන සැම අයෙකු සදහා රු 300/= බැගින් අය කෙරේ,Holiday bungalow,3,2,
11,Vega Holiday Rest - Anuradhapura, 5 Jul 10:44 am,"Anuradhapura, Anuradhapura","1,800","Vega Holiday Rest is a clean & comfortable up-stair apartment. Well located in city limits and 200 meters off air port road.  The apartment with air conditioned 1 twin/double room and 1 family room. There are 2 bathrooms and 1 has hot water facility. Living room, dining area, balcony, kitchen and secure on site parking available.10 minutes drive to sacred area.Accommodation for 6 guests or more can stay with sharing.Non Ac Double Room  Rs.1800/Ac Double Room         Rs.2800/Entire house  Rs.4500/-  Rs.6000/",Airport Road,Holiday bungalow,2,2
12,Lakeside Villa Anuradhapura, 5 Jul 10:00 am,"Anuradhapura, Anuradhapura","1,500","The newly opened two storied bungalow located near (100 meters) Kubichan kulama Lake and children park. 500 meters away from Anuradhapura New Town bus stand & railway station. Can reach to Jaya Srmabodhi and Ruwanweliseya  in  5-10 minutes..4 deluxe double rooms, triple room and a family room with hot water attached bathrooms, balcony, dining area and a kitchen.Non Ac Double Room   Rs.1500/- Rs.2000/Non Ac Triple Room     Rs.2500/Non Ac Family Room    R.3000/Ac Double Room          Rs.2500/Ac Triple Room             Rs.3000/Ac Family Room           Rs.3500/Full Bungalow   Rs.11000/-  Rs.13500Address: Bulankulama Disa Mawatha, Anuradhapura",Holiday bungalow,4,4,
13,Ruhunupura Family Rest, 3 Jul  7:26 pm,"Anuradhapura, Anuradhapura","1,500","රුහුණුපුර ෆැමිලි රෙස්ට්  නිදන්ගල වත්ත මල්වතුඔය අසල දහයියාගම අනුරාධපුර යාබද නානකාමර සහිත කාමර තුනක්, සාලය කැම කාමරය මුලුතැන්ගෙය සහිත සම්පුර්ණ නිවස රු 6500/=එක් කාමරයක් එක් රාත්‍රියක් සදහා රු 1500/=AC කාමරද සහිතයිවාහන නැවතිමේ පහසුකම් ආහාර පියලියල කර ගැනිමේ පහසුකම් සහිතයි සුන්දර මල්වතු ඔයට සමිපව පිහිටා ඇත",Dahaiyagama anuradhapura,Seasonal room,3,3
14,Amal Residence - Anuradhapura, 3 Jul 11:45 am,"Anuradhapura, Anuradhapura","5,000",අනුරාධපුර මාතලේ හන්දියේ සුවපහසු නිස්කලන්ක පරිසරයක පිහිටි සුඛෝපභෝගී Amal Residence නවාතැන් ඔබට ලබාගත හැක.,"Amal Residence ,214/F, මතලේහංදිය ,අනුරාධපුර .",Holiday bungalow,9,3
15,Punchi Walawwa Holiday Bungalow Anuradhapura, 3 Jul  9:56 am,"Anuradhapura, Anuradhapura","2,500","Punchi Walawwa is a two storied new holiday bungalow with all facilities. Has 7 specious bedrooms and attached bathrooms. Nice garden area ,terrace  and a balcony available. Living areas at both floors along with ding facility. Parking inside the premises. Located at Anuradhapra New Town. Walking distance to general hospital and Nuwarawewa. A few minutes away from sacred city.Room rates Rs.2500/ upwards",Holiday bungalow,7,7,
16,Heritage Home - Anuradhapura, 2 Jul  3:32 pm,"Anuradhapura, Anuradhapura","1,350","03 Nos Family Bed Rooms (upstairs & downstairs)Separate Entrance,Balcony,Kitchen. Parking Facility,Meals Available.Full Privacy Safe.Very Closed to Main Railway Station,Ruwanweli Seya,Srima Bodhiya & Nuwara Wewa,Rout Finder :See On Google map Search From Your Location to Heritage Home Anuradhapura.","30/69,Badhuwaththa Land,Ramakele,Walawwaththa,, Anuradhapura.",Seasonal room,6,3
17,Anuradhapura Bungalow / Rooms,30 Jun 11:46 am,"Anuradhapura, Anuradhapura","1,750",4 bedroom bungalow near Dahaiyagama junction. Walking distance from New Town. Very close to sacred city.  3 family rooms and 1 double room available. Living room  with a Tv. Large parking slot. Kitchen facility available (additional charge). 15-20 guests can stay.Double Room Rs.1750/Family Room Rs.2500/Full bungalow Rs.7500/-  Rs.12000/,Holiday bungalow,4,3,
18,Short Term Rooms for Rent in - Sithgimanhala,24 Jun  1:48 pm,"Anuradhapura, Anuradhapura","2,900","Luxury AC/ Non AC Rooms in front of Thisawewa. Very calm and peaceful environment. Get your Village experience under our roof.Very close to Jaya Sri Maha Bodhiya, Atamasthanaya, All Tanks and Anuradhapura City. You can enter this location through Old Puttlam Road. For more details, Please contact us...Thank you...","No.5360/A,Old Puttlam Road,Thisawewa,Anuradhapura",Holiday bungalow,10,5
19,Resort in Anuradhapura,21 Jun 11:17 am,"Anuradhapura, Anuradhapura","2,000","The guest house located in Anuradhapura city. Only 4.5 km distance (10 minutes) to Jaya Sri Maha Bodhiya and Ruwanweliseya.The property consists of A/C & Non-A/C bedrooms with attached bathrooms. There are bedrooms including single, double, triple and family rooms.Large garden area,Parking space available,Free wi-fi.Meals can be provided in the outside locations as your wish.Non-A/C Double room Rs.1500/=Non-A/C Triple room Rs.2000/=Non-A/C Family room(4 person) Rs.2500/=A/C Double room Rs.3000/=A/C Family room(4 person) Rs.4500/=","17/1 A, Wijaya Mawatha, Isurupura, Anuradhapura Town, Sri Lanka",Holiday bungalow,10+,6
