,0,1,2,3,4,5,6,7,8
17,Apartment House for Rent - Gampaha,28 Jun  4:08 pm,"Gampaha, Gampaha","35,000","Two bedroom apartment at 5th floor.Two bath rooms, living room and pantry.Both rooms and living room have balconies.Lift availableSpace for vehicle Parking 24/7 securityVery close to Sri Bodhi Vidyalaya, Regent International School and Royal InstituteClose to all other leading schools in Gampaha4 minutes walk to Gampaha -Colombo Road2 KM to Gampaha Railway Station.Rs. 35,000/_ per month & 6 months rent as  key money expected.","Sanasa Apartment, Sri Bodhi Road",2,2,"1,000 sqft"
18,Apartment for Rent in Ragama,29 Jun  9:28 am,"Ragama, Gampaha","30,000",2 Bed Rooms2 Attach Bath rooms/ one common bath roomLiving/ fully fitted pantry kitchenElevator facilitiescommercial Bank/ Arpico super market on the ground floorUnder ground car parkGym on the 1st floorthen few minute for - Railway station 300m- General hospital 100m- Sampath bank /BOC/ PB/ NSB- Kadawatha highway entrance 5Km,"51, Kadawatha Road, Ragama",2,3,"1,000 sqft"
19,Apartment with Full Furniture for Rent in -Negombo,24 Jun  1:20 pm,"Negombo, Gampaha","110,000","02 bedroom apartment with full furniture in a relaxing peaceful area at Ettukala (Beach Road) Negombo. It has 2 bedrooms, living room, dining area a courtyard, 4 balconies, a kitchen with a pantry, a small garden in front and back and parking. 2 bedrooms with A/C & hot water service. 5 minutes walkings distance from Negombo beach park, restaurants and Pub. 20 minutes travel distance to CMB airport. Ideal for couples, families, and businessmen for a peaceful holiday stay at the Negombo beach area.","Etthukla, Negombo",2,2,"1,280 sqft"
20,Apartment for Rent Kelaniya,20 Jun 10:32 am,"Kelaniya, Gampaha","40,000","Modern apartment ground floor for rent,airconditioned rooms,open plan kitchen.two bedrooms and one bathtoom nice and modern . 1km to kandy road.parking space for a small car.Adress: 30/12 1st lane,waragoda,kelaniya.","30/12 1st lane, Waragoda, Kelaniya.",2,1,"1,200 sqft"
21,Kiribathgoda - Brand-New Apartment for Rent,19 Jul 12:26 pm,"Kiribathgoda, Gampaha","100,000","Brand New 3 Bedroom Apartment in Kadawatha (Prime Residencies – Kiribathgoda), located in the 4th floor of the block 05 with below amenities;03 bedrooms, 03 bathrooms, living, dinning, luxuries fitted pantry area, private balconies facing poolside.Parking space, Recreational areas, 24×7 security, Swimming pool, Modern gym, Elevator, Backup generator, Roof terrace for private functionsThe apartment just completed and ready for occupancy now. 1km to Kadawatha town, 2km to Kadawatha highway entrance and easy access to Katunayaka, Mathara and proposed central highway. 5km to Ragama railway station. 4km to Kiribathgoda & 14km to Colombo city.Easy access to leading schools, hospitals, banks, supermarkets, restaurants.THIS WAS THE MOST EXPENSIVE APARTMENT AT THE POINT OF LAUNCHING. DUE TO MONEY URGENCY EXPECT TO SELL AT A REASONABLE LOWER RATE.","Kiribathgoda, Kadawatha.",3,3,"1,453 sqft"
22,Apatmemt For Rent Ja-Ela,18 Jun  3:22 pm,"Ja-Ela, Gampaha","50,000","Two bed rooms apartment  with all the facilities,full furnished,ac,hot water, dialogTV etc.10 minutes to highway.nearby shopping,cargills,keels.24 hours security and alivater.orex city,4th floor.ekala",2,1,"1,500 sqft",
23,1st floor apartment for rent kiribathgoda,17 Jun  9:03 am,"Kiribathgoda, Gampaha","25,000","Located behind benthota bakery, makola road, kiribathgoda. it's a FIRST FLOOR appartment, it has 3 bedrooms, living room, kitchen, 2 bathrooms n parking facility.",3,2,"2,000 sqft",
24,"Apartment for Rent at Orex City , Ekala.",18 Jun  5:04 am,"Ja-Ela, Gampaha","50,000","Apartment available for rent / lease on short / long term basis @ Orex city, Ekala. Sitting / dining , 2 bed rooms 1 with A/C , pantry & bathroom. Electricity,  water, telephone . Fully  furnished.","520, Orex city, Ekala.",2,1,500 sqft
25,Apartment for Rent in Ja Ela,15 Jul  4:12 pm,"Ja-Ela, Gampaha","15,000","Up stair apartment for rent which Consist of two bed rooms where one of them can be easily used as a living room , one bathroom , one kitchen and the balcony area. Most suitable for a couple or a small family. Fully tiled. Parking area available. Separate water and electricity bills. 750m away from Jaela town. Annex is faced to the 278 Ganemulla Bus route. Down stair lives the owner. Land is fully covered with walls and gates.",982/B Maeliya Jaela,2,1,400 sqft
26,Apartment for rent in Kelaniya,12 Jun  9:02 am,"Kelaniya, Gampaha","30,000",කැළණිය රජමහා විහාරයට යාර 500ක්  පමණ දුරින් වරාගොඩ පාරට මුහුණලා පාසිහේන පාරට යාබද දෙවන මහලේ කාමර 2ක් යාබද නාන කාමර ලොකු විසිත්ත කාමරයක් පැන්ටි‍රිය සහිත කුස්සිය දෙපැත්තට බැල්කනි සහිත නිවස කුලියට දීමට තිබේ. ඉක්මනින් විමසන්න. ,"625, Nungamugoda Junction, Waragoda road, Kelaniya",2,2,"1,500 sqft"
27,Apartment for Rent - Negombo,11 Jun  8:28 am,"Negombo, Gampaha","20,000",01 Bed room with 01 bathroom ApartmentCar parking Garage .walking distance to public transport5mts  walk to Banks and grocery shops.10mts drive to Negombo Hospital and Schools.Nice quite neighborhood.,"Demanhandiya, Negombo",1,1,"1,650 sqft"
28,Wattala - Two Bedroom Apartment for Rent, 8 Jul  2:26 am,"Wattala, Gampaha","35,000",Wattala - Two Bedroom Apartment for Rent,Wattala,2,2,"1,000 sqft"
29,New Apartment for Rent in Devalapola,30 Jun  9:41 am,"Gampaha, Gampaha","35,000",New Apartment for Rent in Devalapola================================,"Devalapola, Gampaha",1,1,"1,150 sqft"
30,Apartment For Rent - Wattala,18 Jun  3:53 pm,"Wattala, Gampaha","90,000","Newly Built  Apartment House for rent in wattala125m to old Colombo Negombo  main road Built on 10 perches landClose to international Schools , Supermarkets ,Hemas hospital 2 Storied House Consist of  4 Beds / 4 Baths / Including Servants Bathroomlarge living , dinning , pantryaccess to A/C & hot water Parking for 2 Vehicles Roller Gate & Common Roof Top","54/1 Kudaedanda Road , Wattala",7,6,"3,600 sqft"
31,Apartments for Rent - Katunayake,10 Jun  7:15 am,"Katunayake, Gampaha","12,000",Three month advance is required.parking available.,1,1,"1,012 sqft",
32,Apartment for Rent in Mahabage,11 Jun  4:51 pm,"Ragama, Gampaha","30,000","Apartment for rent in mahabage ragama road2 bedrooms with a recently renovated bathroom and pantry.Flat 2nd Floor700 meters to Negombo Road, Supermarkets, Hospitals Secure and convenient neighbourhood Parking Available",Mahabage,2,1,"1,180 sqft"
33,Luxury Apartment for Rent in - Welisara, 7 Jun  9:15 am,"Wattala, Gampaha","120,000","Brand New Apartment at Prime Land Residencies in Mahabage Junction bordering, (Ragama / Wattala) Colombo-Negombo Road and 1Km direct access to Highway when connected from Kerawalpitiya, is available for rent with furnished or without furnished. It’s close to Religious places, 10 minutes’ drive to Lyceum/OKI Schools in Wattala, Walking distance IISH Nursing University, 10 minutes’ drive to Ragama Medical College, Shopping Malls and Restaurants in proximity.Apartment is on first floor with 1,200 Square feet, 3 rooms, two bathrooms, Servant Toilet, living room and facility includes Roof top GYM and swimming Pool with dedicated parking slot.Rent expected is Rs. 100,000/- and with furnishing Rs 120,000/- Pm and rental advance of 6 months as a security deposit.",3,3,"1,200 sqft",
34,Apartment for Rent in Minuwangoda, 6 Jun  4:23 pm,"Minuwangoda, Gampaha","28,000",Separate Water and ElectricSeparate EntranceLiving AreaKitchen with Cupbords & Cooker06 Month Refundable AdvanceLocation Katunayake Veyangoda Main RoadClosed to Kayunayake Airport,"Negombo Rd, Yatiyana Minuwangoda",2,1,"1,200 sqft"
35,Fully Furnished Apartment for Rent - Wattala, 1 Jun  3:49 pm,"Wattala, Gampaha","60,000",Fully furnished apartment for rent3 bedroom 2 bathrooms hall kitchen balconyAC mi Security Camera rooftop GardenParking space is availablePrice 60000 per month and six month advanceHundred metres to Wattala Junction,3,2,"1,200 sqft",
36,Brand New Ground Floor Apartment for Rent. - Minuwangoda, 1 Jun  3:20 pm,"Minuwangoda, Gampaha","27,000","It has a 20 minute drive to the airport ,5 minutes to Weyangoda town,Facilities schools and shops are available nearby and it is a newly built apartment with good parking and security.","Sanasa Residencies,Naiwala,Minuwangoda.",2,1,"1,000 sqft"
37,Newly Build Apartment in Kandana,30 May  9:32 pm,"Kandana, Gampaha","25,000","Newly build Apartment in Kandana 1 Bed room with attach bath room, pantry, hot water, car park, security cameras.50 meters to Colombo Negambo road. 2 mints to 24 hrs Supermarket, Gym, petrol station, Satosa, Saloon and Restaurant.5 mints Hospitals, shopping malls and main connector to the airport southern high way.12 km to Colombo and 15 mints to the airport.",kadana nagoda,1,1,800 sqft
38,Wattala - Two Bedroom Apartment for Rent, 8 Jul  2:26 am,"Wattala, Gampaha","35,000",Wattala - Two Bedroom Apartment for Rent,Wattala,2,2,"1,000 sqft"
39,fully furnished apartment for rent in Katunayake,27 May  9:50 am,"Katunayake, Gampaha","25,000","Just 3km away from The Airport,Fully furnished Two bedroom apartment, one air-conditioned room with queen bed, fans included for living room and  bed rooms with 2 single beds, bathroom with hot-water,kitchen with utensils, gas stove, fridge, washing machine and long veranda,",2,1,700 sqft,
40,"Seaview Apartments for Rent - Fully Furnished, Equipped and Serviced",10 Jun  9:04 am,"Negombo, Gampaha","120,000","Selection of amazing 1 and 2 bedroom SEA VIEW apartments available for medium to long term let. Each apartment is equipped with all the creature comforts you would expect from a 5-STAR hotel. Ideal for a single, couple or even a family move in and start living! All what you would ever need is included in the price.- Fully air-conditioned throughout- Living room, kitchenette and bedroom(s) with en-suite with rainfall shower - Kitchenette with washing machines, hob, microwave, toaster, kettle and all cutlery & crockery- Each apartment has private balcony overlooking the sea (2 bedroom ones have partial view)- High-speed wifi throughout and LED 40""+ PEO TV with all the channels - Gated with with 24x7 security- Auto standby generator, lift to all floors, etc.- Large swimming pool facing the beach, direct access to beach and on-site restaurant serving International and local cuisine- Only 20 mins to airport, free trade-zone and 45 mins to Colombo ","Lewis Place, Negombo",1,1,700 sqft
41,Apartment House for Rent – Gampaha,22 May  8:42 pm,"Gampaha, Gampaha","40,000",Two Bed Room Apartment at 4th floor.Air Conditioned Master Bed Room and Non Air Conditioned Bed Room.One Bath Room.Living Room with Pantry.All Rooms and Living room have balconies.One Dedicated Parking Slot.24/7 Security.Lift Available.,"Sanasa Residencies, Colombo Road, Gampaha. (Next to Holy Cross College)",2,1,900 sqft
