,0,1,2,3,4,5,6,7
71,"Land for Sale at Station Road, Dehiwala.",18 Jul 11:09 am,"Dehiwala, Colombo","2,800,000","Available for immediate sale 8.05 Perches Prime square shape flat residential Land at Station road, Dehiwala. Peaceful neighbors and all necessary facilities for comfortable living.",Station road,"Commercial, Residential",8.5 perches
72,Land for Sale Pepiliyana Dehiwala,21 Jul  2:38 pm,"Dehiwala, Colombo","2,200,000",SOLID BLOCK OF LAND IN TWO BLOCKS.8.5 x 8.5 = 17.RS.2.2 MLN ( 22 LAKHS ) PER. PERCH.,VIHARA MW PEPILIYANA,Residential,17.0 perches
73,50 P Land & Old House Dehiwala, 1 Jul  9:51 am,"Dehiwala, Colombo","5,500,000",Rs 5500000.00 LAKHS per perchNegotiable,NEAR SARANANKARA ROAD / 50 METERS TO MAIN ROAD / 20 FEET ROAD,"Commercial, Residential",60.0 perches
74,20 P Land Sale at Kalubowela, 1 Jul  9:49 am,"Dehiwala, Colombo","3,000,000",Rs 3000000.00PER PERCHNegotiable,KADAWATHA ROAD KALUBOWILA DEHIWALA,"Commercial, Residential",20.0 perches
75,Land for Sale in Dehiwala, 1 Jul  1:41 pm,"Dehiwala, Colombo","2,000,000","Land for sale in Dehiwala Residential area 5 minutes to hill street closed to all banks, schools, hospitals and super markets don't miss this opportunityyou can build your dream house in this landgenuine buyers only ",Dehiwala Nedimala,"Commercial, Residential",16.0 perches
76,Land For Sale Dehiwala,30 Jun  6:04 pm,"Dehiwala, Colombo","5,200,000","For more details,pls contact to the number given below..No brokers","Bhathiya Mawatha,Dehiwala",Residential,6.0 perches
77,16.5 P & Property Sale at Dehiwala,30 Jun 11:35 am,"Dehiwala, Colombo","4,500,000",Rs 4500000.00 LAKHSPER PERCHNegotiable,Near Karagampitiya Junction / 2nd Block Main Road Karagampitiya Dehiwala,"Commercial, Residential",16.5 perches
78,"Land for Sale Kalubowila,dehiwala", 9 Jul  9:19 am,"Dehiwala, Colombo","3,500,000","Land for sale in Bathiya mawatha, kalubowila, 14.5 perch with old house. Price land value only Clear DeedsGood residential areaKalubowila hospital, super markets ect ,close byMosque is very close to the property","Bathiya mawatha, kalubowila","Commercial, Residential",14.5 perches
79,Land For Sale in Dehiwala,29 Jun  2:02 pm,"Dehiwala, Colombo","2,000,000",♡Bare Land For Sale in Dehiwala ☆18.37 Perches.☆Square Block.☆10feet Road.☆2millon Per Perch.,Sri Sangabo Mawatha Kawdana,"Residential, Other",18.3 perches
80,Prime land for sale in Dehiwala,27 Jun 11:28 am,"Dehiwala, Colombo","101,500,000",REDUCED PRICE!29 perchesLKR 3.5 million per perch 40m from Galle RoadWalking distance from Dehiwala beachMany amenities in the areaQuiet residential area,"Ediriweera Avenue, Galle Road, Dehiwala","Commercial, Residential",29.0 perches
