,0,1,2,3,4,5,6,7,8,9
23,House for Sale Gampaha, 3 Jul  2:42 pm,"Minuwangoda, Gampaha","1,600,000","ගම්පහ ,උඩුගම්පොළ හරහා කොටුගොඩ පාර උග්ගල්බඩ හන්දිය කාමර 2 bathroom පුළුල් මාර්ග සහිත parches 7,ඉඩම ,කුඩා නිවසක් ඉතා අඩුම මිලකට ,ලක්ෂ 16/= පමණයි .","ගම්පහ ,උඩුගම්පොළ ,උග්ගල්බඩ",2,1,"1,100.0 sqft",7.0 perches
24,Minuwangoda House for Sale,20 Jun  2:22 pm,"Minuwangoda, Gampaha","12,500,000","MINUWANGODA NAGARASABHA SEEMAVE PIHITA ATHAPRADANA PASAL , HOSPITAL EKA, POLICE STATION EKATA WINADI 5 iVEYANGODA - KATUNAYAKA PRADHANA PARE SITA 20M DURIN PIHITA ATHAGETTU , THAPPA SAHITHAIPAHATHA MAHALA SAMPURNAYEN NIMAWA ATHA","NO.14/1, CHAMAL MAWATHA, MINUWANGODA",5,3,"1,500.0 sqft",20.0 perches
25,Modern House for Sale in Minuwangoda,25 Jun  9:51 am,"Minuwangoda, Gampaha","11,700,000","Two Storied House built on 16.5 Perches Land for Sale in Minuwangoda, well secured place with gated community. It’s a modern house with 6 bedrooms, 3 bathrooms, living area, veranda, TV lobby, balcony for upstais room, front & rear garden, pantry and car porch.",Kurunegala road,6,3,"2,800.0 sqft",16.5 perches
26,B/new House for Sale in Gampaha,26 Jun  8:34 am,"Minuwangoda, Gampaha","9,500,000",Brand new 1500sqft house with 15 perch land.300m away from Negombo-Gamapaha main road3 bedrooms1 spacious bathroomLiving and dining areaKitchen with modern pantry cupboardFully tiledFinishing roofParapet wall with gateWater line with over head tank Car porchClear deed,3,1,"1,500.0 sqft",15.0 perches,
27,House Sale in Minuwangoda,14 Jul  7:43 am,"Minuwangoda, Gampaha","8,850,000",මිනුවන්ගොඩ වේයන්ගොඩ ප්‍රදාන මාර්ගයේ බ්‍රැන්ඩික්ස් ඇගලුම් කර්මාන්තායතනය අසල අගනා  නිවස ඉක්මනින් විකිනේකාමර 5 සහිත විශාල නිවසඉඩම වටා තාප්ප බැද ගේට්ටු දමා ඇතටයිල් කර ඇති පොලොවනාන කාමරසිවිලිං සවිකර ඇතටෙලිකොම් ස්තාවර දුරකතන සම්බන්දතාවය ප්‍රදාන නිවසට අමතරව කාමර 5 දෙමහල් ඇනෙක්සියක් සහ කඩ කාමරයක් සහිතයිකාමර කුලියට දීමෙන් මසකට රුපියල් 55000 -60000 අතර මාසික ආදායමක් ලැබිය හැකගම්පහ නගරයට කිලෝමීටර් 12කටුනායක ජාත්‍යන්තර ගුවන්තොටුපලට හා ආයෝජන ප්‍රවර්දන කළාපයට කිලෝමිටර් 13නිට්ටබුව නගරයට කිලෝමීටර් 15මිනුවන්ගොඩ නගරයට කිලෝමීටර් 5ඉතා ඉක්මනින් විකිනේ,5,2,"2,000.0 sqft",22.0 perches,
28,Minuwangoda 37 Perches House for Immediate Sale, 8 Jul  8:13 pm,"Minuwangoda, Gampaha","11,000,000",Minuwangoda 37 perches for immediate sale1.5 km to Katunayake Nittambuwa Road2 km to Kurunagala Main Road5 meter to the Main Road15 km to Katunayake AirportAccessible to all major TownsNo Flooding for rain.Close to Brandex Apparal10 Pepper Trees which can have 10 kg per sessionand Many Fruit and a Coconut treeVery pure Water Well with the pump facilities,"199/A, Kudagoda, Horampalla, Minuwangoda",3,1,"2,400.0 sqft",37.0 perches
29,House for Sale - Minuwangoda,13 Jun  8:19 pm,"Minuwangoda, Gampaha","7,000,000",House For Sale In MinuwangodaBrand New House 04 Bed Rooms 02 Bath Rooms 15 Perches Land Good residential Area All Facilities available Price Negotiable After Inspection,Minuwangoda,4,2,"1,650.0 sqft",15.0 perches
30,House for Sale in Gampaha Minuwangoda Yatiyana,27 Jun  3:27 pm,"Minuwangoda, Gampaha","7,900,000","Land -: 11.9 perches home land and other attached land 14 perches with 3 coconut tree Bed Rooms -: Inside 02 rooms and outdoor one roomKitchen -: 01Barth rooms -: 02 not completed All windows and doors made hard jack wood/Telephone Fully tiled and 5.5 km from Katunayeka Airport ( sale for any religious persons )නිස්කලන්ක පරිසරය ගුවන්තොටුපලට මිනිත්තු 05 කි.5.5 කි.මි මිනුවන්ගොඩ නගරයට මිනිත්තු 04 යි.යටියන  පර්චස් 11.9 ප්ලෑනය හා නිවස ප්ලෑනය අනුමත කර ඇත.ඇතුල කාමර 02 යි, එල් හැඩයේ සාලය ,කුස්සිය, (නාන කාමරය වැඩ නිමවා නැත )පිටස්තර පුද්ගලයකු සදහා එලියෙ කාමර එකයි (නාන කාමරය වැඩ නිමවා නැත ) සම්පූර්ණයෙන් මහියන්ගන ගඩොලින් නිමවා ඇත.දොර ජනෙල් තනි කොස් අරටුවෙන් නිමවා ඇත.වටෙට තාප්පය තාප්ප කනු වල හා තාප්ප බිත්තියේ ලයිට්ස් යොදා ඇත.ළිo ජළය ත්‍රිකළා විදුලිය SLT දුරකතන.ආගම් භේද වලින් තොරව ඕනෑම අයෙකුට විකනනු ලැබේ","Nilu Garden,Yatiyana",3,2,"2,100.0 sqft",12.0 perches
31,House For Sale - Minuwangoda, 9 Jun  4:12 pm,"Minuwangoda, Gampaha","5,000,000","Nadagamuwa,kotugoda,Nahala para,   perch 10.5 sahitha angasampoorna nava niwasa.   Bedroom 2, bathroom 2, dining room,kitchen, hall.,veranda, gate eka sahitha niwasa vata thappa  atha.. ikmanin vikinimata..",2,2,"1,200.0 sqft",10.5 perches,
32,House for Sale in Minuwangoda, 9 Jun 11:11 am,"Minuwangoda, Gampaha","2,700,000","ගම්පහ දිස්ත්‍රික්කයේ ම්නුවන්ගොඩ යකහටුව පචස් 10ක ඉඩම සහ නිවස විකිනීමට,නිරවුල් ඔප්පු,","Yakahatuwa,Minuwangoda",2,1,"1,000.0 sqft",10.0 perches
