,0,1,2,3,4,5,6,7
112,10.84P Bare Land Sale at Raja Mawatha Jublli Post- Kotte, 9 Jun 10:49 pm,"Kotte, Colombo","28,200,000",10.84 P BARE LAND SALE AT  RAJA MAWATHA JUBLLI POST- KOTTE Rs 2600000.00 LAKHSPER PERCHNegotiable,Residential,10.84 perches,
113,Land & House for sale in Kotte, 9 Jun  9:24 pm,"Kotte, Colombo","3,600,000",Highly Residential Property in Kotte,"Kotte,","Residential, Other",20.0 perches
114,18 P Land & Property Sale Pitakotte, 9 Jun  1:01 pm,"Kotte, Colombo","3,200,000",18 P LAND &  SINGLE STORY HOUSE SALE AT 50 METERS TO PITAKOTTE MAIN ROAD /150 METERS TO PITAKOTTE  JUNCTION PITAKOTTE,50 METERS TO PITAKOTTE MAIN ROAD /150 METERS TO PITAKOTTE  JUNCTION,"Commercial, Residential",18.0 perches
115,Commercial Land for Sale at Pita Kotte, 9 Jun  9:29 am,"Kotte, Colombo","4,000,000","A commercial land of 6.5 perches facing Nugegoda - Rajagiriya main road situated exactly opposite the Commercial Bank of Pita Kotte is for immediate sale. Very close to Pita Kotte junction. Just after 04 land plots from the ""Sirikotha"", UNP Head office. (Beside the old Singer building)An old single story building is existing. Water & electricity connections are readily available.Call for more details.....  Price negotiable....Serious buyers only... No brokers please...",Commercial,6.5 perches,
116,Land for Sale in Athulkotte,11 Jul  4:00 pm,"Kotte, Colombo","23,000,000","Partly given a 21 Perchase land either 9 and 11 perchaces  or whole 21 perches. The 9 perchase bare  land is 23 M. The 11 Perchase land with a single storied house is Rs 32M. Access road for the land 10Ft 50M distance. Distance to the main rd ( Pitakotte Ethulkotte) 200MCall us for more lands/ houses in Thalawathugoda, Palawatta, Malambe, Thalahena, Battaramulla and Kotte. We also have large sized lands and lands for commercial purposes.",Kotubamma rd Athulkotte,Residential,9.0 perches
117,18.58 P Bare Land Sale At Kimbulawela, 7 Jun  5:27 pm,"Kotte, Colombo","2,050,000",Rs 2050000.00 LAKHSPER PERCHNegotiable,NEAR WALKING PATH ROAD WALI PARA ROAD KIMBULAWELA KOTTE,"Commercial, Residential",18.58 perches
118,Water Front Land for Sale - Baddagana, 7 Jun  1:36 pm,"Kotte, Colombo","2,700,000",15 perches water front land 20ft rd facing superb land square land highly residential area 50m to main Duwa Rd 750m to bangala junction very close to Battaramulla Colombo kotte Etulkotte price 2700000per perch genuine buyers well come after appointments,kotte Baddagana Duwa Rd,Residential,15.0 perches
119,Land for Sale Kotte 20 Perches,28 Jun  2:52 pm,"Kotte, Colombo","2,300,000",Pitta Kotte thalawathugoda road 20 perches bare land 2.3 million per perch,Pitta Kotte thalawathugoda road,"Commercial, Residential",20.0 perches
120,15 P Super Bare Land Sale Pitakotte, 7 Jun 10:16 am,"Kotte, Colombo","2,300,000",15 PERCHES GOOD LAND SALE AT DUE A ROAD BADDAGANA PITAKOTTE ,DUWA ROAD BADDAGANA PITAKOTTE,"Commercial, Residential",15.0 perches
121,10.375 P & Property Sale at Ethulkotte, 6 Jun  8:56 pm,"Kotte, Colombo","2,100,000",Rs 2100000.00 LAKHS per perchNegotiable,150 METERS TO MAIN ROAD / ETHULKOTTE,"Commercial, Residential",10.38 perches
122,10.15 P & Property Sale at Pitakotte, 6 Jun 12:46 pm,"Kotte, Colombo","2,500,000",Rs 2500000.00 LAKHSPER PERCHNegotiable,CONERL MAWATHA EPITAMULLA ROAD PITAKOTTE,"Commercial, Residential",10.15 perches
123,Land with House for Sale - Pita Kotte, 6 Jun  3:54 pm,"Kotte, Colombo","3,000,000",පිටකෝට්ටේ බැද්දගාන පාරේ රාහුල මාවතට ආසන්නයෙන් නිවස සහිත පර්චස් 8.3ක ඉඩම විකිනීමට ඇත. 	පැහැදිලි නිරවුල් ඔප්පු	අනුමත කල මිනිදෝරු සැලසුම්පත්	පුළුල් ප්‍රවේශ මංමාවත්	තෙකලා විදුලිය	නල ජල පහසුකම්	පාර්ලිමේන්තුවට ආසන්නයෙන්	නිස්කලංක පරිසරයක් සහිතයි	සියලු අගනුවරාසන්න පහසුකම් වලින් සමන්විතයි	පර්චස් එකක් ලක්ෂ 30යි..,Residential,8.3 perches,
124,Land for Sale Immediately in Kotte, 4 Jun 10:12 pm,"Kotte, Colombo","4,250,000",Good Residential / Commercial Property in Ethul Kotte facing Main road.,"777 Ethul Kotte, Kotte","Commercial, Residential",17.5 perches
125,6 P Residential Land for Sale in Kotte, 4 Jun  7:57 pm,"Kotte, Colombo","7,950,000",6 Perches Land Sale at Kotte. ,"Kotte, Raja Maha Vihara Mawatha, Bodiya Mawatha",Residential,6.0 perches
126,Super Land for Sale in - Kotte, 4 Jun  7:21 pm,"Kotte, Colombo","2,800,000",200m to Main Duwa Rd 20ft Rd Facing Superb Land Square Land High Land Highly Residential Area. 600m to Bangala Junction Very Close to Kotte Pitakotte Battaramulla Towns Price 2800000 per Perch Genuine Buyers Well Come After Appointments,Kotte Pitakotte Baddagana Duwa. Rd,Residential,7.0 perches
127,"20 Perches Land for Sale at Thalapathpitiya, Nugegoda.",25 Jun  9:51 am,"Kotte, Colombo","1,350,000","20 Perches Land for Sale at Thalapathpitiya, Araliya udyana Mawatha, Nugegoda. Very Close to Sri Jayawardenapura General Hospital and all Leading Banks, Financial Institutions, Super Markets, Private & Government Establishments, Government / Private Hospitals, Government & International Schools etc.","Thalapathpitiya, Araliya udyana Mw","Commercial, Residential, Other",20.0 perches
128,Land for Sale at Kotte, 4 Jun  9:58 am,"Kotte, Colombo","1,290,000",Land for Sale at KotteRAJAMAHA VIHARAYA ROAD30 PERCHES15 FEET ROAD💠 Very Use Full for ResidentHighly residential area and very calm surrounding.   For Quickly Sell,L-KOTTE-19,Residential,30.0 perches
129,Land for Sale at Kotte, 3 Jun  2:39 pm,"Kotte, Colombo","14,500,000",Land for sale in KOTTEKOTTE-KOTUBAMMA ROADNEAR PARLIAMENT5 MINTS TO NIPON BRIDGE10 FEET ROAD7 PERCHESWITH OLD HOUSE (LAND VALUE ONLY)  💠 Very Use Full for ResidentHighly residential area and very calm surrounding.  For Quickly Sell☎ Call for More Details...,L-KOTTE-18,Residential,7.0 perches
130,24 P & PROPERTY SALE PITAKOTTE, 3 Jun  7:26 am,"Kotte, Colombo","1,800,000",Rs 1800000.00 LAKHSPER PERCH,FACING RAJAMAHA VIHARA ROAD PITAKOTTE,"Commercial, Residential",24.0 perches
131,Land in Bird Park for Sale Kotte, 2 Jun  5:44 pm,"Kotte, Colombo","1,800,000",Perfect land with house for sale. Near parliament at bird park corner. Three bedroom one bathroom house included in the property.,Residential,13.8 perches,
132,Land for Sale in Kotte, 2 Jun  4:49 pm,"Kotte, Colombo","3,000,000",Good Residential Property in KotteLocated off Baddagana Road on Duwa road ,"Duwa Road, Baddagana","Residential, Other",7.0 perches
133,Land for Sale - Athulkotte, 3 Jul  1:24 pm,"Kotte, Colombo","2,500,000","ATHULKOTTE, NAVA JAYAWEERA MAWATHA IN A HIGHLY RESIDENTIAL NEIGHBOURHOOD. BEAUTIFUL LAND BLOCK",NAVA JAYAWEERA MAWATHA-ATHULKOTTE,Residential,8.45 perches
134,Land in Pelawathta, 2 Jun  2:59 pm,"Kotte, Colombo","1,895,000","* Excellent Location.Ideal investment opportunity in view of the escalating   land prices in the area or a great opportunity to live in  an exclusive area * Clear Deeds * facing to robert gunawardena mw,* 30,20 ft access road,* 6 perch to 11 perches plots available * 200 m to denzil kobbakaduwa mw,* 500 m to koswathta* 300 m to road development authority ,   maga neguma maha madhura ,   Sri lanka bureau of foreign employment",pelawathta,"Commercial, Residential",7.0 perches
135,Land for Sale - Pitta Kotte,28 Jun  2:52 pm,"Kotte, Colombo","1,500,000",Pita kotte Rajamal vihara 30 perches 1.5 Million per perch,Pita kotte Rajamal vihara,"Commercial, Residential",30.0 perches
136,Land for Sale Pitta Kotte,28 Jun  2:52 pm,"Kotte, Colombo","2,300,000",Pitta kotte thalwathugida Road Madiwala junction 65 perches bare land 2.3  million per perch,Pitta kotte thalwathugida Road Madiwala junction,"Commercial, Residential",65.0 perches
137,Commercial Land for Sale Facing Kotte Main Road,21 Jul  1:37 pm,"Kotte, Colombo","3,500,000",ETHUL KOTTE Main Road Facing,Kotte Road,"Commercial, Residential",19.5 perches
138,Land for Sale in Ethulkotte, 8 Jul  2:40 pm,"Kotte, Colombo","2,100,000",REFERENCE NO - L.E.K.02	,"Ethulkotte, Kotu bemma road",Residential,7.0 perches
139,Commercial Land for Sale Facing Kotte Main Road,21 Jul  1:37 pm,"Kotte, Colombo","3,500,000",ETHUL KOTTE Main Road Facing,Kotte Road,"Commercial, Residential",19.5 perches
140,"Land for Sale Pitakotte, Beddegana",18 Jun  7:05 am,"Kotte, Colombo","2,300,000","Pitakotte , Beddegana 12.2.perch rectangle excellent land plot facing to carpet road, 600 m to Pitakotte junction, 100 m to Thalawathugoda Rd,Clear title.Approved plan.a rare  opportunity.",Residential,12.2 perches,
141,Valuable Land for Sale in Kotte,10 Jul 11:21 am,"Kotte, Colombo","2,700,000","P.15Perch price Rs.2,700,000/=Water connectionThree phase electricityBank loan facilitiesWide access roadsClear deeds","Baddagana, Pitakotte","Commercial, Residential, Other",15.0 perches
142,"Land for Sale - Pitakotte ,beddagana", 2 Jun  2:49 pm,"Kotte, Colombo","2,350,000",:- highly resident area:- facing carpet road:- pitakotte junction 500m:- pitakotte thalawathugoda bus route 100m:- Rajagiriya pitakotte bus route 500m:- clear deed:- plan approval available,"pitakotte,beddagana",Residential,11.0 perches
143,118P Land for sale in Ethulkotte, 1 Jun 11:40 am,"Kotte, Colombo","1,950,000",Rs 1950000.00 LAKHS PER PERCH,ANGAMPITIYA ROAD ETHULKOTTE,"Commercial, Residential",118.0 perches
144,Land for Sale - Kotte, 1 Jun  2:16 am,"Kotte, Colombo","2,500,000",Residential land in kotre. 300m man road. 20ft road.gid invsmint.,"Commercial, Residential",15.0 perches,
145,Land for Sale in Ethulkotte, 8 Jul  3:18 pm,"Kotte, Colombo","2,400,000",REFERENCE NO - L.E.A.04,"Ethulkotte, Angampitiya",Residential,14.0 perches
146,"7.5p Two blocks or 15p one block - Beddagana, Pitakotte",31 May  6:04 pm,"Kotte, Colombo","2,300,000","15p Land is available for sale at Duwa Road, Beddagana, PitakotteFacing 20 ft wide roadGood residential areaSelling as two separate blocks or entire land","Duwa Road, Beddagana, Pita Kotte",Residential,15.0 perches
147,Land for Sale Kotte,28 Jun  2:52 pm,"Kotte, Colombo","1,650,000",Pitta kotte junction 15 perches per perch 1.65 million,Pitta kotte junction,"Commercial, Residential",15.0 perches
148,Land for Sale Kotte,28 Jun  2:52 pm,"Kotte, Colombo","3,200,000",Thalawatugoda road facing pitta kotte 25 perches road facing 3.2 million per perch,Thalawatugoda road facing pitta kotte,Residential,25.0 perches
149,Land for Sale in Kotte,28 Jun  2:52 pm,"Kotte, Colombo","2,700,000",Pitta kotte 6 perches 2.7 million per perch,KOTTE,"Commercial, Residential",6.0 perches
150,Land for Sale at Kotte,31 May 10:21 am,"Kotte, Colombo","2,700,000",Land for Sale at Kotte5.5 PERCHESBARE LAND💠 Very Use Full For Resident or Business Highly residential area and very calm surrounding.   For Quickly Sell,L-KOTTE-17,Residential,5.5 perches
151,9.75 P & Property Sale Pitakotte,29 May 10:46 pm,"Kotte, Colombo","1,600,000",Rs 15500000.00 LAKHS TOTAL PRICE ( 16 LAKHS PER PERCH )Negotiable,12 FEET BY ROAD DUWA ROAD BADDAGANA PITAKOTTE,"Commercial, Residential",9.75 perches
152,11 P & Property Sale at Baddagana,29 May 10:36 pm,"Kotte, Colombo","2,200,000",Rs 2200000.00 LAKHSPER PERCHNegotiable,DUWA ROAD BADDAGANA PITAKOTE,"Commercial, Residential",11.0 perches
153,12 P Bare Land Sale at Ethulkotte,29 May 10:30 pm,"Kotte, Colombo","2,400,000",Rs 2400000.00 LAKHS per perchNegotiable,RAMPART CROSS ROAD ETHULKOTTE,"Commercial, Residential",12.0 perches
154,Land for Sale at Thalawathugoda,29 May  3:01 pm,"Kotte, Colombo","1,600,000",Land for sale in thalawathugodaHOKANDARA ROAD20 FEET ROAD6 PERCHES200M TO THALAWATHUGODA JUNCTIONHighly residential area and very calm surrounding.  For Quickly Sell,L-THALAWATHUGODA-09,Residential,6.0 perches
155,Land for Sale at Kotte,29 May  2:53 pm,"Kotte, Colombo","3,000,000",Land for Sale at KotteNEAR BADDAGANA7 PERCHESBARE LANDHighly residential area and very calm surrounding.  For Quickly Sell,L-KOTTE-16,Residential,7.0 perches
156,Land For Sale Kotte,28 Jun  2:52 pm,"Kotte, Colombo","2,700,000",Pitta kotte Pattagana 7 Perches 2.7 Milliopn Per Perch,Pitta kotte Pattagana,"Commercial, Residential",7.0 perches
157,48 P SUPER BARE LAND SALE AT ETHULKOTTE,28 May 11:20 am,"Kotte, Colombo","1,825,000",Rs 1825000.00 LAKHSPER PERCH,angampitiya road ethulkotte,"Commercial, Residential",48.0 perches
158,27 P Bare Land for Sale at Kotte,28 Jun  9:38 am,"Kotte, Colombo","1,525,000",Rs 1525000.00PER PERCH,150 METERS TO MAIN ROAD DARMAPALA MAWATHA MADIWELA  KOTTE,"Commercial, Residential",27.0 perches
159,Land for Sale at Kotte,27 May  3:54 pm,"Kotte, Colombo","1,650,000",Land for Sale at Kotte19.68 PERCHESOBAHENA ROADWITH HOUSE (LAND VALUE ONLY)Highly residential area and very calm surrounding.   For Quickly Sell☎ Call for More Details..,L-KOTTE-14,Residential,19.68 perches
160,Land for Sale in Kotte,27 May 12:57 pm,"Kotte, Colombo","2,650,000","LAND FOR SALE IN Colamba Thrantree Mw, Athul Kotte.","Colaba thrantree Mawatha, Pitakotte Rd, Athul Kotte.","Commercial, Residential, Other",38.0 perches
161,Land for Sale Kotte,27 May 12:47 pm,"Kotte, Colombo","1,500,000",*- Back side of parliament Reva side gate*- Facing to road 20 ft wide Access to Land,"Kotte Road, Pita Kotte., Ethul Kotte","Agricultural, Residential, Other",18.0 perches
162,11 P with Property Sale at Baddagana,27 May 11:51 am,"Kotte, Colombo","2,100,000",Rs 2100000.00 LAKHSPER PERCHNegotiable,DUWA ROAD BADDAGANA PITAKOTTE,"Commercial, Residential",11.0 perches
163,Land for Sale in Pita Kotte,25 May  2:40 pm,"Kotte, Colombo","2,000,000",land for sale in pita kotte near ananda shasthralaya ground,Residential,7.5 perches,
164,Land for Sale in Ethulkotte, 8 Jul  2:40 pm,"Kotte, Colombo","2,100,000",REFERENCE NO - L.E.K.02	,"Ethulkotte, Kotu bemma road",Residential,7.0 perches
165,Commercial Land for Sale Facing Kotte Main Road,21 Jul  1:37 pm,"Kotte, Colombo","3,500,000",ETHUL KOTTE Main Road Facing,Kotte Road,"Commercial, Residential",19.5 perches
166,Ebuldeniya 21P Land For Sale in madiwela Road.,25 May  1:33 pm,"Kotte, Colombo","63,000,000","Rs 63,000,000/NegotiableEbuldeniya 21P Land For Sale in madiwela Road.",faching to  Ebuldeniya Road.Kotte,Residential,21.0 perches
167,Land for Sale in Battaramulla,24 May  6:45 pm,"Kotte, Colombo","3,000,000",Good Residential Property in Ethul KotteLocated in Wickramasinghe Place,Ethul Kotte Road,"Agricultural, Commercial, Residential, Other",20.0 perches
168,10.6 P Bare Land Sale at Kotte,24 May  2:34 pm,"Kotte, Colombo","1,590,000",Rs 1590000.00 LAKHSPER PERCHNegotiable,DUTUGAMUNU MAWATHA RAJAMAHA VIHARA ROAD KOTTE,"Commercial, Residential",10.6 perches
169,Land for Sale Ethulkotte,28 Jun  2:51 pm,"Kotte, Colombo","3,500,000",immediate sale,ethulkotte,"Commercial, Residential, Other",20.0 perches
170,Land for Sale Pittakotte,28 Jun  2:51 pm,"Kotte, Colombo","4,500,000",near srikoththa 5 bedroom old house only for land value,pittakotte,"Residential, Other",24.0 perches
171,Land for Sale - Kotte,28 Jun  2:51 pm,"Kotte, Colombo","2,000,000",20 feet road immediate sale,thalawathugoda road pittakotte,"Residential, Other",63.0 perches
172,Land for Sale Beddagana,28 Jun  2:51 pm,"Kotte, Colombo","26,500,000",20 feet road immediate salw,beddagana duwa toad,Residential,7.0 perches
173,Land for Sale - Kotte,28 Jun  2:51 pm,"Kotte, Colombo","20,000,000",20 perch and or 10 perch available,beddagana,"Residential, Other",20.0 perches
174,Land for Sale Pittakotte,28 Jun  2:51 pm,"Kotte, Colombo","16,000,000",empty land 10 feet road 20 meter from thalawathugoda road,thalawathugoda pittakotte,"Residential, Other",7.0 perches
