,0,1,2,3,4,5,6,7
212,Land For Sale - Galle,21 Jun  4:06 pm,"Galle, Galle","1,000,000",***Very Urgent,"Hirimbura Junction, Baddegama Road, Galle.","Commercial, Residential",8.42 perches
213,"Valuable land for immediate sale - Kurunduwatta, Galle.",21 Jun  2:56 pm,"Galle, Galle","100,000",උඩුගම වලහන්දූව පාරට මීටර 300ප්‍රධාන ජාතික පාසල් ආසන්නයෙ.පිරිසුදු ඔප්පු. නිස්කලන්ක පරිසරය.,"Sandasiri Uyana, 2nd Step, Kuruduwaththa, Walahanduwa Road.","Residential, Other",12.0 perches
214,Land for Sale in Ambalangoda,21 Jun 12:11 pm,"Ambalangoda, Galle","160,000","water , electricity , 30 feet wide tarring road available.prime finance easy payment and bank loan facilities availableone year interest free period approved.facing to ambalangoda batapola bus root.land in located to ambalangoda municipal  council.","Ambalangoda , dalukkanda junction",Residential,10.0 perches
215,Land for Sale in Ambalangoda,21 Jun 10:51 am,"Ambalangoda, Galle","160,000","water , electricity,30 feet wide tarring road available.prime fiance easy payment system and bank loan facilities available.one year interest free period approved.facing to ambalangoda batapola main road.land located to ambalangoda municipal council area.","Ambalangoda , dalukkanda junction",Residential,10.0 perches
216,ඉඩම සහිත නිවස - වවුලුගල,20 Jun  7:08 pm,"Galle, Galle","2,200,000",වවුලුගල තේ කර්මාන්ත ශාලාව අසල අකුරැස්ස ගාල්ල  ප්‍රධාන මාර්ගයට 50 mඅඩක් නිමකල පදිංචියට සුදුසු  නිවස සහිත ඉඩම පර්චස් 10ලක්ශ 22මිල සාකච්ඡා කරගත හැක,"Residential, Other",10.0 perches,
217,"Large Land for Sale in Karapitiya, Galle, Facing Main Road.",23 Jul 10:06 am,"Karapitiya, Galle","2,000,000","Large Extent (over 200 Perches) of prime Land facing the main road in Karapitiya, Galle.  A large old Dutch house exists in the property.",Karapitiya,"Commercial, Residential, Other",250.0 perches
218,Galle Land for Sale- 70 perches,21 Jul 12:45 pm,"Galle, Galle","8,000,000","high land with nice view. 10 min. to Pinnaduwa Interchange and Unawatuna, Galle. calm and quite surroundings. for immediate sale.clear deeds and boundaries.","Pinnaduwa, Galle.","Agricultural, Commercial, Residential, Other",70.0 perches
219,Land for Sale Galle Upperdickson Road,22 Jul  8:31 am,"Galle, Galle","5,000,000","15 perch Square flat land for sale in Upper dickson road.Highly Residential area02 minutes walking distance to Galle town02 Access roads to this property Sea view and mountain view Beautiful, calm and quiet location (Prime land - Prime location )Inside the circle of famous schools in Galleideal for villa / Apartment / Ware house surrounded by a wall and gatePrice can be negotiate after inspection Call for more information ගාල්ල ලේඩි-හිල් පාරේ පිහිටිඅනර්ඝ පර්.15ක ඉඩම විකිණීමට ඇතගාල්ල නගරයට විනාඩි 2න් පයින් යන දුරසියළු පහසුකම් අත ලඟින් පිවිසුම් මාර්ග දෙක ඇතජල විදුලිය ඇතුළු සියලු පහසුකම් ඇතමුහුද සහ කඳු යාය පැහැදිලිව දිස්වන රමණීය ඉඩමකිසුඛෝප බෝගී නිවාස සහ විලා පිහිටි පරිසරයකිනිස්කලංකයි ඉතා හොඳ වටපිටාවගාලු නගරයේ ප්‍රධාන පාසල් සියල්ලටම අතර මැදිව පිහිටයිමිල ගණන් පැමිණ පරීක්ෂාකොට සාකච්ඡාකල හැකවැඩි විස්තර සඳහා විමසන්න","Upper Dikson Road, Galle","Commercial, Residential",15.0 perches
220,Land for Sale in Baddegama,20 Jun  1:37 pm,"Baddegama, Galle","2,100,000",දැනට කුරුඳු වගා කර ඇත.පදිංචියට ඉතා සුදුසු යතගාල්ල - ඇලපිටිය ප්‍රධාන මාර්ගයට මීටර් 100 යි.අම්පෙගම ප්‍රධාන පාසලට මීටර් 800 යි.බද්දෙම අධිවේගී පිවිසුමට කි.මී. 5 යි.ඇල්පිටිය (කුරුඳුගහ) අධිවේගී පිවිසුමට කි.මී. 17 යි.,"Ampegama, Baddegama","Agricultural, Residential",11.22 perches
221,Land for Sale in Ampegama,19 Jun 11:57 am,"Galle, Galle","90,000","water , electricity,  30 feet wide tarring road , available.prime finance easy payment system or bank loan facilities available.one year interest free period approved.","Galle , Ampegama",Residential,10.0 perches
222,Land Lot 2 for Sale - Bentota, 3 Jul 11:07 am,"Bentota, Galle","500,000",32 purchase land. (Lot 2)  30 meters from main Galle Road. 400 meters to the beach. One kilometer to the city center. Ideal place for a Bungalow.  Contact for more details.,"Galle Road, Bentota",Residential,32.0 perches
223,Land for Sale in Habaraduwa,21 Jun  9:15 am,"Galle, Galle","250,000","55 perches land for Immediate  sale in Habaraduwa, 600 meters to galle road and Habaraduwa town best for villa or tourism use  carpet roads  clear deeds",Liyanagoda Habaraduwa,Residential,55.0 perches
