,Location,Price,Beds,Baths,House Size,Land Size
151,35,14000000,4,3,1800.0,11.0
152,32,21500000,4,3,2500.0,6.5
153,18,38000000,4,4,3499.0,6.0
154,28,12000000,3,2,1350.0,7.2
155,27,29000000,3,1,2000.0,10.0
156,33,11500000,5,3,2552.0,15.0
157,3,19500000,3,3,2040.0,6.5
158,35,18500000,5,3,2500.0,10.0
159,22,22500000,4,4,3200.0,8.0
160,32,21500000,4,3,2500.0,6.5
161,34,7300000,2,2,1000.0,8.0
162,18,38000000,4,4,3400.0,6.0
163,18,46000000,5,4,2850.0,7.9
164,18,46000000,5,4,3050.0,7.9
165,18,50000000,5,6,3750.0,12.0
166,30,35000000,4,3,2400.0,6.0
167,32,65000000,4,4,4000.0,18.12
168,35,21500000,4,3,2200.0,8.0
169,28,30000000,4,4,2400.0,10.0
170,38,30000000,5,4,3500.0,7.5
171,4,17000000,3,3,3500.0,9.0
172,18,50000000,5,6,3749.0,12.0
173,30,60000000,4,4,3450.0,6.0
174,35,25000000,5,2,4000.0,12.5
175,20,6800000,3,2,1200.0,10.0
176,18,80000000,10,10,6000.0,33.5
177,28,37000000,4,4,2900.0,10.0
178,32,80000000,5,4,5000.0,25.5
179,25,9000000,3,2,1380.0,6.5
180,25,13000000,3,3,1580.0,8.0
181,29,19800000,4,2,2200.0,8.6
182,21,7000000,5,4,2400.0,12.2
183,26,127500000,5,4,9000.0,18.0
184,31,38000000,7,4,1020.0,3.75
185,36,25000000,3,3,3500.0,17.0
186,32,59500000,7,5,5200.0,12.5
187,1,22500000,5,3,2400.0,18.5
188,39,230000000,4,2,1890.4,19.5
189,25,24800000,4,4,2500.0,7.0
190,38,21500000,4,3,2200.0,6.5
191,32,45000000,5,5,2400.0,10.5
192,38,32500000,4,4,3200.0,10.0
193,28,22500000,4,3,1883.0,5.5
194,1,31000000,4,5,4000.0,10.0
195,1,8300000,2,1,1600.0,12.0
196,28,19000000,3,3,2400.0,10.0
197,28,11800000,3,3,1500.0,8.0
198,28,11000000,3,3,1300.0,6.5
199,20,9500000,4,2,2000.0,12.0
200,3,85000000,4,2,5521.0,37.0
201,28,18000000,4,4,2200.0,7.0
202,28,23000000,4,4,2800.0,9.0
203,28,21000000,4,4,2450.0,7.0
204,35,28800000,6,5,3300.0,8.2
205,18,45000000,3,2,3500.0,14.5
206,9,25000000,2,2,800.0,6.5
207,34,26000000,3,2,1500.0,10.0
208,13,260000000,4,4,5000.0,20.1
209,28,20000000,4,3,2400.0,10.0
210,28,21000000,4,4,2800.0,7.0
211,28,21500000,4,3,2650.0,7.0
212,28,11000000,3,2,1500.0,7.0
213,28,28500000,5,4,3800.0,10.5
214,25,12500000,3,2,1537.0,10.0
215,23,33000000,4,4,2900.0,8.0
216,28,21500000,4,4,2400.0,6.0
217,32,37500000,5,3,3700.0,12.0
218,25,9500000,3,2,1100.0,9.0
219,27,47000000,4,3,3000.0,10.0
220,28,22500000,4,4,2800.0,8.0
221,17,75000000,4,3,2800.0,10.0
222,28,21500000,4,3,2200.0,6.5
223,28,16000000,3,3,1600.0,10.0
224,28,20000000,4,3,2500.0,10.0
225,28,28500000,5,4,3500.0,10.0
226,35,8000000,4,2,2420.0,5.0
227,3,49000000,5,5,6000.0,21.0
228,28,22500000,4,4,2850.0,8.0
229,27,29000000,4,2,3000.0,20.0
230,28,24000000,4,4,2850.0,8.0
231,28,30000000,5,4,2850.0,10.0
232,4,30000000,5,4,3500.0,7.6
233,20,4200000,2,1,1000.0,6.5
234,36,65000000,5,4,4500.0,11.5
235,28,24000000,5,4,2500.0,10.0
236,35,8700000,2,2,1200.0,6.0
237,36,32500000,4,4,3600.0,8.0
238,35,18500000,4,3,2300.0,10.0
239,28,23500000,4,4,2780.0,8.0
240,22,18500000,4,3,2000.0,9.0
