,Location,Price,Beds,Baths,House Size,Land Size
77,"Malabe, Colombo",21000000,4,4,"2,450.0 sqft",7.0 perches
78,"Malabe, Colombo",67500000,7,7,"5,260.0 sqft",21.0 perches
79,"Malabe, Colombo",30000000,5,4,"2,600.0 sqft",10.0 perches
80,"Battaramulla, Colombo",22500000,3,2,"1,800.0 sqft",10.5 perches
81,"Kottawa, Colombo",17000000,4,3,"2,100.0 sqft",6.2 perches
82,"Colombo 5, Colombo",80000000,3,2,"4,000.0 sqft",12.0 perches
83,"Moratuwa, Colombo",17000000,5,3,"2,500.0 sqft",11.3 perches
84,"Kottawa, Colombo",27000000,5,4,"5,408.0 sqft",12.8 perches
85,"Talawatugoda, Colombo",34000000,4,3,"2,800.0 sqft",7.5 perches
86,"Athurugiriya, Colombo",27000000,5,4,"5,408.0 sqft",12.8 perches
87,"Nugegoda, Colombo",30000000,6,4,"3,000.0 sqft",14.0 perches
88,"Battaramulla, Colombo",26000000,4,3,"3,000.0 sqft",7.6 perches
89,"Malabe, Colombo",20500000,4,3,"2,500.0 sqft",8.5 perches
90,"Malabe, Colombo",30000000,4,4,"2,900.0 sqft",8.0 perches
91,"Malabe, Colombo",11800000,3,3,"1,500.0 sqft",8.0 perches
92,"Malabe, Colombo",20000000,4,3,"2,500.0 sqft",10.0 perches
93,"Moratuwa, Colombo",8800000,3,1,"1,100.0 sqft",8.0 perches
94,"Colombo 7, Colombo",4800000,2,2,"1,200.0 sqft",9.0 perches
95,"Nugegoda, Colombo",47500000,4,3,"4,000.0 sqft",18.5 perches
96,"Battaramulla, Colombo",30000000,5,3,"3,500.0 sqft",10.0 perches
97,"Moratuwa, Colombo",3600000,1,1,"1,000.0 sqft",3.0 perches
98,"Mount Lavinia, Colombo",135000000,5,5,"6,000.0 sqft",25.5 perches
99,"Moratuwa, Colombo",29000000,4,4,"2,500.0 sqft",6.0 perches
100,"Dehiwala, Colombo",37500000,5,5,"3,200.0 sqft",6.0 perches
101,"Malabe, Colombo",15000000,3,1,"1,300.0 sqft",12.0 perches
102,"Kaduwela, Colombo",6300000,3,1,"1,500.0 sqft",10.0 perches
103,"Piliyandala, Colombo",16000000,5,5,"2,600.0 sqft",10.0 perches
104,"Homagama, Colombo",15900000,3,3,"2,650.0 sqft",4.0 perches
