,0,1,2,3,4,5,6,7,8
16,2 BR Apartment Ebuldeniya,24 Jun 10:13 pm,"Nugegoda, Colombo","8,900,000",This is your lucky chance to live nearby Colombo,2,2,825 sqft,
17,3 Bed Room Brand New Apartment for Sale in Nugegoda,16 Jul  7:05 am,"Nugegoda, Colombo","24,700,000","This 3 Bedroomed brand new apartment is situated down Jambugasmulla Road in Nugegoda, only 100m away from the high-level road and within walking distance to the Nugegoda town, supermarkets, shopping centers, schools and restaurants such as Pizza hut, Mc Donalds, Dominos, Burger King, KFC and many others.",Jambugasmulla Road,3,2,"1,300 sqft"
18,Apartment in Nugegoda,18 Jun  1:20 pm,"Nugegoda, Colombo","30,000,000",Brand new excellent 7th floor apartment (Nugegoda) with a panoramic view in an apartment complex bordering high level road very close to the flyover.,3,2,"1,350 sqft",
19,Luxury Apartment for sale in Nugegoda-Pagoda Road,18 Jun  9:41 am,"Nugegoda, Colombo","29,000,000",Luxury Apartment for sale in Nugegoda,"Pagoda road ,Nugegoda",3,2,"1,650 sqft"
20,LUXURY APARTMENT FOR SALE AT NUGEGODA,18 Jun  7:55 am,"Nugegoda, Colombo","21,000,000","Conveniently located in the city of Nugegoda, Which neighbors the Colombo metropolitan area.  this luxurious residency project come with a range of apartment sizes and rooms that suits your needs.""Nugegoda, the most popular shopping destination in Sri Lanka after Bambalapitiya, and it's also minutes away from the top level schools, supermarkets and other city luxuries. this is one of the perfect apartment project that you might want to buy before it's too late.",2,2,911 sqft,
21,Apartment For Sale With All Furniture - Nugegoda,14 Jun 10:17 am,"Nugegoda, Colombo","16,000,000","Fully Furnished Apartment For Sale Heart of the Nugegoda50m to International School, 100m to Nugegoda Central Bus stand & Railway Station150m to FoodCity & Keells and Super MarketsPeace and Calm area, High Residential Security Camera, 24hours Security, Gymnasium, Swimming Pool, Roof top terrance, Party area, 24hours working Lift2bederoom, single bathroom, Hotwater System with fully furnised houseSell for 16million","No.5B, Emeral Tower, Chapel Lane, Pelawatta Road, Nugegoda",2,1,850 sqft
22,Apartment in Nugegoda for unbelivable prices,13 Jun  6:51 am,"Nugegoda, Colombo","19,750,000",STARTING FROM 1100 SQFT TO 1350 SQFT 2 BEDROOM SPACIOUS APARTMENTS FOR JUST 19.75 MILLION2 BATHROOMS( 1 ATTACHED)1 CAR PARKING SLOT24 HOUR SECURITYELEVATORS BALCONIES,NUGEGODA,2,2,"1,350 sqft"
23,Apartment for sale in Nugegoda,11 Jun  4:07 pm,"Nugegoda, Colombo","23,900,000",Fully Furnished Apartment for sale in Nugegoda,Nugegoda,2,2,950 sqft
24,Stunning apartment for sale in Nugegoda,11 Jun  3:53 pm,"Nugegoda, Colombo","38,000,000",Ensuite roomsSmall indoor courtyardLarge living area and pantryRooftop terraceSemi furnishedMaids quartersAir conditioningHot waterCCTV camera system15 foot access roadTeak and Jack wood doorsHighly residential areaAccess to all amenitiesConvenient locationGarage parking for 2 vehicles,Old Kottawa Road,4,3,"4,000 sqft"
25,Apartment for Sale in Nugegoda,23 Jul  9:25 am,"Nugegoda, Colombo","24,000,000",This apartment is situated on the Third floor of a brand new luxury apartment condominium situated down Railway Avenue,"Railway Ave, Nugegoda",2,2,950 sqft
26,Luxury Apartments in Rajagiriya,11 Jun  3:13 pm,"Nugegoda, Colombo","32,000,000",Own the best apartment in Rajagiriya Next to Janajaya shopping complex.,3,3,"1,350 sqft",
27,Apartment for Sale - Nugegoda,28 Jun  2:51 pm,"Nugegoda, Colombo","120,000,000",4storeyed apartment 1509 soft per floor with car park,Nugegoda,4,2,"1,500 sqft"
28,Luxury Apartments in Pagoda,10 Jul  4:35 pm,"Nugegoda, Colombo","20,850,000","The high-rise complex at No 96, Pagoda Road in Kotte comprises of 60 well- appointed Luxury Apartments ranging from 905 Sq. Ft.- 1475 Sq. Ft with 02 and 03 bedrooms specifications. Some of the key features of these apartments are fully Air- Conditioned units, fibre optic connections ensuring high speed internet and HD TV, fully fitted German kitchens by Wellman, Marazzi Italian tiles, and high quality imported light and bathroom fittings. This Project comprises of a 15 storey tower with 04 floors of ample parking, and 10 floors of luxury living. The Roof top area nestling 02 infinity Swimming Pools (Adults/ Kids), Entertainment Lounge, and a Fully Equipped Gymnasium all add up to an undoubted reason as to why one should invest with ‘96 Residencies’. The starting price is slated at Rs. 18.5 million upwards.",pagoda,2,2,900 sqft
29,306 Nugegoda Apartment for Sale, 4 Jun  8:10 am,"Nugegoda, Colombo","40,500,000","Our latest apartment project now open for sale. The new apartment project is located in Nugegoda, Sri Lanka.",3,2,"1,141 sqft",
30,Apartments for Sale in Nugegoda, 4 Jun  8:08 am,"Nugegoda, Colombo","34,100,000",Nugegoda- Kandawatta Terrace” is the inspiring designed project of our urban collection.,3,2,"1,448 sqft",
31,"Apartment for Sale in Highlevel Road, Nugegoda", 3 Jun 10:38 am,"Nugegoda, Colombo","29,000,000","Apartment for sale in Highlevel road, Nugegoda",3,3,"1,400 sqft",
32,Lake view B/N With Furniture Apartments,28 May  9:39 am,"Nugegoda, Colombo","20,900,000","Lake Wiew Brand new apartment With Furniture  situated in a Pepiliyana Ratanapitiya calm, quiet and safe place with nice environment",FACING BELANWELA WALKING TRACK / 150 METERS RATANAPITIYA JUNCTION RATANAPITIYA PEIPILIYANA,2,2,"1,041 sqft"
