,0,1,2,3,4,5,6,7
65,Land for Sale in Kalapaluwawa,11 Jul  4:00 pm,"Rajagiriya, Colombo","10,925,000",A square land in a calm environment a retain wall/parapet wall is running right round the land. Expected price is Rs 1150000/= P.P   ,"Kotigala Rd, Aggona",Residential,9.5 perches
66,Land for Sale in Rajagiriya Close to Colombo 08,19 Jul  2:27 pm,"Rajagiriya, Colombo","4,300,000",30ft road500m to main roadSurround wall1km borella junction1km Rajagiriya junction,Gothami place rajagiriya,"Agricultural, Commercial, Residential, Other",11.0 perches
67,Land for Sale - Rajagiriya,21 Jun  1:19 pm,"Rajagiriya, Colombo","1,000,000","near giggles international school Elhena Rd, Madinnagoda, Rajagiriya ( Madinnagoda)3 phase electricity.clear deed.plz call for more details-0715769729   or 0757700304","Elhena Rd, Madinnagoda, Rajagiriya (Madinnagoda)",Residential,10.0 perches
68,18.5 P Land & House Sale Kalapaluwawa -Rajagiriya (sale Value),17 Jun 11:26 pm,"Rajagiriya, Colombo","19,500,000","Rs 19,500,000 Old Single Story House For Sale Kalapaluwawa _rajagiriya   (Sale in Land Value)--------------------3bedrooms 2bathroomsLiving /Dinning Pantry /","Kalapaluwawa, rajagiriya",Residential,18.5 perches
69,15.7 P & Property Sale at Rajagiriya,17 Jun  7:39 am,"Rajagiriya, Colombo","5,000,000",Rs 5000000.00 LAKHSPER PERCHNegotiable,150 METERS TO RAJAGIRIYA JUNCTION SAPUMALPLACE DHARMAPALA ROAD RAJAGIRIYA,"Commercial, Residential",15.7 perches
70,10 P Land for Sale in Rajagiriya .,16 Jun  7:56 pm,"Rajagiriya, Colombo","4,600,000","රාජගිරියත් බොරැල්ලත්  අතර ,දේවි බාලිකා   D S .,ජනාධිපති  ගේට්වේ ජාත්‍යන්තර පාසල  ඇතුලුව ප්‍රධාන පාසල් ද ,කාසල් ,ගෝල්ඩන් කී, ආයුර්වේද ,ඩර්ඩන්ස් රෝහල් ද රජයේ හා පුද්ගලික  කාර්යාලය ද ,සුපිරි වෙළෙඳ සැල් ද ,දුම්රියපොළ ද ,174,175,170 ,190 ,176 ද ඇතුලුව බස් මාර්ග විශාල ප්‍රමාණයක් ද  ආසන්නයේ ඇති  අඩි 25 ක් පලල පාරට මුහුනත සහිත නිදහස්  උසස් නේවාසික පරිසරයක පිහිටි පර්චස් 10ක වටිනා ඉඩම පර්චසය ලක්ෂ 46 ගනනේ විකිනීමට බලාපොරොත්තු වේ .ඉඩම පරීක්ෂා කිරීමෙන් පසුව මිල සාකච්ඡා කල හැක .තැරව්කරුවන් අනවශ්‍යයි .සත්‍ය ගැනුම්කරුවන් සදහා පමණයි .ඉඩම පරීක්ෂා කිරීම සදහා සාකච්ඡා කර කලින් වෙලාවක් වෙන්කර .ස්තුතියි ....",GOTHAMI ROAD RAJAGIRIYA .,"Commercial, Residential, Other",10.0 perches
71,"Land for Sale in Mirihana, Nugegoda [ls20]",14 Jun  9:56 pm,"Rajagiriya, Colombo","2,700,000","Highlights- Total land extent: 40.90 Perches- Property is located on Jubilee Mawatha Road, Mirihana, Nugegoda.- The property is facing Jubilee Mawatha Road which is approx. 20 feet wide.","Jubilee Mawatha Road, Mirihana, Nugegoda",Residential,40.9 perches
72,Land for Sale in Rajagiriya,14 Jul 10:07 am,"Rajagiriya, Colombo","1,550,000","LAND FOR SALE IN RAJAGIRIYA*The land is located rajagiriya madinnagoda road.*06 Perches.*1.5 Km from rajagiriya town.*High residential and good environment area.*30 Ft road.*Price per perch Rs 1,550,000.00.*Close to all banks/schools/hospitals/super market and other amenities.*You can save in multi millions.*Professional in housing @ land sales the easiest way to buy /sale/rent/lease house @ properties in around sri lanka.********Come to your dream home****************************No brokers***********",Rajagiriya Madinnagoda road,Residential,6.0 perches
73,11p Land Sale Gothami Road Rajagiriya,12 Jun 10:55 pm,"Rajagiriya, Colombo","4,800,000","Colombo gothami road . 11 PERCHASE HIGHLYLAND,  RESIDENTIAL AREA",gothami place,"Commercial, Residential",11.0 perches
74,Lakeside Land for Sale in Rajagiriya,12 Jun  2:12 pm,"Rajagiriya, Colombo","2,500,000","A beautiful rectangular block of land with a direct view of Diyawanna Lake & lots of valuable and interesting trees as Mahogany, Halmilla, Teak, Cinnamon etc. Perfect for those who appreciate nature and tranquility. ",Residential,14.2 perches,
75,14p Land for Sale in Rajagiriya,25 Jun  9:23 pm,"Rajagiriya, Colombo","1,500,000",14 perches land for sale in madinnagoda rajagiriya.1.5 million per perch.,madinnagoda rajagiriya,"Commercial, Residential, Other",14.0 perches
76,Land for Sale in Rajagiriya [LS15], 9 Jun 11:21 pm,"Rajagiriya, Colombo","3,100,000",Highlights- Land extent: 51 Perches + Additional 10 Perch Reservation Facing Diyawanna Lake.- Property is located on Kamathawatte Road which is off Borella-Rajagiriya-Cotta Road.- Located approx. 600 meters from the Borella-Rajagiriya-Cotta Road.- 25 year old single story house currently resides on the property. Selling for land value.,"Kamathawatte Road, Rajagiriya","Commercial, Residential",51.0 perches
77,Land for Sale in Gampaha, 7 Jun  1:33 am,"Rajagiriya, Colombo","95,000","230.2 perch land, located 500m off Gampaha-Naiwala main road (1km to Naiwala junction) is for immediate sale. - Clear deeds- Good location - Rectangular flat land with clear demarcations- Suitable for residential or commercial / agricultural purposes - Serious offers only","Agricultural, Commercial, Residential",230.2 perches,
78,10p Block for Sale Buthgamuwa Rd Rajagiriya,25 Jun  9:23 pm,"Rajagiriya, Colombo","1,600,000","10 perches land for sale in buthgamuwa road kariyawasam place rajagiriya,1.6 million per perch,",buthgamuwa Rd rajagiriya,"Commercial, Residential, Other",10.0 perches
79,Land with house - Rajagiriya, 5 Jun  2:44 pm,"Rajagiriya, Colombo","2,500,000",Peaceful land with many fruit trees.,Buthgamuwa Rd. Rajagiriya,Residential,36.0 perches
80,51 P Water Front Land Sale Rajagiriya,15 Jul  2:36 pm,"Rajagiriya, Colombo","2,850,000",Rs 2850000.00 LAKHSPER PERCHNegotiable,Facing Kamathawatha Road / Medawelikada Road Rajagiriya,"Commercial, Residential",51.0 perches
81,Land For Sale - Colombo 8,19 Jul  2:27 pm,"Rajagiriya, Colombo","4,500,000",1km Borella junction 500m Gothami road junctionSurround wall 200m to main road15ft road,"Gothami road ,  boralla","Commercial, Residential, Other",7.25 perches
82,Land for sale Rajagiriya 6 Perches,19 Jul  2:27 pm,"Rajagiriya, Colombo","3,500,000",Main Road Facing LandClear Document,"Rajagiriya, Madawilikada","Commercial, Residential",6.0 perches
83,Land for sale Rajagiriya 20 Perches,19 Jul  2:27 pm,"Rajagiriya, Colombo","2,600,000",20f roadSurround wall & Old houseClear documents300m to Main road,"Rajagiriya, Madawilikada","Commercial, Residential",20.0 perches
84,Land for Sale in Rajagiriya,30 Jun  9:40 am,"Rajagiriya, Colombo","1,500,000",Land for Sale in Rajagiriya================,"Budhgamuwa Road, Rajagiriya",Residential,10.4 perches
