,0,1,2,3,4,5,6,7
27,Land for Sale Rathmalana,11 Jun  2:11 pm,"Ratmalana, Colombo","520,000","බේකරි හංදිය, මංත්‍රිමුල්ල පාර, රත්මලානහි නිස්කලංක ප්‍රදේශයක පර් 10 ක වටිනා ඉඩමක් ඇත.","බේකරි  හංදිය, මංත්‍රිමුල්ල පාර, රත්මලාන",Other,10.0 perches
28,Residential Land for Sale - Mount Lavinia,19 Jul 11:14 am,"Ratmalana, Colombo","50,000,000",- 400m from the Galle Road- 500m from the Mount Lavinia Police Station- Highly accessible- Includes a housing structure,"64/19 Pirivena Road, Mount Lavinia",Residential,20.0 perches
29,17 Perches Bare Land for Sale at Rathmalana.,10 Jun  1:21 am,"Ratmalana, Colombo","3,700,000",STRICTLY NO BROKERS / AGENT!,"GALLE ROAD,RATHMALANA.","Commercial, Residential",17.0 perches
30,Land for Sale in Panadura,11 Jun  1:13 pm,"Ratmalana, Colombo","350,000",800 Meters for Main Road.,"Nalluruwa,  Mahawila Road, Punyananda Road,Panadura.",Residential,22.0 perches
31,8 P Square Land Sale 50 Meters to Galle Road Rathmalana, 8 Jun 12:52 am,"Ratmalana, Colombo","20,800,000",Residential / Commerclal 8P Square Land For Sale in Golumadama junction - Rathmalana    ------------With 15 feet Private Road 50 meters To Galle Road.,"Golumadama junction ,Rathmalana","Commercial, Residential",8.0 perches
32,Land for Sale in Rathmalana, 8 Jun  3:04 am,"Ratmalana, Colombo","7,500,000","Located in Thelewala(Land side). 900 m from Galle road, Nearby Moratuwa University, Germantec, KDU, Brandix etc.","Commercial, Residential",10.3 perches,
33,Land For Sale - Katubadda,19 Jul  2:45 pm,"Ratmalana, Colombo","850,000",Property details ,Katubadda Rahula mawatha,"Commercial, Residential, Other",14.0 perches
34,Land for Sale in - Ratmalana, 4 Jun  8:36 pm,"Ratmalana, Colombo","2,000,000","10 Perch Residential Property. Dharmarama Road 150m from Galle Road. Rs 2 Million per Perch, Right Round Parapet Wall and Gate, 15 Feet Wide Road Access. Attached to Dehiwala- Mt.Lavina Municipal Council.","Commercial, Residential",10.0 perches,
35,7.8 P Bare Land for Sale - Rathmalana, 4 Jun  1:02 pm,"Ratmalana, Colombo","2,050,000",Rs 2050000.00 Lakhs Per PerchNegotiable,Air Port Road Ratmalana,"Commercial, Residential",7.8 perches
36,Land for Sale in Ratmalana, 6 Jul  3:12 pm,"Ratmalana, Colombo","990,000",6.1 purches Bare land for sale in Rathmalana. ,241/2 kaldemulla moratuwa,Residential,6.1 perches
37,Land for Sale - Ratmalana,27 May  4:29 pm,"Ratmalana, Colombo","1,300,000",Description #Situated In a sri rahula road.katubadda# Good environment. # high residential and peaceful area. #100 M to galle road # 10 Feet Access Road. # Ideal to construct an apartment complex or build a new house. # Clear deeds. # Land extent 19 p# Price Per Perch Rs 1300000 (Negotiable),"Commercial, Residential",19.0 perches,
38,15 P Bare Land Sale at Ratmalana,29 May  9:33 pm,"Ratmalana, Colombo","2,100,000",Rs 2100000.00 LAKHSPER PERCHNegotiable,CASIYA AVENUE DE SILVA ROAD RATMALANA,"Commercial, Residential",15.0 perches
