ID,Location,Price,Beds,Baths,House Size,Land Size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
86,11,34000000,4,3,2800,7.5,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
87,9,27000000,5,4,5408,12.8,0,0,0,0,0,2,1,0,1,0,0,0,1,1,0
88,31,30000000,6,4,3000,14,1,0,0,0,1,2,1,0,1,0,0,0,0,0,0
89,18,26000000,4,3,3000,7.6,0,0,0,1,0,2,1,1,1,1,0,0,0,1,1
90,17,20500000,4,3,2500,8.5,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0
91,17,30000000,4,4,2900,8,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
92,17,11800000,3,3,1500,8,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
93,17,20000000,4,3,2500,10,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0
95,13,4800000,2,2,1200,9,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
96,31,47500000,4,3,4000,18.5,0,1,0,1,0,2,1,1,1,0,1,0,1,1,0
97,18,30000000,5,3,3500,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
100,2,29000000,4,4,2500,6,0,0,1,1,1,2,0,1,1,1,1,1,1,0,0
101,24,37500000,5,5,3200,6,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0
102,17,15000000,3,1,1300,12,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
104,22,16000000,5,5,2600,10,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
105,25,15900000,3,3,2650,4,1,0,0,1,1,2,1,1,1,1,0,0,0,1,0
106,9,9000000,3,2,1500,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
107,17,30000000,5,4,2600,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
108,11,33500000,5,4,3800,7.8,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0
109,34,2600000,3,3,1800,12.5,1,0,0,0,1,2,1,0,1,0,1,0,0,0,0
111,9,11000000,3,1,1800,20,1,0,0,0,1,2,1,0,1,0,0,0,1,0,0
112,9,27500000,5,3,3700,18.5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
114,22,8900000,3,2,1450,10,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0
115,22,12000000,3,3,1400,7.75,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0
116,9,17500000,4,2,2470,10,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
117,17,18700000,3,3,1800,7.13,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
118,31,48000000,5,4,2750,20,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
119,7,35000000,4,3,3100,6,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0
120,31,38500000,6,4,2905,9.86,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
121,7,40000000,4,3,3000,10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
124,34,15000000,5,2,2500,6.5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
125,11,23500000,4,3,2500,6,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0
126,31,59000000,5,5,5500,12,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
127,2,22750000,3,3,2600,7,1,0,0,0,1,2,1,1,1,1,0,0,1,0,1
128,17,19500000,5,3,3000,9.5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
129,9,33500000,5,4,4000,12,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1
130,22,9700000,2,1,700,6.7,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
131,31,24800000,3,2,25000,10,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0
132,22,15400000,3,3,1700,7,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
134,17,19000000,3,3,2400,10,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0
135,33,33000000,4,4,2700,8,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0
136,8,11500000,3,3,1450,7.3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
137,31,32000000,5,5,3500,8,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0
138,34,13800000,5,2,2300,6,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0
139,22,18500000,3,2,1800,22,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
