Unnamed: 0,0,1,2,3,4,5,6,7,8,9
601,Brand New Luxury Two Story House For Sale Thalawathugoda, 8 Aug  9:20 pm,"Talawatugoda, Colombo","32,500,000",Brand  New Luxury Two Story House For Sale Thalawathugoda ,"Kanaththa Road, Thalawathugoda",4,4,"3,500.0 sqft",11.0 perches
602,10.7P & Single Story House For Sale Pannipitiya, 8 Aug  8:58 pm,"Pannipitiya, Colombo","13,000,000",Single Story House For Sale Pannipitiya ,"Vidyalaya Junction, Pannipitiya",3,3,"1,500.0 sqft",10.7 perches
603,Brand New 2 Storied House For Sale in Malabe, 8 Aug  7:18 pm,"Malabe, Colombo","22,500,000","B / New Two Storied House For Sale In Malabe Road, 10 Perches Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,800.0 sqft",10.0 perches
604,Brand / New Three Storied House For Sale in || Malabe, 8 Aug  7:14 pm,"Malabe, Colombo","33,000,000","Brand New Three Story House For Sale In Thunadahena Road, Arangala.12 Perches Landscaped garden area","Kahanthota Rd, Malabe.",6,5,"3,900.0 sqft",12.0 perches
605,B / New Single Storied House For Sale in Malabe, 8 Aug  7:08 pm,"Malabe, Colombo","16,000,000","Brand new Single Storied House for Sale Malabe, Architect Designed10 perches with landscaped garden area.","Kahanthota Rd, Malabe.",3,3,"1,600.0 sqft",10.0 perches
606,Brand New Single Storied House For Sale in Malabe, 8 Aug  7:02 pm,"Malabe, Colombo","11,000,000","Brand New Single storied house @ Thalahena Road, Bathalawatta.6.5 Perches with Landscaped garden area.","Thalahena Rd, Bathalawatta.",3,3,"1,300.0 sqft",6.5 perches
607,B / New 2 Storied House For Sale in || Malabe, 8 Aug  6:57 pm,"Malabe, Colombo","23,000,000","Brand New 2 Storied House For Sale In Kahanthota Road, Malabe.09 Perches with Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,800.0 sqft",9.0 perches
608,B / New Single || Storied House - Athurugiriya, 8 Aug  6:50 pm,"Athurugiriya, Colombo","13,500,000","Brand New Single Story House For Sale In Galwarusawa Road, Athurugiriya.10 Perches Landscaped garden area.","Galwarusawa Rd, Athurugiriya.",3,3,"1,650.0 sqft",10.0 perches
609,Luxury house in Malabe for sale, 8 Aug  6:20 pm,"Malabe, Colombo","105,000,000",6600 square feet 2 balcony terraces 40 perches5 en suite bedrooms Air conditioning Maids quartersCCTVSwimming poolHot water for all bathroomsRocell fittings and floor tilesTeak wood door and railingSolar heated water system Parking space for up to 10 vehicles  ,"Welivita Road, Chandrika Kumarathunga Mawatha, Malabe",5,5,"6,600.0 sqft",40.0 perches
610,House For Sale In Kottawa, 8 Aug  9:13 pm,"Kottawa, Colombo","32,500,000","කොට්ටාව, ගල්කිස්ස 255 බස් මාර්ගයට මීටර් 100 පමණ නුදුරින් මුළුමනින්ම ටයිල් කරන ලද නව දෙමහල් නිවසකාමර 6, බාත්රූම් 2මිදුලට ගල් අතුරා ඇත.වාහන 3ක් පමණ නවතා තැබීමේ පහසුකම් සහිතයිකොස් හා තැඹිලි, පොල් ගස් ද ඇත.පලතුරු ගස් 2 ක් ඇත.විදුලිය සහ නලජලය සහිතයි.අවට පරිසරයදඉතාමත් සුරක්ෂිතයි.මුළු නිවසම ටයිල් අල්ලා ඇත.සින්නක්කර ඔප්පුමිල ලක්ෂ 325/=","Siddamulla, Kottawa",6,2,"3,000.0 sqft",15.0 perches
611,House for Sale in Pepiliyana, 8 Aug  6:03 pm,"Kohuwala, Colombo","30,000,000",This Two storied house with 2600 Sq.Ft. is situated in Pepiliyana,"Pepiliyana Road, Kohuwala",4,2,"2,600.0 sqft",11.0 perches
612,Valuable House For Sale In Pannipitiya,10 Aug  4:13 pm,"Pannipitiya, Colombo","16,000,000",මහරගම පන්සල පාරෙන් 174 ප්‍රධාන මාර්ගයට මීටර් 400ක් මහරගම නගරයට කිලෝමීටර 1.2ක් දුරින් නිවස සමග පර්චස් 11.5 ක වටිනා ඉඩම​ඉක්මනින් විකිනේමිල ලක්ශ 160,,5,3,"2,000.0 sqft",11.5 perches
613,House For Sale Colombo 10, 8 Aug  4:40 pm,"Colombo 10, Colombo","7,500,000",4.4 perches 2 toilets2 bathrooms 3 bedrooms1 shop,"217,MOHIDEEN MASJID ROAD, COLOMBO-10",3,2,"1,200.0 sqft",4.4 perches
614,B / New Single Storied House For Sale in || Kottwa, 8 Aug  4:18 pm,"Kottawa, Colombo","14,000,000","A Beautifull Single Story house for sale in Mattegoda Salgas Junction,Cargills food city (walking distance)","Mattegoda Salgas, Junction,",3,2,"1,288.0 sqft",8.0 perches
615,House for Sale in Maharagama, 8 Aug  3:25 pm,"Maharagama, Colombo","18,000,000",House for Sale in MaharagamaNEAR PAMUNUWA CIB SHOP2 STORIED HOUSEKITCHENLIVING ROOM2 BED ROOMS2 BATH ROOMSHOT WATERFULL TILED  💠 Very Use Full for ResidentHighly residential area and very calm surrounding.  For Quickly Sell\,H-MAHARAGAMA-10,2,2,"1,500.0 sqft",7.0 perches
616,2 Storey Brand New House Sale - Maharagama Twon, 8 Aug  3:25 pm,"Maharagama, Colombo","22,000,000",2 storey Brand New 8P House For Sale in maharagama twon,2km to Maharagama junction,4,3,"2,850.0 sqft",8.0 perches
617,Two Storey Luxury House in Athurugiriya, 8 Aug  4:01 pm,"Athurugiriya, Colombo","18,000,000","Two storey luxury house will be completed within 6 months including 4 Bed rooms, 2 Bath rooms, Living, Dining, Kitchen and Pantry ,Open Garden Terrence, 1 vehicle parking Space,Roller Shutter Gate with Parapet Wall, CCTV Camera, Fully Tiled, Finishing Roof, Water,Electricity with 6.3 perches at Athurugiriya, one of the most developing cities in Sri Lanka. 600m from Athurugiriya Main Bus Road, walking distance to Athurugiriya Town, Few minutes for the Athurugiriya Highway Entrance with easy commute to Homagama and Kottawa Towns.",Athurugiriya,4,2,"2,537.0 sqft",6.3 perches
618,House for Sale in Nugegoda, 8 Aug  3:09 pm,"Nugegoda, Colombo","32,000,000",Two story house situated at Nugegoda – Jambugasmulla RoadGood Neighborhood & Calm & quiet area,"Jambugasmulla Road, Nugegoda",3,2,"2,000.0 sqft",6.1 perches
619,Two Storied House For Sale in Kottawa,12 Aug  4:19 pm,"Kottawa, Colombo","26,000,000","Kottawa, Makubura Two Storied House4 Bedrooms2 Living Area1 Study Room1 TV Room2 Pantry 2 Toilets9 inch Solid Brick Walls 2700 sqft1st Class ""BIM SAVIYA CERTIFICATES""Land & Building Plan Approved by UDA900 Meters to High Level Road1km to Makumbura Main High Way Entrance 1.1k to Newly Build Makmbura High Way Bus StandPrice: 260 Lakhs","Makubura, Kottawa",4,2,"2,700.0 sqft",13.0 perches
620,House for Sale - Kottawa,14 Aug  4:36 pm,"Kottawa, Colombo","10,000,000",A property in a speedily developing area with rapidly increasing land value.,,2,1,700.0 sqft,7.5 perches
621,House Sale Kotikawatta, 8 Aug  2:59 pm,"Angoda, Colombo","18,500,000",* පර්චස් 18.44* පදින්චියට සුදුසු කාමර4ක නිවස* විදුලිය/පිරිසිදු ලිං ජලය* පුලුල් කාපට් පාර* කොටිකාවත්ත නගරයේ සිට මීටර්150ක පමන් දුරින් පිහිටා ඇත.* නිරවුල් ඔප්පු. * 175 බස් පාරට පෙනෙන් දුරින්* cargills food city එකට ඇවිදන් විනාඩි 5ක දුරින් පිහිටා ඇති වාසයට හෝ එපාර්ට්මන්ට් එකක් ඉදිකිරීම සදහා ඉතා අනර්ග ස්තානයකි..* මුලු වටිනාකම රැපියල් 18500000 කි..* https://goo.gl/maps/9Dfu8XUDfPMptPcL8,kudabuthgamuwa,4,1,"3,000.0 sqft",18.44 perches
622,3 Bed Room Modern House Sale - Thalawathugoda, 8 Aug  2:47 pm,"Talawatugoda, Colombo","30,000,000","THALAWATHUGODA Lake road,- Elegantly designed Open Plan 2,500 Sq. Ft House on 11 perch land in a Highly Exclusive Community area. The house is located in Absolutely Quiet & calm area on Lake road, closer to the Vidyaloke College. 03 Bed rooms & 03 bathrooms. The house consist of all modern amenities with sitting, dining, fitted pantry and enclose parking & landscape garden.Separate domestic quarters and many exiting features.Price- 30 Million",Lake Road- Thalawathugoda,3,3,"2,500.0 sqft",11.0 perches
623,House for Sale in Nugegoda | Papiliyana, 8 Aug  3:46 pm,"Nugegoda, Colombo","42,000,000",House for Sale in Nugegoda | Papiliyana,"36 C, Papiliyana Mawatha, Nugegoda.",5,4,"3,455.0 sqft",12.25 perches
624,House for sale in Polgasowita, 8 Aug  3:40 pm,"Piliyandala, Colombo","7,200,000","2 Storied house for sale in Palagama, Polgasowita.","Palagama, Polgasowita",3,2,"2,500.0 sqft",11.5 perches
625,Brand New 03 Story Luxury House & 18P Sale At Pitakotte,16 Aug  9:11 am,"Kotte, Colombo","127,500,000",Just Completed on 18 perch land.,30 Feet Vihara Mawatha Pitakotte,5,4,"9,000.0 sqft",18.0 perches
626,5BR Luxury House for Sale in Pita Kotte, 8 Aug  2:34 pm,"Kotte, Colombo","39,000,000",• Our Reference No SH 10089( Please quote this reference number when inquiring),Pita Kotte,5,5,"4,000.0 sqft",10.0 perches
627,4BR Brand New 6P House For Sale in Hokandara, 8 Aug  2:25 pm,"Malabe, Colombo","21,500,000",Architect Designed Brand New 6P House For Sale in Hokandara,350 meters to Hokandara Road,4,3,"2,850.0 sqft",6.0 perches
628,House in Athurugiriya, 8 Aug  2:24 pm,"Athurugiriya, Colombo","8,000,000","Hose for sale in millenium city, athurugiriya 10mi walking distance to town2 bedrooms 2 bathrooms Kitchen with pantryLiving room Parking space 2 vehiclesfully Renovated houseCCTV and 24hr srcurity5mi walking to c.food city and HNB, Smpath, ATM 5mi walking to restaurant Call for more details",,2,2,"1,800.0 sqft",6.0 perches
629,Single Storied House - Thalahena || Bththaramulla, 9 Aug  5:23 pm,"Battaramulla, Colombo","12,500,000","Brand New Single Storied House For Sale In Battaramulla Road, Thalahena.07 Perches with Landscaped garden area.   ( 1 Year Used )The house is completely tiled","Battaramulla Road, Thalahena.",3,3,"1,200.0 sqft",7.0 perches
630,House for Sale in Boralesgamuwa, 8 Aug  2:20 pm,"Boralesgamuwa, Colombo","22,000,000",House Property for Sale in Boralesgamuwa on 13 Perches Land. In this premises has 3 Houses.,"No. 230 A 1,2,3 Neelammahara",4,2,"1,100.0 sqft",13.0 perches
631,Beautiful 9 Bed House in Dehiwala, 8 Aug  2:14 pm,"Dehiwala, Colombo","80,000,000","Clear deedFront & back gardenFront & back balconyQuiet residential areaEasy access from wide roadDriveway parkingTwo separate garagesSeparate access for second unit20 perches of land5,000 square feet","Dudley Senanayake Mawatha, Galle Road, Dehiwala",9,4,"5,000.0 sqft",20.0 perches
632,Two Storied House For Sale in Malabe, 8 Aug  1:58 pm,"Malabe, Colombo","18,000,000","Two Story House For Sale In Gamunupura, Kaduwela.07 Perches , Landscaped garden area ( 2 Year Used House )","Kaduwela Rd, Gamunupura.",4,4,"2,200.0 sqft",7.0 perches
633,House For Sale In Piliyandala, 8 Aug  1:56 pm,"Piliyandala, Colombo","11,000,000",More Details Reference No : H - 98,"Piliyandala,Batakththara,Madapatha Road",4,2,"1,638.0 sqft",6.8 perches
634,5 Br 2 Storey House for Sale in Bokundara, 8 Aug  1:55 pm,"Boralesgamuwa, Colombo","25,000,000","2 Storey House For Sale Bokundara,Piliyandala School  Lane ------------------------Located just 700meters to 120 Colombo- Horana  Bus routes ",Located just 700meters to 120 Colombo- Horana  Bus routes,5,3,"2,725.0 sqft",12.0 perches
635,B/new House for Sale - Jaburaliya,11 Aug 12:12 pm,"Piliyandala, Colombo","8,700,000",8.7 million Breand New house 600 miter bandaragama Colombo bus rd සියලු වැඩ අවසන් කර මිල ලක්ෂ 87මිල සාකච්ඡා කර ගත හැක,piliyandala bandaragama rd jaburaliya,2,2,"1,250.0 sqft",6.0 perches
636,House New Tow Story for Sale Piliyandala, 8 Aug  1:40 pm,"Piliyandala, Colombo","16,000,000",16 million SOS rdBreand New tow story house 2 vehicle parking space Garden,piliyandala SOS rd,4,2,"2,100.0 sqft",6.0 perches
637,New House for Sale Kesbewa, 8 Aug  1:32 pm,"Kesbewa, Colombo","16,000,000",16 million 2 vehicle parking space Garden Full complete house,kesbewa SOS rd,4,2,"2,100.0 sqft",6.0 perches
638,Brand New House for Sale Kesbewa, 8 Aug  1:29 pm,"Kesbewa, Colombo","8,700,000",8.7 million Brand new house 600 miter bandaragama Colombo bus rd Full complete house අලුතින් සාදන ලද පදිංචි නොවු නවීන නිවසකිසියලු වැඩ අවසන් කර මිල ලක්ෂ 87මිල සාකච්ඡා කර ගත හැක,kesbewa bandaragama rd,2,2,"1,250.0 sqft",6.0 perches
639,3units Srperstrs House Sale Mount Lavinia, 8 Aug 12:45 pm,"Mount Lavinia, Colombo","56,000,000","Modern House Darmarama Road ,Ratthmalane 3units Srperstrs Electricity Water","400 Meters to Galle Road,Darmarama Road ,Ratthmalane",9,7,"4,500.0 sqft",10.0 perches
640,Three Story Luxury House - Koswatta Battaramulla Junction, 9 Aug 10:48 am,"Battaramulla, Colombo","29,000,000",Beautifully presented 4 Bedroom spacious and airy house with parking for 2 cars including a front and back garden space.,Koswatta,4,4,"3,000.0 sqft",6.0 perches
641,Brand New 2 Storied House in Malabe, 8 Aug  1:41 pm,"Malabe, Colombo","21,000,000","Brand / New 2 Storied House For Sale In Pothuarawa Road, Malabe.07 Perches with Landscaped garden area.","Hokandara Road, Arangala.",4,4,"2,450.0 sqft",7.0 perches
642,Brand New 2 Storied House - Malabe, 8 Aug  1:48 pm,"Malabe, Colombo","30,000,000",Brand New Two Storied House For Sale In Malabe08 Perches with Landscaped garden area.,Malabe.,4,4,"2,900.0 sqft",8.0 perches
643,B / New Two Storied House For Sale in Malabe, 8 Aug  1:53 pm,"Malabe, Colombo","19,000,000","Brand New Two Storied House For Sale In Wanaguru Mw, Hokandara.10 Perches , Landscaped garden area","Horahena Road, malabe",3,3,"2,400.0 sqft",10.0 perches
644,B / New Two Storied House in Malabe, 8 Aug  2:09 pm,"Malabe, Colombo","20,000,000","Brand New Two Storied House For Sale InThunadahena Road, Malabe.10.8 Perches with Landscaped garden area.","Thunadahena Road, Malabe",4,4,"2,500.0 sqft",10.0 perches
645,Brand New Single Storied House For Sale in Athurugiriya, 8 Aug  2:20 pm,"Athurugiriya, Colombo","11,000,000",B / New Single Storied House For Sale In || Aturugiriya .09 Perches Landscaped garden area.,"Habarakada, Athurugiriya",3,3,"1,400.0 sqft",9.0 perches
646,House for Sale - Kottawa,14 Aug  4:36 pm,"Kottawa, Colombo","10,000,000",A property in a speedily developing area with rapidly increasing land value.,,2,1,700.0 sqft,7.5 perches
647,Brand New 2 Storied Luxury House for Sale in Malabe,14 Aug 11:43 am,"Malabe, Colombo","33,000,000","New Morden  New 2 story House for Sale in Malabe, thunadahaena rd","Malabe, kahanthota Rd, thunadahena Rd",6,6,"3,800.0 sqft",12.0 perches
648,Brand New 2 Storied House For Sale in || Malabe, 8 Aug  2:29 pm,"Malabe, Colombo","24,000,000","B / New Two Storied House For Sale In Kahanthota Road, Malabe.07 Perches with Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,900.0 sqft",7.0 perches
649,B / New 2 Storied Home in Athurugiriya, 8 Aug  2:32 pm,"Athurugiriya, Colombo","27,000,000","Brand New Two Storied House With Terrace Architect Designed,Spacious Modern type House Situated in Athurugiriya","Rukmalagama Road, Thaldiyawala.",5,4,"5,480.0 sqft",12.8 perches
650,Brand New 2 Storied House For Sale in Kottawa, 8 Aug  2:38 pm,"Kottawa, Colombo","27,000,000","Brand New Two Storied House With Terrace Architect Designed,Spacious Modern type House Situated in Kottawa","Rukmalagama Road, Thaldiyawala.",5,4,"5,408.0 sqft",12.8 perches
651,Brand New Two Storied House For Sale in Baththaramulla, 8 Aug  3:03 pm,"Battaramulla, Colombo","16,500,000",Two Story House For Sale In Thalahena.07.1 Perch,"Malabe Road, Thalahena",3,2,"2,200.0 sqft",7.1 perches
652,Brand New House for Sale in Malabe, 8 Aug 11:56 am,"Malabe, Colombo","16,000,000","The house situated in Kahantota Road, Calm and best residential area. The house is fully tiled, Finishing high roof, Kitchen with modern pantry cupboard, Master bed room with attached bath room, servant toilet, Garage, Inside parking for 2 vehicles, Roller gate. BERYL will provide you personalized, trust worthy service at all the time.","Kahantota Road, Malabe",3,2,"1,600.0 sqft",10.0 perches
653,Luxury Living Space - Dehiwala, 9 Aug 11:06 am,"Dehiwala, Colombo","29,000,000","House for immediate sale in Dehiwala Abesekara Rd Kawdana with 4 bedrooms & 2 washroomLand extent 7 perches,",Dehiwala Abesekara Rd Kawdana,5,2,"1,600.0 sqft",7.0 perches
654,House for sale in Panagoda Athurugiriya, 8 Aug 10:59 am,"Athurugiriya, Colombo","6,400,000",- House for urgent sale in Panagoda - Ambulgama road.. - 2 bedrooms- Living room - Pantry - Bathroom - Verandah - 2 small gardens - CCTV - A/C- Hot water - 700m to 698 and 293 bus halt- 2 km to Habarakada junction and Panagoda junction - 7km to Athurugiriya highway - 5km to Athurugiriya and Godagama town- Fully tilted and completed - Genuine buyers only,,2,1,"1,000.0 sqft",6.0 perches
655,House For Sale - Kalubowila, 8 Aug 10:40 am,"Dehiwala, Colombo","40,000,000",Kalubowila Anderson road 14 Perches 4 bedrooms house 3 bathrooms car parking only land value 40 million,Kalubowila Anderson road,4,3,"3,000.0 sqft",14.0 perches
656,House for Sale at Rathmalana,10 Aug  1:27 pm,"Ratmalana, Colombo","9,500,000","Well maintained house with a spacious backyard3 bedrooms 1 bathroom with a spacious living and dining area1 km from the Galle road25 ft wide access roadVery conveniently located and highly residentialCloser to economic centre, Mega sathosa, water board, Rathmalana Hindu College and Timber Corporation. Call for more details",,3,1,"1,600.0 sqft",7.0 perches
657,Two Story House in 14.5 P Land for Sale Wijerama, 8 Aug 10:16 am,"Nugegoda, Colombo","40,000,000",Between Wijerama Junction and Japura Univercity. All Leading Supermarkets in Walking Distance.2mnts Walk to Wijerama Junction.10 Mnts Drive to Kalubowila and Jayawardanapura National Hospitals.,Soratha Mawatha 23/4 Wijerama Gangodawila.,3,3,"2,400.0 sqft",14.5 perches
658,House for Sale in Colombo 10,12 Aug  4:52 pm,"Colombo 10, Colombo","4,000,000","2 story house slab roof topFully tiled Road facingMarket,hospital,mosque,temple nearbyPanchchikawatta bus halt walking distance",,2,2,"1,000.0 sqft",1.7 perches
659,Brand New 3 Stored House for Sale in Malabe Kahanthota Road., 8 Aug  9:40 am,"Malabe, Colombo","28,000,000","Brand new three stored house for sale in Malabe kahanthota road. 600 m from pittugala junction. 2 km to Malabe junction. .......................................................................The house is completely tiled. 4Bed Room5 bathroom.( sola hot water available).Living Room dining Room 2 pantry Servant room and bathroomA/c room/cctv camera/roof top/Landscape garden. Parking for 2 vehicles. Roller gate. Pipe born water supply with over head water tank. .. Clear Titles.*Close proximity to the kaduwela Malabe Athurugiriya *Cargills Food Cit, keel super, Market and laugfs,Sunup super Market.*2.5km to KOthalawala highway Entrane*2 km to the Chandrika Kumaratunga Mawatha Jogging Track*900metrs to the SLIIT Campus*SINEC Marithime Campus*Horizon Campus Malabe*Horizon International schoolPlease call for Seen on appointment more information and PriceGENUINE BUYERS ONLYNO BROKERS","kahanthota Road, Malabe",4,5,"3,500.0 sqft",6.0 perches
660,Luxury Modern 6 Br House For Sale in Athurugiriya Road - Malabe, 8 Aug  9:35 am,"Malabe, Colombo","68,000,000","Brand new Luxury Modern House For Sale in Athurugiriya Road - MalabeClose to Athurugiriya HIghway Entrance (02KM)Close to Hemas Hospital (5KM) 200Mtr to main bus route ( Bus # 190, 170,).............................................................................................Situated in highly residential area6 bed rooms with A/C room6 attached bath rooms with Hot-waterServant toiletModern kitchen Luxury pantry cupboardsLiving room, Dining room and TV loungeAccess Road 20feet roadgarage with parking space for 04vehicles.","Pothuarwa Road, Malabe",6,6,"5,300.0 sqft",21.0 perches
661,3 Store House With Shop Thalawathugoda, 8 Aug  8:49 am,"Talawatugoda, Colombo","12,000,000","Bedrooms - 04Bathrooms - 02Two Houses & ShopParking Space Living / Dining / Tv Lobby / Balcony & Pantry Approved Documents Highly Residential Area 400m to Hokandara Thalawathugoda Road ( Walking Distance )Close to Thalawathugoda, Kotte, PelawaththaPrice 12 million ( Negotiable )Please call for seen on appointment ........................................Van or Land ( Homagama area ) exchange ok","Hokandara, Thalawathugoda",4,2,"1,976.0 sqft",6.85 perches
662,Newly Renovated House with Large Garden Close to Pita Kotte, 8 Aug  8:34 am,"Kotte, Colombo","55,000,000","Architecturally designed well maintained single storied house with large gardenSpacious living and dinning area3 bedrooms (with A/C) 2 attached bathrooms,Modern fitted pantrySeparate maids room, bathroom and store room,Beautifully landscaped garden,Vehicle parking,Roller gate,","Madiwela, Pita Kotte",3,3,"2,000.0 sqft",20.0 perches
663,New House at Kesbawa, 8 Aug  8:30 am,"Kesbewa, Colombo","12,500,000","Two storied  newly build  quality house for immediate sale….4 rooms with 3  bath rooms,  living room, garage, & pantry contact 0776876070 price 12.5 million…..9 perch with 20 feet road with very economical design within 8 perch…All complete house including garden,  gate, servant toilets.Conveniently located in peaceful well secured residential area close to piliyanda & kesbawa towns. just 100 m  bandaragama Colombo  bus road house located near bandaragama road,house with all facilities. Very convenience to all supermarkets and some of the the banks. Selling at urgently...",bandaragama road kesbawa,4,3,"1,850.0 sqft",9.0 perches
664,Luxury New 4BR House for Sale in Nugegoda, 8 Aug  8:25 am,"Nugegoda, Colombo","42,000,000","Architect designed upstair luxury house built 2016 on 8perches for sale in highly residentiaNugegoda.2980Sqfeet ----------------------04Bed Room 03 Bath RoomLarge living,dining areas,wooden pantry,maids washroom, hot water,3Phase electicity,garden spaces front and back,high celling,garage with parking for 2 vehiclesroller shutter,overhead take,pressure pump","Walauwattha  Road, Delkada ,Nugegoda",4,3,"2,980.0 sqft",8.0 perches
665,3 Story House for Quick Sale Hokandara, 8 Aug  6:32 am,"Talawatugoda, Colombo","28,000,000",3 Story  House for  Quick Sale in Hokandara,Kottawa - Malabe Road.Hokandara South,6,4,"3,650.0 sqft",12.5 perches
666,Half Built House for Sale Thalahena Malabe, 8 Aug  2:09 am,"Malabe, Colombo","15,500,000",400M FROM MAIN ROAD KADUWELA/MALABE RD.RS 15.5 MLN. ( 155 LAKHS ),,6,3,"2,500.0 sqft",12.0 perches
667,House For Sale In Dehiwala, 7 Aug 10:19 pm,"Dehiwala, Colombo","28,000,000",House up for sale in dehiwala100m for bilal masjid500m to galle road Very residential areaPlease call for more detailsPrice is negotiable after inspectionBrokers make sure you have a buyer on hand.,"111/1B, Abesekara rd, Kawdana, Dehiwala",4,2,"2,000.0 sqft",7.0 perches
668,Brand New Single House For Sale Mavitthara - Piliyandala, 7 Aug 10:17 pm,"Piliyandala, Colombo","13,000,000","Brand New Single House For Sale Honnanthara ,Mavitthara-------------------------Located just 250meters to 255 Kottawa- M Laviniabus route to highly residential area350meters to Mavitthara junction1.5km to Piliyandala800meters to Kesbewa*Its a Single story house on 8 perches and is 1,550 sq ft.04bedrooms 1 Bed Room A/C02common Bathrooms with Hot waterliving rooms CCTV Pantry & kitchen.Normal garage with parking space for 01vehicles.Access Road 18 feet roadClear Titles.*Close proximity to the Kesbewa, Piliyandala,Kottawa*Cargills Food Cit, keel super, Market and laugfs,Sunup super Market.Please call for Seen on appointment more information and PriceGENUINE BUYERS ONLYNO BROKERS","250meters to 255Kottawa- M Lavinia Bus Route , Honnanthara,Mavitthara",4,2,"1,550.0 sqft",7.0 perches
669,Brand New Single House For Sale in Kottawa - Honnanthara, 7 Aug 10:09 pm,"Kottawa, Colombo","13,000,000","Brand New Single House For Sale Honnanthara , Mawavithara-------------------------Located just 250meters to 255 Kottawa- M Laviniabus route to highly residential area350meters to Mavitthara junction1.5km to Piliyandala800meters to Kesbewa*Its a Single story house on 8 perches and is 1,550 sq ft.04bedrooms 1 Bed Room A/C02common Bathrooms with Hot waterliving rooms CCTV Pantry & kitchen.Normal garage with parking space for 01vehicles.Access Road 18 feet roadClear Titles.*Close proximity to the Kesbewa, Piliyandala,Kottawa*Cargills Food Cit, keel super, Market and laugfs,Sunup super Market.Please call for Seen on appointment more information and PriceGENUINE BUYERS ONLYNO BROKERS","250meters to 255Kottawa- M Lavinia Bus Route , Honnanthara,Mavitthara",4,2,"1,550.0 sqft",7.0 perches
670,Single Story Brand New House For Sale in Miriswattha, 7 Aug  9:07 pm,"Kesbewa, Colombo","12,800,000",Single Story Brand New House For Sale in Miriswattha -Piliyandala Located just 200 meters to 120 colombo -Horana bus   route to highly residential area.,Located just 200 meters to 120 colombo -Horana bus   route to highly residential area.,3,1,"1,200.0 sqft",7.5 perches
671,Two Storied House for Sale - Battaramulla,14 Aug  5:31 pm,"Battaramulla, Colombo","8,000,000","බත්තතරමුල්ල තලාහේන බන්ට් පාරේ පිහිටි දෙමහල් නිවසකිපහත මහල සම්පූර්ණ කර ඇත , උඩු මහල අඩක් නිමවා ඇත (කාමර 3 සහ නාන කාමර 1)පහත මහලේ නිදන කාමර 2නාන කාමර 1මාලබේට 2km , බත්තරමුල්ලට 4km",Bunt road,2,1,671.0 sqft,3.0 perches
672,Single Storied House at Malabe, 7 Aug  6:54 pm,"Malabe, Colombo","7,200,000","Single storied house In Kahanthota Rd, Malabe.6 Perches with Landscaped garden area.","Kahanthota Rd, Malabe.",2,1,"1,000.0 sqft",6.0 perches
673,House for sale Diyagama ( near to the NDT campus),11 Aug  9:49 am,"Maharagama, Colombo","8,000,000",දියගම හන්දිය මහින්ද රාජපක්ෂ ක්‍රීඩාන්ගනයේ සිට කි.මි.1ක් පමණ දුරින් පිහිටි නිවසකි.නිදන කාමර තුනකින් සමන්විත වටතාප්ප සහිත ටයිල් කල අන්ගසම්පූර්ණ නිවසකි.,"piskal waththa, magammana,homagama.",3,1,"1,950.0 sqft",9.0 perches
674,Brand New House for Sale - Kottawa, 2 Aug  2:16 pm,"Kottawa, Colombo","13,000,000",Kottawa mathththegoda road 3bedroom3bathroom hot water Garage completed pantry Cctv Rollgate 200m Mathththegoda colombo bus road .highlevel road 2km.foodcity .bank .cherh .temple to 100m,kottawa  mattagoada road,3,3,"1,580.0 sqft",8.0 perches
675,Brand New Two Storied House For Sale in || Kottawa, 7 Aug  6:35 pm,"Kottawa, Colombo","26,000,000",Brand New Two Storied Luxury Modern House in Kottawa10 Perches with Landscaped garden area.,"Kurulu Uyana, PolKotuwa, Kottawa",4,4,"2,900.0 sqft",10.0 perches
676,Two Storied House For Sale In || Kottawa, 7 Aug  6:22 pm,"Kottawa, Colombo","17,000,000","Two Storied House For Sale, Horahena Road, Vilsan Park, Kottawa.Perches ,6.2 Landscaped garden area.","Vilsan Park , Horahena Kottawa",4,3,"2,100.0 sqft",6.2 perches
677,Three Storied House For Sale in || Malabe, 7 Aug  6:10 pm,"Malabe, Colombo","46,000,000",Three story house & a basement with Five bedrooms ( Two A/C Rooms ) and five bathrooms (Two attached & Three common) ,Malabe,5,4,"3,500.0 sqft",11.8 perches
678,House for Sale in - Kottawa, 8 Aug  1:58 pm,"Kottawa, Colombo","12,000,000","කොට්ටාව ගල්කිස්ස 255 බස් මාර්ගයට ආසන්නව සිද්ධමුල්ල පර්චස් 6.5,  නවීන දෙමහල් නිවසක වැඩ නිමකල  පහත මාලය  කාමර 3 , නාන කාමරය , ගරාජය සහිතයි.",,3,1,"1,100.0 sqft",6.5 perches
679,House For Sale In Nugegoda, 7 Aug  4:56 pm,"Nugegoda, Colombo","75,000,000","36 perches, renovated old house for sale. 3 bed rooms two toilets amole garden space. Looking at selling part of the land as well...",Embuldeniya Nugegoda,3,2,"2,000.0 sqft",36.0 perches
