Unnamed: 0,0,1,2,3,4,5,6,7,8,9
13,Brand New Two Storey House for Sale Rajagiriya,14 Aug 11:39 pm,"Rajagiriya, Colombo","57,000,000",Rajagiriya kalupaluwala two storey brand new luxury house Bedrooms 4Bathroom 4Floor area 3500Two car parking space Area of land 10.4200m to main road 1km to rajagiriya 1km to parlimentAvailable nowA/C roomMain line water3 phase electricity Overhead water storageGaragePrivate garden Servant's roomServant's toilet No brokers please Only genuine buyers,Rajagiriya  kalupaluwawala,4,4,"3,500.0 sqft",10.5 perches
14,A Brand New Luxury House in Malabe,16 Aug  6:55 pm,"Malabe, Colombo","26,000,000",*  1.5  km  malabe   city* 500m   Athurugiriya  high way  entrance * 25m  190  main   bus  route  (pettah  -aturugiriya)*2km  malabe   sliit  campus * 5 bedroom * 3  bathrooms * large   living   area   and   dining   area * open   pantry * large   TV  lobby *  rooftop * large   balcony * AC* CCTV* hot   water *servant   bathroom *  surrounding   wall *roller   gate *2  vehicle   parking * better   environment *20  feet   road *no  boundaries * only   genuine   buyers,,5,4,"3,000.0 sqft",8.5 perches
15,Luxury Brand New Two Story House Pilyandala,13 Aug  3:24 am,"Kottawa, Colombo","26,000,000",Luxury brand new house for sale kottawa 296 piliyandala road 4bedroom 4bathroom tv lobby rooftop balcony 3vehical parking space 200m to mainroad 2.5km highlevel road piliyandala town 3km kottawa dharmapala viddiyalaya 1km,kottawa 296 pilyandala road,4,4,"3,680.0 sqft",10.0 perches
16,Brand New Two Storey Luxury House malabe,15 Aug 12:19 am,"Malabe, Colombo","21,500,000","*B/new luxury house for sale in maharagama malabe road *8 perches with landscape garden area*300 to malabe maharagama road *350 m to Hokandara juntion *2km to malabe town *1.3 km to highway entrance *4bedroom*4 bathroom with hot water *T.v lobby *Balcony *Remote & roller shutter & wicket gate*CCTV  camera *Finishing roof (imported wooden)*Complete kitchen *Living ,dining ,modern pantry area *No blind wall*Two vehicles parking space*2680 sq*25ft road ",malabe mharagam road,4,4,"2,680.0 sqft",7.0 perches
17,Two Stories House for Sale in Moratuwa,16 Aug  7:16 pm,"Moratuwa, Colombo","13,500,000",Located in Commercial and Residential Area Bedrooms 04 - (01 Room can use as a separate pantry)Bathrooms 02Servants Room 01  01 PantryLarge car porch (Can park 02 vehicles),"Galpitahaboda Rd, Kadalana, Moratuwa.",4,2,"2,000.0 sqft",8.2 perches
18,B/N 02 Story House & 6 P Sale At Thalawathgoda,16 Aug  6:39 pm,"Talawatugoda, Colombo","21,500,000",Architect Designed Brand New 6 P House For Sale in Thalawathgoda / Hokandara,Thalawathgoda / Hokandara,4,3,"2,500.0 sqft",6.0 perches
19,Newly Built luxurious Open concept House for sale Pannipitiya,16 Aug  6:34 pm,"Pannipitiya, Colombo","135,000,000",Newly Built | luxurious | Open concept | House for sale @ Pannipitiya______________________________________________________,near 174 bus route,5,3,"4,500.0 sqft",20.0 perches
20,House for Sale - Piliyandala,16 Aug  6:32 pm,"Piliyandala, Colombo","8,500,000",10 purch Land04 Bed RoomsLiving AreaDining Area02 Bathrooms (inside/outside)Hot waterKitchenPipe Line waterWall & Gate,"No.197/1/B, city of Life, Kahathuduwa",4,2,"2,500.0 sqft",10.0 perches
21,House for Sale Homagama,24 Jul  8:59 am,"Homagama, Colombo","12,900,000","This immaculately designed 2-story house with a private balcony, invites comfort, and includes modern elegance. With 3 bedrooms, and 2 baths, generous living space and stylish finishes, you'll enjoy a perfect setting for relaxing and entertaining, thus living upto the name of the Lotus Flower. ","Pitipana South, Homagama",3,2,"1,650.0 sqft",10.0 perches
22,"Newly Built | luxurious House for sale Delkanda,Nugegoda",16 Aug  6:22 pm,"Nugegoda, Colombo","115,000,000","Newly Built | luxurious | House for sale @ Delkanda,Nugegoda_______________________________________________________",near Delkanda city limit,5,5,"6,500.0 sqft",14.8 perches
23,Brand New luxurious 3 storied House for sale Pelawatta,16 Aug  6:17 pm,"Battaramulla, Colombo","195,000,000","Brand New | luxurious | 3 storied | House for sale @ Pelawatta________________________________________________________Land & Floor Area •20 perches, (11500 sq,ft)",Near pelawatta city limit,7,7,"11,500.0 sqft",20.0 perches
24,Luxury Two Story House for Sale Piliyandala,16 Aug  6:16 pm,"Piliyandala, Colombo","24,000,000",Luxury Two Story House For Sale Piliyandala ,"Gangarama Road, Piliyandala",5,4,"3,400.0 sqft",11.5 perches
25,Spacious | Single Storied House for sale Athurugiriya,16 Aug  6:08 pm,"Athurugiriya, Colombo","24,000,000","Spacious | Single Storied House for sale @ Athurugiriya________________________________________________• - 19 perches, (2200sq,ft)• - Tiled and cement flooring• - 4 bedrooms with study area• - 3 bathrooms and Servant toilet• - living, dining with kitchen area• - ""U"" shape open sit-out area• - Solid wooden interior & exterior• - pipe born water with overhead water tank• - well maintain “U” shape garden area with coconut trees to walk around the house • - Surrounding by well-built walls with 2 gates (14 feet )• - car porch plus parking space for another 4 ,5 vehicles• - Calm & quiet residential area• - 15Feet Wide Access Road• - 1 km to Athurugiriya city limit• - 2 km to Athurugiriya Highway Entrance• - 100 feet to 190 bus route• - 5 km to Godagama , Homagama city limit___________________________________________More photos - www.kpproperty.lk",Near Athurugiriya police station,4,3,"2,200.0 sqft",19.0 perches
26,02 Story Luxury House & 37 P Land for Sale in Kohuwala,16 Aug  9:09 am,"Kohuwala, Colombo","105,000,000",Property details,200 Meters To 120 Main Road ( COLOMBO -PILIYANDALA ROAD ) Pepiliyana Mawatha Kohuwala,4,4,"4,600.0 sqft",37.0 perches
27,House for Sale - Kottawa,14 Aug  7:20 pm,"Kottawa, Colombo","6,500,000","Land with single story house for sale immediately3km to kottawa junction31/2km to kottawa multi purpose bus stop1km to Vidyala junction100m to kottawa malabe main road (336bus route)10feet access roadVery carmful environmentLiving dinning area corridor2bedrooms & master bedroom with attached bathroom2barth rooms2pantries_one open to dining roomRoof asbestos and fully cellingFully tiled floorCar porchSurrounding wall and gateSmall garden _mango, king coconut treeFull furnished","malabe road, kottawa",2,2,"1,000.0 sqft",5.6 perches
28,Two story house in Mattegoda, 4 Aug  6:42 pm,"Kottawa, Colombo","21,500,000","- 4 bedrooms, 1 AC room, - 1 office/library room- downstairs Lobby, Living, dining and Pantry with modern pantry cupboards- Upstairs TV lobby- Two bathrooms- Servant room and toilet- Fully tiled- Pipe born water and well water / an overhead tank with a pressure pump- Solidly built house with double Brick walls- Parking for two vehicles- Landscape garden and surrounding walls- 10.6 perch land and total floor area of 2,170 sq. Ft.",,4,2,"2,170.0 sqft",10.6 perches
29,Brand New | luxurious Disabled Friendly House Pelawatta,16 Aug  6:04 pm,"Battaramulla, Colombo","375,000,000",Brand New |  luxurious | Disabled Friendly | House for sale | @ | Pelawatta_______________________________________________________ Land & Floor Area -,Near Pelawatta city limit,5,5,"8,600.0 sqft",30.0 perches
30,Architecture Design Super Luxury Three Story House For Sale Rajagiriya,16 Aug  6:02 pm,"Rajagiriya, Colombo","57,000,000",Architecture Design Super Luxury Three Story House For Sale Rajagiriya ,"Kalapaluwawa Road, Rajagiriya",4,3,"3,500.0 sqft",10.4 perches
31,"Beautiful | 3 Storied with Furniture House for Sale Embuldeniya,",16 Aug  5:53 pm,"Nugegoda, Colombo","37,500,000","Beautiful | 3 storied | with furniture | House for sale @ Embuldeniya, Nugegoda---------------------------------------------------------------------------------------------------------------Land & Floor Area -12 perches, (3000 + 700 sq,ft)--------------------------------------------------------------------------Bedrooms -",near jayawardanapura Hospital,5,3,"37,000.0 sqft",12.0 perches
32,"Luxurious | House for sale werahera, Boralesgamuwa",16 Aug  5:42 pm,"Boralesgamuwa, Colombo","82,000,000","Luxurious | House for sale @ , werahera, Boralesgamuwa_________________________________________________________• - The house an Architect designed & solidly built using quality material• - 37 perches ( over 6000 sq,ft)• - Vacant Position• - completely tile flooring (porcelain)• - 7 bedrooms with 5 wash rooms (italian fittings)• - Large swimming pool with Bar & pool Table area• - Beautiful 2 Living & 2 pantry areas• - tv lobby & front terrace with balconies• - all rooms having A/C provisions• - spacious wel maintain Front & rear Garden (front 8p)• - car porch plus parking space for another 10 vehicles• - store room & laundry area with servant facilities ( room, toilet & bath)• - pipe born water with over head water tank (2000 L)• - entire house made by 9 inch bricks wall• - calm & quiet residential area• - surrounded by wel built walls with steel & wicket gate• - walking distance to werahera city limit• - Nearest Cities - Boralesgamuwa / piliyandala",near 120 bus route,7,5,"6,000.0 sqft",37.0 perches
33,Luxury Three Storey House for Sale Dehiwala,16 Aug  5:38 pm,"Dehiwala, Colombo","62,000,000",three storey house for sale 11 rooms 6 bathrooms a/c hot water 4 vehicles car parking 12 perches immediately sale price  62 million please no brokers,kadawatha road dehiwala,10+,6,"6,000.0 sqft",12.0 perches
34,Newly built | 2 units paddy field facing House - Boralesgamuwa,16 Aug  5:36 pm,"Boralesgamuwa, Colombo","55,000,000",Newly built | 2 units | paddy field facing |  House for sale @ Boralesgamuwa_____________________________________________Land & Floor Area -,near Boralesgamuwa city limit,7,5,"4,000.0 sqft",18.5 perches
35,Brand New House Sale in Piliyandala,16 Aug  8:16 pm,"Piliyandala, Colombo","13,000,000","Brand New House for sale in Piliyandala* 3 Bed Rooms, 02 Bath Rooms* 200m to the Piliyandala - Madapatha Bus Road * 10 min drive to Piliyandala Town & Kesbewa Junction* 15 min drive to Katubedda Junction & Kahathuduwa Highway entrance","Makandana, Madapatha",3,2,"1,450.0 sqft",9.85 perches
36,Luxury House For Sale In Homagama, 9 Aug  9:43 pm,"Homagama, Colombo","29,800,000","*800m from Homagama town*400m from Homagama Base Hospital*03 minutes to Highway Entrance*02 master bedrooms, A/C with attach bathroom*02 bedrooms and bathroom with hot water*Roof top with grass*Ground floor dinig area with teak kitchen pantry cupboard*04 bedroom set with arpico spring mattress (20 years warranty)*Vehicle garage and roller door*CCTV cameras (6 units)*Teak sliding doors and windows","Galawila Road, Homagama",4,3,"2,600.0 sqft",8.0 perches
37,"Newly Built |Spacious | House for sale - Meegoda,Homagama",16 Aug  5:26 pm,"Homagama, Colombo","21,000,000","Newly Built |Spacious | House for sale @  Meegoda,Homagama__________________________________________________Land & Floor Area -",near 122 bus route,5,2,"3,000.0 sqft",12.0 perches
