,Location,Price,Beds,Baths,House Size,Land Size
122,Kotte,65000000,5,3,3000.0,10.0
123,Angoda,15000000,5,2,2500.0,6.5
124,Talawatugoda,23500000,4,3,2500.0,6.0
125,Nugegoda,59000000,5,5,5500.0,12.0
126,Moratuwa,22750000,3,3,2600.0,7.0
127,Malabe,19500000,5,3,3000.0,9.5
128,Athurugiriya,33500000,5,4,4000.0,12.0
129,Piliyandala,9700000,2,1,700.0,6.7
130,Nugegoda,24800000,3,2,25000.0,10.0
131,Piliyandala,15400000,3,3,1700.0,7.0
132,Maharagama,24500000,4,2,2000.0,13.4
133,Malabe,19000000,3,3,2400.0,10.0
134,Ratmalana,33000000,4,4,2700.0,8.0
135,Kesbewa,11500000,3,3,1450.0,7.3
136,Nugegoda,32000000,5,5,3500.0,8.0
137,Angoda,13800000,5,2,2300.0,6.0
138,Piliyandala,18500000,3,2,1800.0,22.0
139,Battaramulla,180000000,7,7,14000.0,23.0
140,Moratuwa,28000000,4,4,3680.0,10.0
141,Malabe,23000000,4,3,2582.0,8.6
142,Kottawa,34000000,5,3,3600.0,19.0
143,Malabe,14000000,5,3,1950.0,6.6
144,Piliyandala,24000000,5,4,3400.0,11.5
145,Malabe,24000000,4,3,2800.0,7.0
146,Dehiwala,54600000,10,6,8500.0,12.0
147,Kaduwela,19500000,3,3,2150.0,8.6
148,Malabe,20500000,4,3,2850.0,8.0
149,Nugegoda,16500000,3,1,3267.0,12.0
150,Piliyandala,4300000,3,1,1000.0,5.72
151,Piliyandala,14000000,4,3,1800.0,11.0
152,Nugegoda,21500000,4,3,2500.0,6.5
153,Dehiwala,38000000,4,4,3499.0,6.0
154,Malabe,12000000,3,2,1350.0,7.2
155,Maharagama,29000000,3,1,2000.0,10.0
156,Padukka,11500000,5,3,2552.0,15.0
157,Battaramulla,19500000,3,3,2040.0,6.5
158,Piliyandala,18500000,5,3,2500.0,10.0
159,Kesbewa,22500000,4,4,3200.0,8.0
160,Nugegoda,21500000,4,3,2500.0,6.5
161,Pannipitiya,7300000,2,2,1000.0,8.0
162,Dehiwala,38000000,4,4,3400.0,6.0
163,Dehiwala,46000000,5,4,2850.0,7.9
164,Dehiwala,46000000,5,4,3050.0,7.9
165,Dehiwala,50000000,5,6,3750.0,12.0
166,Mount Lavinia,35000000,4,3,2400.0,6.0
167,Nugegoda,65000000,4,4,4000.0,18.12
168,Piliyandala,21500000,4,3,2200.0,8.0
169,Malabe,30000000,4,4,2400.0,10.0
170,Talawatugoda,30000000,5,4,3500.0,7.5
171,Boralesgamuwa,17000000,3,3,3500.0,9.0
172,Dehiwala,50000000,5,6,3749.0,12.0
173,Mount Lavinia,60000000,4,4,3450.0,6.0
174,Piliyandala,25000000,5,2,4000.0,12.5
175,Homagama,6800000,3,2,1200.0,10.0
176,Dehiwala,80000000,10,10,6000.0,33.5
177,Malabe,37000000,4,4,2900.0,10.0
178,Nugegoda,80000000,5,4,5000.0,25.5
179,Kottawa,9000000,3,2,1380.0,6.5
180,Kottawa,13000000,3,3,1580.0,8.0
181,Moratuwa,19800000,4,2,2200.0,8.6
182,Kaduwela,7000000,5,4,2400.0,12.2
183,Kotte,127500000,5,4,9000.0,18.0
184,Nawala,38000000,7,4,1020.0,3.75
185,Rajagiriya,25000000,3,3,3500.0,17.0
186,Nugegoda,59500000,7,5,5200.0,12.5
187,Athurugiriya,22500000,5,3,2400.0,18.5
188,Wellampitiya,230000000,4,2,1890.4,19.5
189,Kottawa,24800000,4,4,2500.0,7.0
190,Talawatugoda,21500000,4,3,2200.0,6.5
191,Nugegoda,45000000,5,5,2400.0,10.5
192,Talawatugoda,32500000,4,4,3200.0,10.0
193,Malabe,22500000,4,3,1883.0,5.5
194,Athurugiriya,31000000,4,5,4000.0,10.0
195,Athurugiriya,8300000,2,1,1600.0,12.0
196,Malabe,19000000,3,3,2400.0,10.0
197,Malabe,11800000,3,3,1500.0,8.0
198,Malabe,11000000,3,3,1300.0,6.5
199,Homagama,9500000,4,2,2000.0,12.0
200,Battaramulla,85000000,4,2,5521.0,37.0
201,Malabe,18000000,4,4,2200.0,7.0
202,Malabe,23000000,4,4,2800.0,9.0
203,Malabe,21000000,4,4,2450.0,7.0
204,Piliyandala,28800000,6,5,3300.0,8.2
205,Dehiwala,45000000,3,2,3500.0,14.5
206,Colombo 15,25000000,2,2,800.0,6.5
207,Pannipitiya,26000000,3,2,1500.0,10.0
208,Colombo 5,260000000,4,4,5000.0,20.1
209,Malabe,20000000,4,3,2400.0,10.0
210,Malabe,21000000,4,4,2800.0,7.0
211,Malabe,21500000,4,3,2650.0,7.0
212,Malabe,11000000,3,2,1500.0,7.0
213,Malabe,28500000,5,4,3800.0,10.5
214,Kottawa,12500000,3,2,1537.0,10.0
215,Kohuwala,33000000,4,4,2900.0,8.0
216,Malabe,21500000,4,4,2400.0,6.0
217,Nugegoda,37500000,5,3,3700.0,12.0
218,Kottawa,9500000,3,2,1100.0,9.0
219,Maharagama,47000000,4,3,3000.0,10.0
220,Malabe,22500000,4,4,2800.0,8.0
221,Colombo 9,75000000,4,3,2800.0,10.0
222,Malabe,21500000,4,3,2200.0,6.5
223,Malabe,16000000,3,3,1600.0,10.0
224,Malabe,20000000,4,3,2500.0,10.0
225,Malabe,28500000,5,4,3500.0,10.0
226,Piliyandala,8000000,4,2,2420.0,5.0
227,Battaramulla,49000000,5,5,6000.0,21.0
228,Malabe,22500000,4,4,2850.0,8.0
229,Maharagama,29000000,4,2,3000.0,20.0
230,Malabe,24000000,4,4,2850.0,8.0
231,Malabe,30000000,5,4,2850.0,10.0
232,Boralesgamuwa,30000000,5,4,3500.0,7.6
233,Homagama,4200000,2,1,1000.0,6.5
234,Rajagiriya,65000000,5,4,4500.0,11.5
235,Malabe,24000000,5,4,2500.0,10.0
236,Piliyandala,8700000,2,2,1200.0,6.0
237,Rajagiriya,32500000,4,4,3600.0,8.0
238,Piliyandala,18500000,4,3,2300.0,10.0
239,Malabe,23500000,4,4,2780.0,8.0
240,Kesbewa,18500000,4,3,2000.0,9.0
241,Kaduwela,13000000,3,2,2000.0,14.0
242,Maharagama,27000000,4,2,2500.0,8.35
