,0,1,2,3,4,5,6,7
29,Residential Property for Sale Mt Lavinia,22 Jul  8:47 am,"Mount Lavinia, Colombo","2,300,000","13.32 perch land, 250 meters from Galle Road on Land side on Templers Road. On private road, Property surrounded by residential houses and never built on. Up market neighborhood.  Great Location, Clear Title Deeds and Prime Residential Property - Safe / Quiet Neighborhood. Cleared rectangular Block, with access to two different private roads for entrance. Extremely close to all banks, St Thomas College, Keels and Cargill’s and Mt Lavina junction.Asking price of 2.3 million per perch or nearest offer","Templers Road, Mt Lavinia",Residential,13.32 perches
30,Large Land Ware House Mt Lavinia, 2 Jul  7:15 am,"Mount Lavinia, Colombo","2,000,000",Large Land in Mount Lavinia Good to Start a Land project Garment factory ware house Hotel project etc  Great investment for future Wide roads Easy access containers Give your proposal,Mount Lavinia Templars Road,"Commercial, Residential, Other",409.0 perches
31,44 P Bare Land for Sale in Mount Lavinia, 4 Jul  3:40 pm,"Mount Lavinia, Colombo","2,200,000",Rs 2200000.00 Lakhs  per perchNegotiable,TEMPLE ROAD MOUNT LAVINIA,"Commercial, Residential",44.0 perches
32,409 P & Property Sale at Mount Lavinia, 4 Jul  2:43 pm,"Mount Lavinia, Colombo","2,100,000",Rs 2100000.00 Lakhs  per perchNegotiable,150 METERS TO TEMPLE ROAD MOUNT LAVINIEA,"Commercial, Residential",409.0 perches
33,Land for Sale in Mount Lavinia, 4 Jul  1:56 pm,"Mount Lavinia, Colombo","2,800,000","Good Residential Property in Peiris Road, Mount laviniaLocated in calm and quiet, decent residential area","Peiris Road, Mount Lavinia","Residential, Other",23.0 perches
34,7P Land for Sale in Mt Lavinia Near Galle Rd, 9 Jul 10:39 am,"Mount Lavinia, Colombo","20,000,000",Land with Livable 3br House  Near Galle Rd  opposite courts Mtlavinia 7.67 perches Wide roads Only 200 laks,Near mt courts wijaya rd,"Commercial, Residential",7.67 perches
35,13 P Land for Sale in Mount Lavinia Sent Rita's Rd, 2 Jul 11:26 pm,"Mount Lavinia, Colombo","2,400,000","13p Valuable  Land for sale at mount Lavinia. Sent Rita's Rd. Just 800 meters to Gall road.13 pase electricity with 12 feet parapet wall around the land. Security room.Superb block of land which can use for appartment, or  residential purpose.Just working distance to beach. Easy access to bank, super market, ectNo brokers .Clear deed.Shameera Ranasinghe","Commercial, Residential, Other",13.0 perches,
36,Bare Land for Sale in Mount Lavinia, 8 Jul  1:03 pm,"Mount Lavinia, Colombo","30,000,000",14 perches bare land for sale.Water and electricity already have.2.2M per perch (Negotiable),Other,14.0 perches,
37,Large Land Ware House Mt Lavinia, 2 Jul  7:15 am,"Mount Lavinia, Colombo","2,000,000",Large Land in Mount Lavinia Good to Start a Land project Garment factory ware house Hotel project etc  Great investment for future Wide roads Easy access containers Give your proposal,Mount Lavinia Templars Road,"Commercial, Residential, Other",409.0 perches
38,Land for Sale Mt.Lavinia, 3 Jul  1:35 pm,"Mount Lavinia, Colombo","2,200,000",please call for more details Mr. roshan,"Piriwena rd,Mt.Lavinia",Residential,6.5 perches
39,Land for Sale in - Rathmalana, 3 Jul  1:34 pm,"Mount Lavinia, Colombo","1,200,000","800m to Gall Rd, Please  Call for More Details Mr. Roshan","Sumangala Rd, rathmalana",Residential,6.0 perches
40,Land for Sale Mount Lavinia, 1 Jul 11:34 am,"Mount Lavinia, Colombo","2,500,000","HIGHLY RESIDENTIAL AREA, IN A TRANQUIL LOCATION.RS.2.5 MLN (  25 LAKHS ) PER PERCH.","""KALAPURA"" MOUNT LAVINIA",Residential,11.0 perches
41,15 P & Property Sale Mt.Lavinea,29 Jun 12:44 pm,"Mount Lavinia, Colombo","3,100,000",Rs 3100000.00 LAKHSPER PERCH,75 METERS TO GALLE ROAD ( NEAR CARGILS ) MT. LAVINEA,"Commercial, Residential",15.0 perches
42,Land for Sale Mount Lavinia - L0650,29 Jun 12:17 pm,"Mount Lavinia, Colombo","3,000,000","#. 45 perch sea facing land for sale in Sri Darmapala road, Mount Lavinia.#. UDA approved for 7 floor apartment.",Residential,45.0 perches,
43,Land for Sale Mountlavinia, 5 Jul 10:25 am,"Mount Lavinia, Colombo","3,500,000",20 feet wide road facing,templers road mountlavinia,"Commercial, Residential",40.0 perches
44,6.5 Perches Bare Land for Sale - Mount Lavinia,25 Jun 11:26 am,"Mount Lavinia, Colombo","2,600,000",6.5 perches  Bare land Rectangle shape landMore than 20ft wide roadWalking distance to Galle road,"Park raod, Mount Lavinia",Residential,6.5 perches
45,Land Facing Templers Road Mount Lavinia for Sale,23 Jun  3:54 pm,"Mount Lavinia, Colombo","3,300,000",29P Square block Facing Templers Road Mount Lavinia for Sale. 70FT wide Road frontage and second access from 30FT wide paved private Road. A rare opportunity to own a premium property.Suitable for construction of apartments or residential/commercial purposes. A renovated old building is also available. (former Stafford Motors Honda showroom)UDA approval for G+7 floors with provision for an additional Floor is available.,"101, Templers Road, Mount Lavinia","Commercial, Residential",29.0 perches
46,Land at Templers Road - Mount Lavinia,20 Jun  3:11 pm,"Mount Lavinia, Colombo","27,500,000","Price quoted for land onlyFamily landRectangular block in the ever  popular Sirimal Uyana Family Residential area.100M to keells, 1 Km to St-Thomas, Petrol shed 800M,etc45Ft Road frontage- 25 Ft road - Excllent neighborhood - Respectable families and environment",Off Templers road,Residential,10.88 perches
47,Land for Sale Ratmalana, 5 Jul 10:24 am,"Mount Lavinia, Colombo","1,900,000",300 meter to galle road 20 feet wide road facing,chakindarama road ratmalana,Residential,9.0 perches
48,6.00P Bare Land for Sale Mt Lavinia, 8 Jul 12:43 pm,"Mount Lavinia, Colombo","16,000,000","6P BARE LAND FOR SALE IN MT LAVINIA HULUTHAGODA 1KM FROM GALLE ROAD DISTANCE, WITH ALL FACILITIES. SCHOOLS, SUPER MARKET'S, SHOPPING MALLS, BUS ROUTE, HOTELS, RESTAURANT, BANK'S, RELIGIOUS PLACES, MEDICAL CENTERS ",MT LAVINIA HULUTHAGODA,"Residential, Other",6.0 perches
49,Land for Sale in Mount Lavinia,16 Jun  1:10 pm,"Mount Lavinia, Colombo","3,500,000",50 Perches of Land in Mount LaviniaLocated Dakshinarama Road,Dakshinarama Road,"Commercial, Other",50.0 perches
50,Land for Sale in Mount Lavania,16 Jun  8:56 am,"Mount Lavinia, Colombo","2,500,000","ගල්කිස්ස ,ටෙම්පල්ස් පාර ඉඩමක් විකිණීමට▪️පර්චස් 16▪️නිරවුල් ඔප්පු▪️පදිංචියට ඉතාමත් සුදුසු ප්‍රදේශයකි▪️ වැඩි විස්තර සඳහා අමතන්න.📲Land in Temples road,Mount lavania▪️16 perches▪️Clear deed▪️It is an ideal place to stay▪️Contact for more details📲▪️","Gothami Place,Temples Road,Mountlavania",Residential,16.0 perches
51,Excellent Residential (Bare) Land - Mt. Lavinia -11 Perch,22 Jul 11:42 am,"Mount Lavinia, Colombo","2,525,500",LAND FOR SALE - MT-LAVINIA,Residential,11.0 perches,
52,Land for Sale Mount Lavania,28 Jun  2:52 pm,"Mount Lavinia, Colombo","3,000,000",Immediate sale best place,templers road facing,"Commercial, Residential, Other",10.0 perches
53,"Land Sale at Mount Lavinia, Station Road.",14 Jun 12:00 pm,"Mount Lavinia, Colombo","3,200,000","19.50 Land for sale in station Road, Mt. Lavinia.Just about 500 Meters from the Galle RoadVery Good Residential Area wide roadWell shape square block of land with road facing .propertyPrice 3.2 M ppNo Brokers/ AgentsContact Mr Ranasinghe","Commercial, Residential, Other",19.5 perches,
54,32.5P Bare Land for Sale 350 Meters from Galle Road, 8 Jul 12:43 pm,"Mount Lavinia, Colombo","2,300,000","32.5P BARE LAND FOR SALE IN MT LAVINIA CLOSE TO GALLE ROAD. WITH ALL FACILITIES. ST, THOMAS COLLAGE, HIJAZ INTERNATIONAL, AND OTHER SCHOOLS, SUPER MARKET'S, SHOPPING MALLS, BANK'S, RESTAURANT'S, RELIGIOUS PLACES, BUS ROUTE, MEDICAL CENTER, 15 MINUTES DRIVE TO DEHIWALA JUNCTION, 10 MINUTES DRIVE TO MT LAVINIA JUCTION AND HOTEL ROAD, MANY ACCESS ROAD WAY. ",MT LAVINIA LAND SIDE,"Residential, Other",32.5 perches
55,Land with house in Mount Lavinia,13 Jun  2:01 pm,"Mount Lavinia, Colombo","48,600,000",21.6 perches 3 bedrooms2 bathroomsLobby areaLivingDiningPantryKitchenFront gardenBackyard,"Colombo-Galle MainRoad, Pirivena Road","Commercial, Residential, Other",21.6 perches
56,Residential Property for Sale Mt Lavinia,22 Jul  8:47 am,"Mount Lavinia, Colombo","2,300,000","13.32 perch land, 250 meters from Galle Road on Land side on Templers Road. On private road, Property surrounded by residential houses and never built on. Up market neighborhood.  Great Location, Clear Title Deeds and Prime Residential Property - Safe / Quiet Neighborhood. Cleared rectangular Block, with access to two different private roads for entrance. Extremely close to all banks, St Thomas College, Keels and Cargill’s and Mt Lavina junction.Asking price of 2.3 million per perch or nearest offer","Templers Road, Mt Lavinia",Residential,13.32 perches
57,Excellent Residential (Bare) Land - Mt. Lavinia -11 Perch,22 Jul 11:42 am,"Mount Lavinia, Colombo","2,525,500",LAND FOR SALE - MT-LAVINIA,Residential,11.0 perches,
58,RESIDENTIAL LAND FOR SALE MOUNT LAVINIA,10 Jun  3:14 am,"Mount Lavinia, Colombo","30,900,000",MOUNT LAVINIA OlD HOUSE FOR SALE. WIJESIRIWRDANA ROAD,MOUNT LAVINIA OlD HOUSE FOR SALE. WIJESIRIWRDANA ROAD,Residential,10.83 perches
59,House for Sale Mt Lavinia, 9 Jun  6:05 pm,"Mount Lavinia, Colombo","2,900,000","28.3  perch land for sale in Watarappola Road, Mt. Lavinia.Just about 100 Meters from the Galle RoadNewly painted old colonial style house in Very good Residential Area30ft wide roadWell shape rectangular block of land with road facing .propertyPrice 2.9 million a perchContact Mr Sam Gunaskera",Residential,28.3 perches,
60,Land Sale - Mt Lavinia, 9 Jun  8:19 am,"Mount Lavinia, Colombo","1,600,000",Land for sale in Mount Lavinia 9 perches or 18 perches Can takeEnd of Templars Road  ( few  Lands available )16 laks only perperch Quick sale,Mt Lavinia,Residential,9.0 perches
61,Land for Sale in Mount Lavinia,25 Jun  1:34 pm,"Mount Lavinia, Colombo","2,200,000",please call for more details Mr.roshan.,"Piriwena rd,MountLavinia",Residential,8.0 perches
62,Commercial Land for Sale in Mount Lavinia,13 Jun 10:45 am,"Mount Lavinia, Colombo","3,300,000","Details:# 12 Perches Bear Land for sale in Commercial Area Mount Lavinia Facing Templers Road.# Ideal for Restaurant, Car Sale / Warehouse or Other Business# Electricity# Water# Boundary Walls# Very Close to Galle Road -Mount Lavinia (700 M)# clear deed# Negotiable for a quick sale","Templers Road, Mout Lavinia","Commercial, Residential",12.0 perches
63,Land for sale in Mount Lavinia, 6 Jun  4:25 pm,"Mount Lavinia, Colombo","2,750,000",Land for sale in Mount Lavinia9.53 Perches,Residential,9.53 perches,
64,Land Templars Road Mount Lavinia, 3 Jun  1:27 pm,"Mount Lavinia, Colombo","3,200,000",Land on Templars Road 20 perches Highly Commercial Residential Good Investment Rair Opportunity,Templars Rd Mount Lavinia,"Commercial, Residential",20.0 perches
65,Land in Mount Lavinia,30 Jun  4:22 pm,"Mount Lavinia, Colombo","1,100,000","20 perches bare land sale at st.mary's road,mt. lavinia.Overlooking beach.Very clear deed.Only 750m from the Galle road. Two way road access to the property which is St. Mary's road and St. Rita's Road. Residential environment with relaxed atmosphere. Convinient location with close proximity to supermarkets,mt. lavinia hotel,mt lavinia station,schools, hospitals, banks,post office,etc...","77/6B, St. Mary's road, Mount Lavinia.","Commercial, Residential",20.0 perches
66,6 P Bare Land for Sale Mt Lavinia Close to Galle Road, 8 Jul 12:43 pm,"Mount Lavinia, Colombo","19,500,000","6P BARE LAND FOR SALE LAND SIDE CLOSE TO GALLE ROAD, WITH ALL FACILITIES SUPPER MARKET'S, SHOPPING MALLS, BUS ROUTE, BANK'S, HOTEL'S, RESTAURANT, BEACH, GOVERNMENT AND INTERNATIONAL SCHOOLS. ",MT LAVINIA CLOSE TO GALLE ROAD,Residential,6.0 perches
67,"Land for Sale - Templars Rd, Mt.Lavinia", 8 Jun  4:20 pm,"Mount Lavinia, Colombo","2,250,000","Land in Templars Road, Mount Lavinia8.5 Perches Highly Residential Selling Price: Rs.22 Lakhs Per Perch Good InvestmentSelling for the Highest OfferCall for More Details",Templars Road,Residential,8.5 perches
68,"20p Land Facing Galle Road, Mount Lavenia", 1 Jun  2:15 am,"Mount Lavinia, Colombo","6,000,000",20p land facing Galle road in Mount LaveniaIdeal for commercial building,Mount Lavenia,Commercial,20.0 perches
69,Land for Sale in Mount Lavinia, 5 Jul 10:23 am,"Mount Lavinia, Colombo","2,500,000",20 feet wide road facing 700 meter to galle road,huludagoda road mountlavinia,Residential,7.0 perches
70,Land for Sale Mount Lavinia, 5 Jul 10:22 am,"Mount Lavinia, Colombo","2,500,000",20 feet wide road facing,huludagoda road mountlavi nia,Residential,10.0 perches
71,Land for Sale - Mountlavinia, 5 Jul 10:23 am,"Mount Lavinia, Colombo","3,500,000",Templers road facing 100 meter to galle road,templers road mountlavinia,"Commercial, Residential",19.0 perches
72,Land for Sale in Mount Lavinia,26 May 11:34 am,"Mount Lavinia, Colombo","5,000,000",Beachfront square land for Sale in Mount LaviniaLocated in De Saram road,"De Saram road, Mount Lavinia","Agricultural, Commercial, Residential, Other",140.0 perches
73,"Land for sale at Watarappala Road, Mount Lavinia",25 May 11:13 am,"Mount Lavinia, Colombo","21,000,000","6.8 perches bare land sale at Watarappala Road, Mount LaviniaIdeal for luxury residence. Highly residential area, 600 m from Galle RoadPrice 21 million (total price), selling for highest offer (210 Lakhs - total price) Inspection only through Appointment. Please call for more information GENUINE BUYERS ONLY, STRICTLY NO BROKERS Peaceful highly residential & well secured, convenient location, about 600 m from the Galle road.",Residential,6.8 perches,
