,0,1,2,3,4,5,6,7
22,Nawala Modern Commercial Building for lease, 4 Jul  2:15 pm,"Nawala, Colombo","840,000",This massive and cherished building is a great opportunity for an investor who seeks a tree of money and is situated in Nawala junction. The building is vastly dispersed over 41 perches and is Nine years of age.,Building,"6,000 sqft",
23,Office Space for Rent in Nawala (42B/1),20 Jun 12:18 pm,"Nawala, Colombo","70,000",Two Story House available Two Bedrooms and One Common Bathroom850 square3 perches,Office,GALPOTTA ROAD,850 sqft
24,"Commercial Property for Rent in Nawala, Koswatte",17 Jun  8:57 pm,"Nawala, Colombo","275,000","Commercial Property for Rent in Nawala, Koswatte, Wasana Road.3500Sq.ft",Office,"Nawala, Koswatte, Wasana Road.","3,500 sqft"
25,Office Space For Rent In Nawala,16 Jun 11:56 am,"Nawala, Colombo","75,000",close to nawala koswatta junctionparking space available 8-10 vehicles,Office,"1,200 sqft",
26,Shop for Rent in Nawala,21 Jun  8:36 pm,"Nawala, Colombo","120,000",Willing to give away for rent for FIVE years.Expecting Key moneyCurrently rented as a tile and bath ware shopGood parking space also there,Shop,"33, Narahenpita road, Nawala.",500 sqft
27,"Property for Rent in Nawala, Koswatte", 8 Jul  1:14 pm,"Nawala, Colombo","80,000","Can be use as an office With Office Furniture at Rs.95,000Facing Nawala, Rajagiriya main road (Koswatte Junction)Adjoining Nawala Koswatte Sampath Bank BuildingArea-530 Sq.Ft Parking for three vehicles inside the premisesFacilities-Air Conditioning, Electricity,Telephone and Water",Shop,"Nawala Road, Rajagiriya",530 sqft
28,Commercial Building for Rent - Nawala,15 Jun  1:48 pm,"Nawala, Colombo","180,000",Commercial Building for Rent in Nawala,Building,Nawala,"3,500 sqft"
29,Commercial Building for Lease in Nawala, 6 Jul 10:07 am,"Nawala, Colombo","6,000,000","Prime location facing Nawala Road, Nawala. 7 storeyed building. Built on 5 floors and extends up to 50,000 sq.ft. Each Floor approx 6000 Sqft (approx) Total Carpet area - 42,000 Sqft. Underground Car Park Area -10,000 (2 Floors) Designated Car Parks -50+, Central A/C system, Separate Transformer, Backup Generator (630 KVA), 2 Elevators, Each Gender split washrooms per floor, Suitable for Showroom (Ground Floor) and other Floors for any office Space.",Building,275 Nawala Road,"50,000 sqft"
30,Commercial Building for Rent - Nawala,19 Jul  5:25 pm,"Nawala, Colombo","180,000",There are 2 floors available : - 1st floor                                               - 2nd floorEach floor comprises of : - 2160 sq ft.                                          - Glass frontOther facilities available : - Parking                                          - Elevator                                          - GeneratorOwned by : Dr.W.L.A Wijedasa,Building,"No.25, Narahenpita road, Nawala","2,160 sqft"
31,Office for Rent in Nawala(223 B/1), 2 Jun 11:01 am,"Nawala, Colombo","280,000",Two story luxury house with six bedrooms and three attached bathrooms plus one toilet3200 square feet,Office,KOSWATTE,"3,200 sqft"
32,Building for rent Nawala,28 Jun  2:52 pm,"Nawala, Colombo","1,000,000",Nawala road facing 10000 sqft 4 story brand new building 8 parking 1 Million Monthly Rental,Building,Nawala,"10,000 sqft"
33,Building for Rent - Nawala,28 Jun  2:52 pm,"Nawala, Colombo","500,000",Nawala road facing 5000sqft 500000.00 monthly rental nawala road facing,Building,Nawala,"5,000 sqft"
34,Warehouse for Rent - Nawala,28 Jun  2:51 pm,"Nawala, Colombo","300,000",Suitable for stores vehicle yard,Warehouse / Storage,kirimandala mawatha,"4,000 sqft"
35,Building for Rent - Nawala,28 Jun  2:51 pm,"Nawala, Colombo","300,000",5000/ 3000/1000 sq ft 3 storey/2 storey  building for long lease or rent,Building,nawala road ragagiriya to nugegoda,"5,000 sqft"
36,Building for Rent - Nawala,28 Jun  2:51 pm,"Nawala, Colombo","1,000,000",15 car park 3 storyed buliding lift available,Building,nawala road facing,"12,000 sqft"
37,Brand Bew Buliding for Rent - Nawala,28 Jun  2:51 pm,"Nawala, Colombo","600,000",3 storyed building 6 month advance  6 car parking,Building,nawala road facing,"7,000 sqft"
38,Building for Rent - Nugegoda,28 Jun  2:51 pm,"Nawala, Colombo","500,000",5/6 car park,Building,close to nawala road facing close to nugegoda junction,"7,000 sqft"
39,Ware House for Rent - Nawala,28 Jun  2:51 pm,"Nawala, Colombo","150,000",20 feer road,Warehouse / Storage,koswatha juction nawala,"400,000 sqft"
40,Old Building for Rent - Nawala,28 Jun  2:51 pm,"Nawala, Colombo","300,000",6 month advance for long lease or rent,Building,nawala junction road facing,"3,000 sqft"
41,Commercial Building Space for Lease - Nawala,27 May 12:12 pm,"Nawala, Colombo","190,000","Office Space Available - 172 Gnanendra Mawatha (Old Nawala Road) , Nawala. ",Building,"172 Sri Gnanendra Mawatha, Nawala","2,863 sqft"
42,Rent at 3rd/4th/5th Floor Nawala,26 May  6:17 pm,"Nawala, Colombo","2,700,000",Office building is located in a prime metropolitan area facing NawalaRoad in Nawala. ,Building,FACING NAWALA MAIN ROAD NAWALA,"18,000 sqft"
