,0,1,2,3,4,5,6,7
14,5000 Sqf & 3 Storey House for Rent in Buthgamuwa Road Rajagiriya ., 9 Jul 12:54 am,"Rajagiriya, Colombo","425,000","රාජගිරියේ සිට කිලෝමීටර් 2ක් පමණ දුරින් බුත්ගමුව ප්‍රධාන පාරට මුහුනත අඩි 100ක් පමණ ඇති පර්චස් 20ක ඉඩමේ  කන්ටේනර් ඇතුලුවීමට හැකි ලෙස  ආවරණය  කර ඉදිකළ  වර්ගඅඩි 3750 ක පමණ  විශාල ප්‍රමාණයේ ශාලාවක් සමගින් ,වර්ගඅඩි 3000ක පමණ කාමර 3ක නාන කාමර 2ක් සහිත  තෙමහල් අංගසම්පූර්ණ නිවස ද ,කාමර 2ක්  නාන කාමර 2ක් සහිත ව්‍යාපාරික ස්ථානය ද ,කාමර 2ක්  නාන කාමරයක්  සහිතව  දෙමහල්  ව්‍යාපාරික ස්ථානය 2ක් ද  ඇතුලුව සියලුම  ව්‍යාපාරික ස්ථාන මාසික කුලිය 425000 ගනනේ කුලියට දීමට බලාපොරොත්තු වේ .මාසික කුලිය 250000 ගනනේ කොටස් 2ක් ලෙසින් ද  දීමට හැකියාව ඇත .විෂේශයෙන්  වාහන විකිණීමේ  ප්‍රදර්ශනාගාරයක් හා  අමතර කොටස්  අලෙවිකරණ ව්‍යාපාරයකට ඉතාමත් සුදුසුම  ස්ථානයකි .ඕනෑම ව්‍යාපාරයකට  හෝ කාර්යාලයකට වුවද සුදුසු ස්ථානයකි .කරුණාකර තැරව්කරුවන් අමතන්න එපා .ස්ථානය පරීක්ෂා කිරීමෙන් පසුව මිල සාකච්ඡා කල හැක .සත්‍ය ගැනුම්කරුවන් සදහා පමණයි .ස්ථානය පරීක්ෂා කිරීම සදහා සාකච්ඡා කර කලින් වෙලාවක් වෙන්කර ගන්න .************ස්තුතියි ************",Building,BUTHGAMUWA  ROAD RAJAGIRIYA .,"5,000 sqft"
15,Building For Rent Rajagiriya, 5 Jul 11:37 am,"Rajagiriya, Colombo","400,000",Colombo 8 Rajagiriya Building for rent Guest House 16 Rooms & Bathrooms Commercial Building 400000.00 Monthly rental 5 Parking,Building,Colombo 8 Rajagiriya,"4,000 sqft"
16,Shop / Office For Rent in Rajagiriya, 6 Jul  1:47 pm,"Rajagiriya, Colombo","55,000","රාජගිරිය, නාවල පාර නගර සභාවට ඉදිරියෙන්වර්ග අඩි 950 බැගින් යුතුඋඩුමහල් නිවාසය බදු දීමට ඇත.කාමර 2බාත්රූම් 2පැන්ට්‍රි කබඩ්සාලය සම්පූර්ණ ටයිල් කරඇත.මාසිකව 55,000/=මාස 4 අත්තිකාරම්",Shop,"Nawala Road, Rajagiriya",950 sqft
17,750 SQ Shop Rent - Rajagiriya,30 Jun  6:29 pm,"Rajagiriya, Colombo","65,000",* - This office permission is excellent place for Saloon or Office Place,Building,Nawala Rajagiriya- Facing 35 Feet Road,750 sqft
18,Office Space for Rent in Rajagiriya (1056 B),30 Jun 12:03 pm,"Rajagiriya, Colombo","125,000",Two story houseEghit rooms house with two open hall 3000,Office,CLOSE TO PARK LANE,"3,000 sqft"
19,Building Store for Rent Rajagiriya,28 Jun  2:57 pm,"Rajagiriya, Colombo","290,000","Building in Rajagiriya for Long term lease or rent : 5000 sq ft G+2 newer curtain glass fronted building 12 car parking with 7 covered parking slots available. Expected rent Rs 290,000. Central location and ideal for Office/Stores/Distribution centre or Garment Factory. (Container trucks accessible)",Building,Rajagiriya (Arunodaya Mawatha),"5,000 sqft"
20,Indian Restaurant - Rajagirya,28 Jun 10:45 am,"Rajagiriya, Colombo","575,000","Currently running Indian Restaurant for Sale with all kitchen equipment's,Furniture, Computer billing system, Plates, cutleries, deep fridge, Delivery bikes (2) , air conditioners (5), Kitchen Exhaust fans Etc.. Located in road facing area at Rajagiriya with 5 to 6 dedicated car parking and many shall be parked on road side.currently Indian franchise restaurant is running with the good customer database. Kindly serious buyers can approach us by email or call.Selling of the restaurant business due to the migration of the Owner.",Restaurant,"3,500 sqft",
21,Shop or Office - Rajagiriya,29 Jun  2:25 am,"Rajagiriya, Colombo","20,000",In Kalapaluwawa  rajagiriya 150/152 bus road.100m to kalapaluwawa keels super.,Shop,350 sqft,
22,"Shop/office spaces for rent in Jana Jaya City, Rajagiriya", 4 Jul  2:16 pm,"Rajagiriya, Colombo","35,000","Shop/office spaces for rent in Jana Jaya City, Rajagiriya.",Office,210 sqft,
23,Office Building & Store for Rent in Rajagiriya,19 Jun  3:39 pm,"Rajagiriya, Colombo","450,000","රාජගිරිය බුත්ගමුව පාරට මුහුණලා වර්ග අඩි 3000 ගොඩනැගිල්ල, වර්ග අඩි 4500කින් යුතු කන්ටේනර් ඇතුලු කළ හැකි ගබඩාව සහ එයට යාබදව ඇති වර්ග අඩි 2000කින් යුක්ත දෙමහල් ගොඩනැගිල්ල සම්පූර්ණව කුලියට හෝ දීර්ඝ කාලීන වශයෙන් බදු දීමට ඇත",Building,"9,500 sqft",
