,0,1,2,3,4,5,6,7
63,20 P Land and Property For Sale at Nugegoda,14 Jul  2:04 pm,"Nugegoda, Colombo","2,250,000",Rs 2250000.00 LAKHSPer PerchNegotiable,75 METERS TO PAGODA ROAD / ANANDA BALIKA ROAD PAGODA ROAD NUGEGODA,"Commercial, Residential",20.0 perches
64,Land for Sale in Nugegoda,10 Jul 12:08 pm,"Nugegoda, Colombo","2,500,000","Nugegoda junction heart of the city, 80p Land for sale.Facing to 20ft wide road, from two sides. Ideal for real estate projects. A decent neighborhood. Situated at highly residential area.","Commercial, Residential",80.0 perches,
65,Valuable Land with House for Sale - Nugegoda,22 Jul 12:24 pm,"Nugegoda, Colombo","29,500,000",Valuable Land & House for SaleOpposite Wetlend Park(weli Park)20m to Nawala Nugegoda Main Road 500m to Nugegoda JunctionCall More Information,Opposite Wetlend Park(weli Park),Residential,5.25 perches
66,13 P & Property Sale at Gansaba Junction Nugegoda,10 Jul 10:29 am,"Nugegoda, Colombo","2,625,000",Rs 2625000.00 Lakhs Per PerchNegotiable,150 Meters to Gansaba Junction Nugegoda,"Commercial, Residential",13.0 perches
67,10.8 P Bare Land - Jubbli Post Nugegoda,10 Jul 10:21 am,"Nugegoda, Colombo","2,625,000",Rs 2625000.00 LAKHSPER PERCHNegotiable,Ekwatha Road Jubbli Post Nugegoda,"Commercial, Residential",10.8 perches
68,13 P & Property Sale At Jublli Post Nugegoda,10 Jul 10:02 am,"Nugegoda, Colombo","2,400,000",Rs 2400000.00 LakhsPer PerchNegotiable,Facing Ekwatha Road Jublli post Nugegoda,"Commercial, Residential",13.0 perches
69,Land || in Nugegoda, 9 Jul  2:22 pm,"Nugegoda, Colombo","2,900,000",11 perchesSituated in residential area20 feet roadNear Nugegoda junctionClear deeds,Near nugegoda,Residential,11.0 perches
70,8.05p 750m from High-Level Road Land for Sale in - Godagama, 9 Jul  9:00 am,"Nugegoda, Colombo","2,998,625","8.05 perch land available in Sampath Pedesa, Lionel Jayasinghe Mawatha, Godagama.750, to the High-level Road100 m to Lionel Jayasinghe MawathaClear Deeds and Documents. Bim Saviya A grade DeedsExcellent Price2,998,625 /- for the entire land (372,500/- per perch)In comparison there is a land 400m away quoting 450-550K per perchAll documents under Bank mortgage","Sampath Pedesa, Lionel Jayasinghe Mawatha, Godagama",Residential,8.05 perches
71,Land for Sale - Nugegoda, 7 Jul  9:28 am,"Nugegoda, Colombo","3,700,000",Nugegoda Reman road facing 30 Perches 3.7 Million Per Per,Nugegoda Reman road facing,"Commercial, Residential",30.0 perches
72,Nugegoda Land for Sale - LL607, 6 Jul  9:03 pm,"Nugegoda, Colombo","2,700,000","23 perch rectangular property in Off Stanly Thilakarathna Mawatha, Nugegoda",Residential,23.0 perches,
