,0,1,2,3,4,5,6,7
110,Land for Sale in Galthude Panadura,11 Jul  8:18 pm,"Panadura, Kalutara","225,000","පානදුර වලාන ගාළු පාරේ සිට සැ. 1 1/2 යි. ගල්තුඩේ පර්චස් 10,12 සහ 15 බිම් කොටස් කිහිපයක් විකිණීමට තිබේ. නළ ජලය, විදුලිය සහ දුරකථන පහසුකම් සහිතයි. පර්චසය රැ. 2,25,000/=  යි.","No: 155/A,Galthude","Agricultural, Residential",10.0 perches
111,10 Perch Land for Sale in Bolgoda,19 Jul  7:37 am,"Panadura, Kalutara","4,200,000",Beautiful piece of land located facing Bolgoda Lake. Minutes drive away from Moratuwa and Panadura towns. Surrounded by lovely neighbors. Selling urgently so open for reasonable negotiations.,"176/120 Galkanuwa Road, Keselwaththa, Gorakana South, Panadura",Residential,10.8 perches
112,Land for Sale in Panadura, 7 Jul  4:00 pm,"Panadura, Kalutara","3,300,000","Highly residential area (  previously Prime land co block) 20 ft wide road, well developed area and 400m to Galle road. 2.75laks per perch","Panadura, meegaha kovila Road.",Residential,12.0 perches
113,"Land for Sale in Arukgoda, Panadura",14 Jun 11:21 am,"Panadura, Kalutara","200,000",පානදුර අරුක්ගොඩ නිව්ඩාව පාරට ආසන්නව පර්චස් 60 තැනිතලා ඉඩමක් වහාම විකිනිමට තිබේ .නිරවුල් ඔප්පු.බැන්කු නය ලබාගත හැක.,Arukgoda,"Agricultural, Residential, Other",60.0 perches
114,Land for Sale Panadura, 5 Jul 10:22 am,"Panadura, Kalutara","250,000",01.5 km to galle road 05 km pandura 05 .5 km to wadduwa 250000 per perch,nugagoda panadura,Residential,10.0 perches
115,60 P Bare Land for Sale Beach Front Panadura, 8 Jul 12:43 pm,"Panadura, Kalutara","50,000,000","BEAUTIFUL BEACH FRONT PANORAMIC VIEW. 100 METERS FROM PANADURA MAIN ROAD DISTANCE. WITH ALL FACILITIES SUPER MARKET'S, SHOPPING MALLS, HOSPITAL, SCHOOLS, BUS ROUTE, BANK'S, RESTAURANT'S ",PANADURA BEACH,"Commercial, Other",60.0 perches
116,Land for sale - Panadura,19 Jun  2:50 pm,"Panadura, Kalutara","7,800,000","පානදුර බල නගරය මැද සුවිශේෂී පිහිටීමගාලු පාරට මුහුණලමින් පිහිටීමනාගරික වූ නමුත් සාමකාමී වටපිටාවතරු 5 හෝටල්, පුද්ගලික සහ ජාතික රෝහල්, සුපිරි වෙළඳසැල්, ජාතික සහ ජාත්‍යන්තර පාසල්, රාජ්‍ය සහ පුද්ගලික කාර්යාල ඇසට පෙනෙන දුරින්",Residential,6.3 perches,
117,Land With House For Sale In Panadura Dibbadda, 5 Jul  2:43 am,"Panadura, Kalutara","5,200,000",Mila ganan wenasak karagatha hakiya.,"193/A,Dibbadda,Panadura.",Residential,15.0 perches
118,Land for Sale - Panadura,19 Jul  2:45 pm,"Panadura, Kalutara","170,000",Property details ,panadura Idigaha samagi mawatha,"Commercial, Residential, Other",19.0 perches
119,නාගරික සුවිශේෂී පිහිටීම පානදුර,22 Jul  6:35 pm,"Panadura, Kalutara","1,250,000","පානදුර බල නගරය මැද සුවිශේෂී පිහිටීමගාලු පාරට මුහුණලමින් පිහිටීමනාගරික වූ නමුත් සාමකාමී වටපිටාවතරු 5 හෝටල්, පුද්ගලික සහ ජාතික රෝහල්, සුපිරි වෙළඳසැල්, ජාතික සහ ජාත්‍යන්තර පාසල්, රාජ්‍ය සහ පුද්ගලික කාර්යාල ඇසට පෙනෙන දුරින්",Residential,6.9 perches,
120,Land for Sale - Panadura,13 Jun  2:41 pm,"Panadura, Kalutara","1,250,000","පානදුර බල නගරය මැද සුවිශේෂී පිහිටීමගාලු පාරට මුහුණලමින් පිහිටීමනාගරික වූ නමුත් සාමකාමී වටපිටාවතරු 5 හෝටල්, පුද්ගලික සහ ජාතික රෝහල්, සුපිරි වෙළඳසැල්, ජාතික සහ ජාත්‍යන්තර පාසල්, රාජ්‍ය සහ පුද්ගලික කාර්යාල ඇසට පෙනෙන දුරින්",Residential,6.9 perches,
121,Land For Sale Panadura,19 Jul  2:45 pm,"Panadura, Kalutara","650,000",Property details ,Panadura Town,"Commercial, Residential, Other",10.0 perches
122,Land for Sale Panadura,12 Jun  3:57 pm,"Panadura, Kalutara","700,000","Land for sale near panadura rathnapura main road. 50m to panadura rathnapura main road., 4km to galanigama entrance of southern highway. 6km to panadura town. 3km to bandaragama town. Suitable place for residential or commercial activities. Withing all facilities electricity water and telephone facilities. Calm and beautiful surrounding.","Commercial, Residential",7.0 perches,
