,0,1,2,3,4,5,6,7,8
15,3 Bed Room Brand New Apartment (APT794) - Rajagiriya,19 Jul  9:50 am,"Rajagiriya, Colombo","200,000","Brief Description of the Property: Located in confines of Rajagiriya, bordering Sri Jayewardenepura Kotte, the apartment is on the 4th Floor of the spectacular luxury apartment complex of Fairway Sky Gardens. It is with close proximity to major civic amenities in the vicinity and hospitals, super markets, restaurants, malls and walking paths.","No. 4E, Fairway Sky Gardens, Perera Mawatha, Kotuwegoda, Rajagiriya",3,3,"1,500 sqft"
16,3 Bed Room Brand New Apartment (APT754) - Rajagiriya,19 Jul  9:55 am,"Rajagiriya, Colombo","200,000","Brief Description of the Property: Located in confines of Rajagiriya, bordering Sri Jayewardenepura Kotte, the apartment is on the 4th Floor of the spectacular luxury apartment complex of Fairway Sky Gardens. It is with close proximity to major civic amenities in the vicinity and hospitals, super markets, restaurants, malls and walking paths.","No. 4E, Fairway Sky Gardens, Perera Mawatha, Kotuwegoda, Rajagiriya",3,3,"1,500 sqft"
17,2 Bdroom Apartment for Rent in Rajagiriya Sky Garden, 8 Jul  4:46 pm,"Rajagiriya, Colombo","190,000","Apartment for rent in Rajagiriya, Sky Garden2 Bedrooms2 Bathrooms1034 sqft",2,2,"1,034 sqft",
18,2 Bedroom Apartment for Rent - Rajagiriya, 5 Jul  1:07 pm,"Rajagiriya, Colombo","160,000",Apartment for rent in Rajagiriya2 Bedrooms2 Bathrooms1200 sqft160k per montth,2,2,"1,200 sqft",
19,3 Bed Room Brand New Apartment (APT720) - Rajagiriya,19 Jul  9:58 am,"Rajagiriya, Colombo","200,000","Brief Description of the Property: Located in confines of Rajagiriya, bordering Sri Jayewardenepura Kotte, the apartment is on the 4th Floor of the spectacular luxury apartment complex of Fairway Sky Gardens. It is with close proximity to major civic amenities in the vicinity and hospitals, super markets, restaurants, malls and walking paths.","No. 4E, Fairway Sky Gardens, Perera Mawatha, Kotuwegoda, Rajagiriya",3,3,"1,500 sqft"
20,Luxury Apartment For Rent Rajagiriya,19 Jul  9:58 am,"Rajagiriya, Colombo","200,000","Brief Description of the Property: Located in confines of Rajagiriya, bordering Sri Jayewardenepura Kotte, the apartment is on the 4th Floor of the spectacular luxury apartment complex of Fairway Sky Gardens. It is with close proximity to major civic amenities in the vicinity and hospitals, super markets, restaurants, malls and walking paths.","No. 4E, Fairway Sky Gardens, Perera Mawatha, Kotuwegoda, Rajagiriya",3,4,"1,500 sqft"
21,Studio Apartment Rajagiriya, 5 Jul  9:45 am,"Rajagiriya, Colombo","60,000",Luxury apartment fully furnished and fully air conditioned for rent. From 5min away from  Gateway international school for decent couple,1,1,800 sqft,
22,"3BR Furnished Apartment in Clear Point, Rajagiriya", 4 Jul  2:26 am,"Rajagiriya, Colombo","325,000",• Our Reference No - LA 259(Please quote this reference number when inquiring),Rajagiriya,3,4,"2,419 sqft"
23,Fully Furnished Apartment for Rent - Rajagiriya, 3 Jul  2:37 pm,"Rajagiriya, Colombo","175,000","Fully furnished Apartment for rent$1,000Rajagiriya",RAJAGIRIYA,3,2,"1,600 sqft"
24,Furnished Apartment for Rent at Clearpoint Residencies [AR02] Rajagiriya, 2 Jul 11:45 pm,"Rajagiriya, Colombo","300,000","Brand new, never before lived-in three bedroom apartment for rent at Clearpoint Residencies. Conveniently located in Rajagiriya within close proximity to all modern day conveniences. The apartment offers generous living space along with a total of three bedrooms, two bathrooms and a powder room. ","Clearpoint Residencies, Perera Mawatha, Buthgamuwa Road, Rajagiriya",3,3,"2,400 sqft"
25,"3 BR Apartment | Prime Residencies, Rajagiriya", 1 Jul  2:40 pm,"Rajagiriya, Colombo","140,000","Apartment for rent in Prime Residencies, Rajagiriya",3,2,"1,600 sqft",
