,0,1,2,3,4,5,6,7,8
21,Kollupitiya 3 bed rooms apartment for sale, 2 Jul 11:15 pm,"Colombo 3, Colombo","33,900,000","LOCATION Maintained as brand new apartment built by HRL Homes on 466/5 Gale Road, Kollupitiya. Close proximity to the beach the railway station, Fab, Mc Donalds, hotels, restaurants, supermarkets, shopping malls, banks, places of worship etc,. It is about fifty meters to the Galle road it in Colombo city, Sixty minute drive to the Katunayake International airport & close to most of the towns in & around Colombo & the suburbs, from this location.",Sea Avenue Kollupitiya,3,3,"1,340 sqft"
22,Brand New Apartment for Sale at Colombo 3 with guaranteed returns, 2 Jul  3:10 pm,"Colombo 3, Colombo","33,500,000",beautiful brand new apartment for sale 2 beds with 2 bath - 1080 sqft 3 beds + maid  - 1810 sqft for sale at 42 MillionSingle duplex ( 4 bed + maid) - 2900 sqft is available ,schofield place,2,2,"1,080 sqft"
23,Condominium for Sale Colombo 3, 2 Jul  8:12 am,"Colombo 3, Colombo","80,000,000",Condominium house for sale 3 bedrooms 2 bedrooms annex 1700 sqft price 800 lakhs please no brokers,pediris road colombo 3,3,2,"1,700 sqft"
24,Apartment for Sale in Colombo 3 (1245 B/1 ),29 Jun  2:15 pm,"Colombo 3, Colombo","70,000,000",8th floor available with Three Bedrooms and Two Bathrooms4200 sqft,LAND SIDE,3,2,"4,200 sqft"
25,Rajagiriya Fairway Elements 4BR Apartment For Sale,29 Jun 11:37 am,"Colombo 3, Colombo","54,000,000",4+1 Bedrooms3 Bathrooms1 Visitors BathroomUn furnished2123 Square FeetSwimming PoolGYM And Club House Available ,"Buthgamuwa Road, Rajagiriya",4,3,"2,123 sqft"
26,Colombo 3 Emperor 2 Bedrooms Apartment For Sale,29 Jun 11:01 am,"Colombo 3, Colombo","62,000,000","02 Bedrooms 02 Bathrooms 1300 Square Feet Fully Furnished Direct Sea , Haber and Port City View Swimming Pool and GYM Available","Galle Road, Colombo 3",2,2,"1,300 sqft"
27,3BR Apartment | Colombo 3 - Astoria Residencies For Sale, 8 Jul  1:03 pm,"Colombo 3, Colombo","68,000,000",1135 sqft- 3 bedrooms and 2 bathrooms- Sea view and port city view- Pool- Gym- A/c- Price is 68M LKR and negotiable,Duplication Road,3,2,"1,135 sqft"
28,Colombo 3 Cornwall Brand New Apartment For Sale,27 Jun  3:59 pm,"Colombo 3, Colombo","45,000,000",03 Bedrooms 03 Bathrooms 1539 Square Feet Fully Furnished Brand New Roof Top Swimming Pool and GYM City View ,"Abdul Caffoor Mawatha, Colombo 3",3,3,"1,540 sqft"
29,3BR Apartment for Sale in Colombo 03,21 Jul 11:04 am,"Colombo 3, Colombo","44,000,000","Convenience with a view! 3 bedrooms, 2 bathrooms, spacious (1635 sqft), 14th floor at St Michaels Apartment Building. Secure and convenient location. Uninterrupted sea and city views. Each room has a balcony. Maid's room, bathroom and laundry area. The apartment comes fully furnished (option). Urgent Sale. Price is negotiable.","Alfred House Gardens, Colombo 03",3,2,"1,635 sqft"
30,"Colombo 03, 3 Bedroom Appartment for Quick Sale",19 Jul  4:22 pm,"Colombo 3, Colombo","29,000,000",3 bed room 4 bathroom (including one servant washroom) 30 feet wide road (Glen Aber place colombo 03) 5 minutes walk to majestic city (mall) Air conditioned Sea view balconyPlease leave a text if no answerContact for more details,Colombo 03,3,4,"1,370 sqft"
31,Colombo 3 Astoria Apartment For Sale,27 Jun  3:55 pm,"Colombo 3, Colombo","70,000,000",03 Bedrooms 02 Bathrooms Unfurnished Brand New 1200 Square Feet Direct Ocean ViewSwimming Pool and GYM Available ,"Duplication Road, Colombo 3",3,2,"1,535 sqft"
32,Brand New Apartment for Sale,26 Jun 10:30 am,"Colombo 3, Colombo","50,000,000",Next to the British Council English Acedamy 2th floor out of 16 floors Fully tiled floor and A/CGarage and parking available Swimming pool 35 perches land size,2,2,"1,210 sqft",
33,Luxury Apartment for Urgent Sale at Monarch Colombo 3,24 Jun  1:46 am,"Colombo 3, Colombo","50,000,000",STRICTLY NO AGENT PLS.,"GALLE ROAD,COLOMBO 3",2,2,"1,100 sqft"
34,Apartment For Sale In Colombo 3(653B),23 Jun  3:40 pm,"Colombo 3, Colombo","44,000,000",6th floor apartment available with three bedrooms and two bathrooms (one attached one common bathroom)1657 square feet,LAND SIDE,3,2,"1,657 sqft"
35,Apartment for Sale in Colombo 03(1217B),23 Jun  3:33 pm,"Colombo 3, Colombo","87,500,000",Higher floor availabaleThree rooms with  two bathroom ( one attached & two common bathroom)1630 sqft,""" THE EMPEROR""",3,2,"1,630 sqft"
36,Fully Furnished 3 Bedroom Apartment for Sale Col,23 Jun  9:02 am,"Colombo 3, Colombo","42,000,000",Fully furnished 3 bedroom apartment for sale at Colombo 3- seagull apartment- lower bagatelle road- 3 bedroom - separate servant room with toilet- Swimming pool-,3,3,"1,740 sqft",
37,Urgent Sale for Highest Offer 2 Bedroom Luxury Apartment. Colombo 3,21 Jun  1:08 am,"Colombo 3, Colombo","50,000,000",STRICTLY NO AGENT PLS.,"MONARCH LUXURY APARTMENT, COLOMBO 3.",2,2,"1,100 sqft"
38,Brand New Apartment for Sale - Colombo 3,20 Jun  1:10 pm,"Colombo 3, Colombo","35,000,000",Ongoing project at Boyd place at an affordable price,Boyd place,2,2,"1,000 sqft"
39,2 Bedroom Luxury Apartment for Sale in Monarch, 8 Jul 10:41 am,"Colombo 3, Colombo","65,000,000",STRICTLY NO AGENT PLS.,"MONARCH LUXURY APARTMENT, COLOMBO 3.",2,2,"1,350 sqft"
40,Apartment for sale in Colombo 03,19 Jun 10:55 pm,"Colombo 3, Colombo","28,000,000",Apartment for sale boardering Colombo 03.,Premier Pacific Colombo 04,2,2,850 sqft
41,Apartment for sale in Colombo 03, 8 Jul  1:02 pm,"Colombo 3, Colombo","57,500,000",- 3 bedrooms and 2 bathrooms - maids room and toilet - 1650 sqft - Fully furnished- Rooftop area and swimming pool- GYM- Price is 57.5M LKR,3,2,"1,650 sqft",
42,3 Bed Room Apartment | Colombo - Capitol Residencies For Sale, 8 Jul  1:02 pm,"Colombo 3, Colombo","57,500,000",Capitol Residencies - Colombo 3 ,Dharmapala Mawatha,3,2,"1,650 sqft"
