,0,1,2,3,4,5,6,7,8
17,Brand New Apartment for Rent - Wellewatta,20 Jul  9:02 am,"Colombo 6, Colombo","85,000","Brand New 3 BED ROOMS 1500 Square Feet apartment house for rent in Saranankara Road ***Hot water Close to Galle Road***There is easy access to Supermarkets, Hospitals, Cinemas, Restaurants, ... ***Situated on the 6th floor with car park***Security 24x7 hrs***Access to roof top available***• 3 bedrooms (master with attached bathroom)***• 2 bathrooms***• Living Room***• Kitchen***Servant Room***Servant Bath Room• balcony for all rooms and Living Rooms",Grand Residence,3,3,"1,485 sqft"
18,Apartment with Nice View for rent in Colombo 6,19 Jul  9:36 am,"Colombo 6, Colombo","95,000",Address -10 Ramakrishna Road Colombo 6	,"Ramakrishna Road, Colombo 6",1,1,750 sqft
19,Brand New Apartment Rent Wellawatte,20 Jul  9:00 am,"Colombo 6, Colombo","95,000","Brand New 3 BED ROOMS 1270 Square Feet apartment house for rent in Kalubowila***Hot water Close to Galle Road***There is easy access to Supermarkets, Hospitals, Cinemas, Restaurants, ... ***Situated on the 6th floor with car park***Security 24x7 hrs***Access to roof top available***• 3 bedrooms (master with attached bathroom)***• 2 bathrooms***• Living Room***• Kitchen***Servant Bath Room• balcony for all rooms and Living Room",grand apartments,3,2,"1,270 sqft"
20,3 Bedroom Apartment - Colombo 06,19 Jul  9:51 pm,"Colombo 6, Colombo","145,000",Fully furnished apartment Fully air condition Parking Fifi All kitchen equipment 24 hours security,3,2,"1,100 sqft",
21,Fully Furnished 3 Bed Room Apartment in Wellawatte,19 Jul  1:02 pm,"Colombo 6, Colombo","90,000",Fully furnished apartment in the second floorkitchen with fitted pantry3 bedrooms and 2 bathroomsMaster bedroom with attached bathroom with hot watercommon bathroom for other 2 roomsbalconies for two bedroomscar parking24 hours security and liftDecent neighborhood with calm and quiet environment,Nelson Place,3,2,"1,000 sqft"
22,Brand New Apartment for Rent -Col.6-Unfurnished (75),19 Jul 11:30 am,"Colombo 6, Colombo","100,000","•	3 Rooms-1 Attached and 1 Common Bathroom.•	3rd  & 6th   Floor Apartments•	1,330 sqft•	Unfurnished","`36,IBC Road,Colombo 06 2/C",3,2,"1,330 sqft"
23,Fully Furnished Brand New Aparment For Rent Col 06,18 Jul  5:02 pm,"Colombo 6, Colombo","110,000",Fully Furnished Brand New Aparment For Rent @ Col 06,"Ruthra Mw, Colombo 06",3,2,"1,200 sqft"
24,Brand New Apartment for Rent - Col 6-Unfurnished (74),18 Jul  3:03 pm,"Colombo 6, Colombo","100,000","•	3 Rooms-1 Attached and 1 Common Bathroom.•	3rd  & 6th   Floor Apartments•	1,330 sqft•	Unfurnished",36.I.B.C. Road.Wellawatte,3,2,"1,330 sqft"
25,Brand New Apartment for Rent -Col.6-Unfurnished (73)Willamette,18 Jul  1:58 pm,"Colombo 6, Colombo","100,000","•	3 Rooms-1 Attached and 1 Common Bathroom.•	3rd  & 5th   Floor Apartments•	1,330 sqft•	Unfurnished","36.IBC Road,Willamette.",3,2,"1,330 sqft"
26,Apartment For Lease In Bosswell Residence Colombo 06,19 Jul 10:02 am,"Colombo 6, Colombo","160,000",A THREE BED ROOMED LUXURY APARTMENT-FOR LEASE =====================================,bosswell place,3,2,"1,160 sqft"
27,Apartment for Rent in Col6,18 Jul  3:13 pm,"Colombo 6, Colombo","110,000",car parking available residence area,col-6 wallawatta,3,2,"1,200 sqft"
28,Luxury Brand New Apartment for Rent - wellawatta,18 Jul  7:28 am,"Colombo 6, Colombo","120,000",Brand new  apartment for rent 2 bedrooms 2 bathrooms fully a/c hot water monthly rent 120000 advance 6 month half month broker fees please no brokers,pamankada road wellawatta,2,1,"1,250 sqft"
29,3 Bed Room New Apartment in Colombo - 6,20 Jul  5:19 pm,"Colombo 6, Colombo","80,000",Brand new apartment off arpico super market wellawatta one car park and lift and 4th floor  land site 200m from gold road wellawatta,"52 , E S Fando mawatha Colombo 6",3,2,"1,260 sqft"
30,Apartment For Lease In Bosswell Residence Colombo 06,19 Jul 10:02 am,"Colombo 6, Colombo","160,000",A THREE BED ROOMED LUXURY APARTMENT-FOR LEASE =====================================,bosswell place,3,2,"1,160 sqft"
31,Brand New Apartment for Rent -Col 6 Unfurnished (72),17 Jul  5:42 pm,"Colombo 6, Colombo","100,000","•	3 Rooms-1 Attached and 1 Common Bathroom.•	3rd  Floor Apartment •	1,330 sqft•	Unfurnished","36 . IBC Road, Wellawatte (SL)",3,2,"1,330 sqft"
32,Brand New Apartment for Rent -Col.6-Unfurnished (71),17 Jul  5:11 pm,"Colombo 6, Colombo","100,000","•	3 Rooms-1 Attached and 1 Common Bathroom.•	6th Floor Apartment •	1,330 sqft•	Unfurnished","36.IBC Rd,Wellawatte / Sri Lanka.",3,2,"1,330 sqft"
33,Brand New Furnished Apartment for Rent - Colombo 6 (70),17 Jul  4:43 pm,"Colombo 6, Colombo","130,000","•	3 Rooms-1 Attached and 1 Common Bathroom.•	5th Floor Apartment •	1,425 sqft•	furnished","No- 36.IBC Rd, Wellawatte",3,2,"1,425 sqft"
34,Brand New Apartment for Rent - Colombo 6,17 Jul  4:39 pm,"Colombo 6, Colombo","125,000",luxury apartment with car parking,col-6 wallawatta,4,4,"1,300 sqft"
35,Studio Type Apartment For Rent Col-6,17 Jul  8:56 pm,"Colombo 6, Colombo","90,000","This Studio unit is located in Mayura Place in Colombo 6 (Wellawatte), with easy access to other parts of the city and all the amenities.",Mayura Place Colombo 6,1,1,650 sqft
36,3 Rooms Apartment For Rent Colombo 6,17 Jul  8:56 pm,"Colombo 6, Colombo","155,000","These Spacious Modern Apartments consists 3 Rooms with one attached and one common bathroom, a large Living and Dining Area and a Fully Equipped Kitchen. The Apartments are Fully Furnished including TV, Washing Machine, Fridge, Ironing, Microwave etc. Kitchen is Fully Equipped including Cutleries and Crockeries. Linen also provided.",Mayura Place Colombo 6,3,2,"1,250 sqft"
37,Brand New Apartment for Rent - Col.6-Unfurnished (69),17 Jul  1:16 pm,"Colombo 6, Colombo","100,000","•	3 Rooms-1 Attached and 1 Common Bathroom.•	6th Floor Apartment & 3rd Floor Apartment •	1,330 sqft•	Unfurnished","36 . IBC Road, wellawatte",3,2,"1,330 sqft"
38,3 Bd Air Conditioned Apartment for Rent in Colombo 6,17 Jul 12:03 am,"Colombo 6, Colombo","110,000",STRICTLY NO AGENT PLS.,COLOMBO 6,3,3,"1,400 sqft"
39,B/New Apartment for Rent (5) - Col 6,16 Jul  2:49 pm,"Colombo 6, Colombo","120,000","3Rooms-1 Attached and 1Common Bathroom.3rd Floor Apartment.1,330 sqftUnfurnished","36.IBC R.d, Colombo 06.",3,2,"1,330 sqft"
40,Furnished apartment-Colombo 6,16 Jul 10:52 am,"Colombo 6, Colombo","90,000","Beautiful cozy apartment down collingwood place,wellawattawifi/AC/hot water & dish TV available",2,2,"1,100 sqft",
41,Apartment for Rent in Colombo-06,16 Jul  9:52 am,"Colombo 6, Colombo","110,000","*** NO BROKERS*** New Unfrnished Apartment For Rent.*** Furnished - 150000*** Unfurnished - 100000*** 3 Bed Rooms ( 2 air-condition )*** 2 Bath Rooms ( 1 attached, 1 common bathroom )*** Sea view*** 24 hours Security service*** One Vehicle parking*** Swimming pool*** Prefer for Maldivians and locals*** 6-month deposit ( negotiable )*** HALF MONTH AGENT FEE",Wellawatta,3,2,"1,290 sqft"
42,Apartment for rent in Colombo-06,16 Jul  9:48 am,"Colombo 6, Colombo","110,000","*** NO BROKERS*** New Unfrnished Apartment For Rent.*** Furnished - 150000*** Unfurnished - 100000*** 3 Bed Rooms ( Fully air-condition )*** 2 Bath Rooms ( 1 attached, 1 common bathroom )*** Sea view*** 24 hours Security service*** One Vehicle parking*** Swimming pool*** Prefer for Maldivians and locals*** 6-month deposit ( negotiable )*** HALF MONTH AGENT FEE",Wellawatta,3,2,"1,300 sqft"
43,3 Bed Room Luxury Brand New Apartment for Rent – Colombo 06,15 Jul  5:44 pm,"Colombo 6, Colombo","100,000","3 Bed room Luxury brand new  apartment for rent –  Colombo 06Rent : Rs 100,000 per monthAdvance :  6 Months ",Colombo 06,3,4,"1,650 sqft"
44,2B/R Apartment For Rent with Furniture at Colombo 6,15 Jul  1:43 pm,"Colombo 6, Colombo","80,000",Apartment for Rent at Colombo 6.With Furniture,"Colombo 6, 47th Lane, Citadel Park.",2,2,900 sqft
45,Fully Furnished 3BHK Apartment For Rent in Col 06,15 Jul 10:39 am,"Colombo 6, Colombo","110,000","Fully Furnished Spacious Apartment for Quick Rent In 37th lane, Colombo-06","37th Lane, Wellawatte",3,2,"1,350 sqft"
46,3 Bedroom Apartment Rohini R’d Wellawatha,15 Jul  7:28 am,"Colombo 6, Colombo","130,000",Fully furnished apartment Fully air condition Parking Fifi International tv channels Close to galle Rd,3,2,"1,050 sqft",
