,0,1,2,3,4,5,6,7,8,9
18,Brand New 2 Storied House for Sale in Malabe,29 Jul  2:42 pm,"Malabe, Colombo","24,000,000","Brand New Two Storied House For Sale In Kahanthota Road, Malabe.07 Perches with Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,900.0 sqft",7.0 perches
19,B / New Two Storied House in || Malabe,29 Jul  2:34 pm,"Malabe, Colombo","22,500,000","Brand New Two Storied House For Sale In Malabe Road, 08 Perches Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,800.0 sqft",8.0 perches
20,B / New Single Storied House in Malabe,29 Jul  2:32 pm,"Malabe, Colombo","11,800,000","Single Storied House For Sale In Kahanthota Road, Malabe.8 Perches Landscaped garden area.","Kahanthota Rd, Malabe.",3,3,"1,500.0 sqft",8.0 perches
21,B / New 2 Storied House For Sale in || Malabe,29 Jul  2:27 pm,"Malabe, Colombo","26,000,000","Brand New Two storied house @ Kahanthota Road, Malabe.08 Perches with Landscaped garden area.","Rathnarama Road, Malabe",5,5,"4,000.0 sqft",8.0 perches
22,Brand New 5 Bed 4 Bar Two Story House For Sale Malabe,29 Jul 12:52 pm,"Malabe, Colombo","26,000,000","Brand New Two Story House For Sale In Aturugiriya Road, Arangala08.5 Perches Landscaped garden area.","Athurugiriya Rd, Malabe.",5,4,"3,000.0 sqft",8.5 perches
23,Single Storey House and Studio with All Furniture Quick Sale in Malabe,29 Jul 11:52 am,"Malabe, Colombo","27,000,000","Single Storey House and Studio with All Furniture Quick Sale in Malabe. Malabe Isurupura,Behind SLIIT Campus.","Malabe, Isurupura near SLITT Campus.",3,2,"1,500.0 sqft",10.0 perches
24,House for Sale in - Malabe,29 Jul 11:16 am,"Malabe, Colombo","13,500,000",House in Good Condition.650 Meters to Sliit.650 Km to Expressway Kothalawala Entrance.100 Meters to 177 Bus Root (kaduwela-Kolpety).Please Call for More Information,3,2,"1,750.0 sqft",12.0 perches,
25,3 Bed Rooms Modern 2 Storey House Sale - Malabe,28 Jul 10:32 pm,"Malabe, Colombo","18,000,000","Designed by a chartered architect, Modern House for Sale at Malabe,","Malabe,,1st Lane.",3,3,"1,850.0 sqft",7.13 perches
26,"2 Story House For Sale - Kahanthota Road, Malabe",29 Jul  9:17 am,"Malabe, Colombo","22,500,000","..........................Siyane-Real-Estate.................................Two Story House For Sale In Kahanthota Road, Malabe. (Used 8 Years )10.5 Perches with Landscaped garden area.","500 meters to kahanthota Road, malabe",4,4,"2,750.0 sqft",10.5 perches
27,Three Story Luxury Modern House For Sale Malabe,28 Jul  8:03 pm,"Malabe, Colombo","46,000,000",Three story house & a basement with Five bedrooms ( Two A/C Rooms ) and five bathrooms (Two attached & Three common) • - Three bedrooms have balconies.• - 11.8 perches Land • - 3500 square feet. Unfurnished.,Malabe .,5,4,"3,500.0 sqft",11.8 perches
28,Brand New Two Story House For Sale Malabe,28 Jul  7:54 pm,"Malabe, Colombo","24,000,000","Brand New Two Storied House For Sale In Kahanthota Road, Malabe.07 Perches with Landscaped garden area.","Kahanthota Rd, Malabe.",4,4,"2,900.0 sqft",7.0 perches
29,B/ New || Single Story House Malabe,27 Jul  6:02 pm,"Malabe, Colombo","11,000,000","Brand New Single storied house @ Thalahena Road, Bathalawatta.6.5 Perches with Landscaped garden area.","Thunadahena Rd, Malabe.",3,3,"1,300.0 sqft",6.5 perches
30,Brand New 2 Storied House for Sale Malabe,28 Jul 11:58 am,"Malabe, Colombo","21,500,000","Brand New 2 Storied House For Sale In Pothuarawa Road, Malabe.08 Perches with Landscaped garden area.The house is completely tiled","Hokandara Road, Arangala.",4,4,"2,650.0 sqft",7.0 perches
31,B/ New Two Story House in Malabe,28 Jul  7:48 pm,"Malabe, Colombo","18,000,000","Brand New Two Storied House For Sale In Kahanthota Road, Malabe.6.5 Perches With Landscaped garden.","Kahanthota Rd, Malabe.",3,3,"2,300.0 sqft",6.5 perches
32,B/ New Two Storied House For Sale Malabe,28 Jul  6:40 pm,"Malabe, Colombo","19,000,000","Brand New Two Storied  House For Sale In Wanaguru Mw, Hokandara.10 Perches , Landscaped garden area","Horahena Road, malabe",3,4,"2,400.0 sqft",10.0 perches
33,Brand New Designed House for Sale in Malabe,28 Jul  2:23 pm,"Malabe, Colombo","22,000,000","2 Storey House For Sale in malabe, Pothuarawa rd ","Malabe, pothuarawa rd, Amaragoda rd",4,4,"2,400.0 sqft",7.0 perches
34,B/ New Two Storied House for Sale - Malabe,28 Jul  2:18 pm,"Malabe, Colombo","28,500,000","Brand New Two Storied House For Sale In Malabe Road, Hokandara Road, 10.5 Perches , Landscaped garden area.• - 3200 Sq. Ft","Hokandara Road, Arangala.",5,4,"3,500.0 sqft",10.0 perches
35,Brand New House for Sale in Malabe,28 Jul  2:17 pm,"Malabe, Colombo","21,500,000","New Morden  New 2 story House for Sale in Malabe, thunadahaena rd","Malabe, kahanthota Rd, thunadahena Rd",5,4,"2,400.0 sqft",10.0 perches
