,0,1,2,3,4,5,6,7,8
18,1 Bed Room Apartment For Rent - Colombo 06,20 Jul  3:53 pm,"Colombo 6, Colombo","95,000","*Address -	28 Ramakrishna Road Colombo 06*Access - Galle road*Rent - 95000\=*Sqft - 650*Floor- 9*Bedrooms - 1*Bathrooms - 1*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 month*Advance - 6 month*Facilities - Parking , Lift , Generator, Hot water,24/h",28 Ramakrishna road Colombo 06,1,1,650 sqft
19,3 Bed Room Apartment - Colombo 7,20 Jul  3:52 pm,"Colombo 7, Colombo","225,000","Address -41 Templers Road Mount Lavinia Span Tower*Rent - 225000\=*Sqft - 1500*Bedrooms -3*Bathrooms - 3*Servant Room - 1*Servant Bathroom - 1*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Facilities - Parking , Lift , Generator, Hot water,24/h",25/128 prime residence apartments Bauddaloka mawatha Colombo 7,3,3,"1,500 sqft"
20,3 Bed Room Apartment (APT001523) - Colombo 04,20 Jul  3:46 pm,"Colombo 4, Colombo","155,000","Address - Vishaka Road *Access - Galle road*Rent - 155000\=*Sqft - 1500*Floor- 3*Bedrooms -3*Bathrooms - 2*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",28 Vishaka Road Colombo 04,3,2,"1,500 sqft"
21,1 Bed Room Apartment - Dehiwala (APT1522),20 Jul  3:43 pm,"Dehiwala, Colombo","75,000","Address -34 ebanizer place*Access - Galle Road *Rent - 75000\=*Sqft - 700*Floor- 8*Bedrooms -1*Bathrooms - 1*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Facilities - Parking , Lift , Generator, Hot water,24/h",34 Ebanizer Place Dehiwala,1,1,700 sqft
22,Apartment For Rent In Dehiwala,20 Jul  3:40 pm,"Dehiwala, Colombo","90,000",Brand new 7 the floorNear I'll shopping malls24 ower securityGall road and hospital road 3 months advanced,3,3,"1,500 sqft",
23,3 Bed Room Sea View Apartment (APT001520) Colombo,20 Jul  3:35 pm,"Colombo 3, Colombo","150,000","Address -19 th Lane colombo 03*Access - Galle Road *Rent -150000\=*Sqft - 1500*Floor- 6*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",19 th lane Colombo 3,3,2,"1,500 sqft"
24,Luxury Apartment For Rent Rajagiriya(1518),20 Jul  3:27 pm,"Rajagiriya, Colombo","200,000","Brief Description of the Property: Located in confines of Rajagiriya, bordering Sri Jayewardenepura Kotte, the apartment is on the 4th Floor of the spectacular luxury apartment complex of Fairway Sky Gardens. It is with close proximity to major civic amenities in the vicinity and hospitals, super markets, restaurants, malls and walking paths.","No. 4E, Fairway Sky Gardens, Perera Mawatha, Kotuwegoda, Rajagiriya",3,2,"1,500 sqft"
25,Apartment For Long Stay - Colombo 04 (APT001514),20 Jul  3:26 pm,"Colombo 4, Colombo","135,000","Address -	17\B Vishaka Road Colombo 04Access - Galle road*Rent - 135000\=*Sqft - 1400*Floor- 6*Bedrooms - 3*Bathrooms - 2*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 month*Advance - 6 month*Facilities - Parking , Lift , Generator, Hot water,24/h",17\B Vishaka Road Colombo 04,3,2,"1,400 sqft"
26,3 Room Apartment for Long Stay in Dehiwela(001517),20 Jul  3:26 pm,"Dehiwala, Colombo","100,000","HREE BEDROOM APARTMENT DEHIWALA PETERSON LANE Address: - Northpole Residences, Peterson LaneThis spacious beautiful sea view apartment is located very close to the beach in Peterson Lane, Dehiwela. Its 500 meters from Galle Rd and the Dehiwala Zoo is just 10mins Drive.This modern and spacious apartment consists of 3 Rooms with one attached and one common bathroom, has a large living and dining area, and a fully equipped kitchen. The apartment is Fully Furnished including TV, Washing Machine, Fridge, Ironing, and Microwave. Kitchen is Fully Equipped including Cutleries and Crockeries. Linen also provided------------------------------------------------------------------------------------■ Three Bedroom Apartment. ■ Living and Dining Area. Fully Air conditioned.	■ Free Wi-Fi, Gas, Water and International TV Channels.	■ 24 Hours Security and Parking.	■ Electricity Rs. 50 per unit.	■ Long Term- Rs 100,000+Bill------------------------------------------------------------------------------------Call/Whatsapp/Viber us for more info/to reserve.AKARA APARTMENTS.-Serviced Apartments-Sales & Rental-Property Management.44, Lorenze Rd, COlombo 4.",50 D Peters Lane Dehiwala,3,2,"1,200 sqft"
27,3 Bed Room Apartment for Rent (APT001513) - Kolupitiya,20 Jul  3:25 pm,"Colombo 3, Colombo","195,000","THREE BEDROOM APARTMENT COLOMBO 3 JESIMA APARTMENT (LALSON) Address :- Jesima Apartment, (Behind Lalson)This new apartment is located very close to Galle Rd in Colombo 3. It’s just few minutes walking distance to the beach, mosque and all the amenities including banks, restaurants and shopping. The Central Business District, Kollupitya Market, Liberty Plaza, Majestic City, Galle Face, Fort and Vihara Maha Devi Park all are 5 mins drive from the apartment. This is a perfect location for your holiday or business trip.------------------------------------------------------------------------------------	■ Three Bedroom Apartment. ■ Living and Dining Area. Fully Air conditioned.	■ Free Wi-Fi, Gas, Water and International TV Channels.	■ 24 Hours Security and Parking.	■ Electricity Rs. 50 per unit.	■ Rs.7,500 + Electricity per Day. ------------------------------------------------------------------------------------",415\10 Kolupitiya Colombo 03,3,2,"1,400 sqft"
