,0,1,2,3,4,5,6,7,8
14,Apartment for Rent in Mount Lavinia,15 Jul 12:56 pm,"Mount Lavinia, Colombo","90,000","This apartment complex is situated 100 metres away from Galle Road, on the seaside. Floor area is 1,030 sq.ft. It has 2 bedrooms and 2 bathrooms. Fully furnished. Fully air conditioned. Hot water in both bathrooms. Both bedrooms and the living room have balconies. Has a modern pantry. It includes electrical appliances such as tv, washing machine, fridge, and microwave. Also has a landline telephone, and wifi connection. 1 parking slot available. The apartment complex has a swimming pool, gym, meeting/function room, and rooftop terrace. Rental Rs. 90,000 per month.",2,2,"1,030 sqft",
15,Fully Furnished Luxury 2 BHK Apartment For Rent in Mt.Lavnia,15 Jul 11:15 am,"Mount Lavinia, Colombo","100,000",Fully Furnished Luxury 2 BHK Apartment For Rent in Mt.Lavnia,"De Alwis Avenue, Mt.Lavnia",2,2,"1,270 sqft"
16,Fully Furnished Apartment Rent Mt Lavinia,14 Jul  2:34 pm,"Mount Lavinia, Colombo","175,000","Fully Furnished Apartment Rent in Mt Lavinia,  2 b, 2 bath, Gym,  summing pool,  Rent Rs 175,000/ per month make and earlier appointment only for foreigners,",Mount Lavinia,2,2,"1,300 sqft"
17,Fully Furnished 3 Bed Room Apartment for Rent - Mount Lavinia,14 Jul  3:14 pm,"Mount Lavinia, Colombo","125,000",The apartment is fully furnished and ready to occupy immediately. It includes from towels to bedlinen till you settle down. Some of the key features  are;3D televisionPio Tv Free wifi - 90GB per monthWater free of chargeThe management fee is born by the ownerSafety lockerFans and AC option to control your electricity. Water free of chargeKitchen utensils Cutlery and others,"Beach Road, Mount Lavinia",3,2,"1,410 sqft"
18,Apartment for Rent in Mount Lavinia,13 Jul 10:02 am,"Mount Lavinia, Colombo","75,000","*** NO BROKERS*** Unfurnished New Apartment For Rent.*** 5th floor*** 2 Bed Rooms ( Fully air-condition )*** 2 Bath Rooms ( 1 attached, 1 common bathroom )*** 24 hours Security service*** One Vehicle parking*** Walking distance from Galle road.*** Only for Maldivians*** 4-month deposit *** HALF MONTH AGENT FEE",Mount lavinia,2,2,900 sqft
19,Apartment for rent in Mount Lavinia,13 Jul  8:41 am,"Mount Lavinia, Colombo","85,000","*** NO BROKERS*** New Furnished Apartment For Rent.*** 2 Bed Rooms ( 2 air conditions )*** 2 Bath Rooms *** 24 hours Security service*** One Vehicle parking*** Swimming pool, Gym*** Nearby Supermarkets Schools, Restaurants, etc...*** Prefer to Maldivians and locals*** 6-month deposit ( negotiable )*** HALF MONTH AGENT FEE",Mount lavinia - Templers road,2,2,950 sqft
20,Apartment for Rent in Mount Lavinia,12 Jul  3:13 pm,"Mount Lavinia, Colombo","90,000","*** NO BROKERS*** Brand new Furnished Apartment For Rent in Mount Lavinia*** Two Airconditions*** 2 Bed Rooms.*** 2 Bath Rooms.*** 10m from Galle road ( walking distance )*** 24 hours Security service*** One Vehicle parking*** Nearby Supermarkets, Resturants, Schools, etc...*** Prefer for Maldivians and locals*** 3 months refundable deposit*** HALF MONTH AGENT FEE",Siripala road,2,2,900 sqft
21,3 Bed Room Apartment For Rent (APT1264) Mount Lavinia,19 Jul  9:25 am,"Mount Lavinia, Colombo","130,000","Address -41 Templers Road Mount Lavinia Span Tower*Access - Galle Road *Rent - 130000\=*Sqft - 1310*Floor- 9*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Facilities - Parking , Lift , Generator, Hot water,24/h",41  Templesrs Road  Mount Lavinia,3,2,"1,310 sqft"
22,3 Bed Room Apartment For Rent (APT1211) Mount Lavinia,19 Jul  9:31 am,"Mount Lavinia, Colombo","130,000","Address -41 Templers Road Mount Lavinia Span Tower*Access - Galle Road *Rent - 130000\=*Sqft - 1310*Floor- 9*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Facilities - Parking , Lift , Generator, Hot water,24/h",41  Templesrs Road  Mount Lavinia,3,2,"1,310 sqft"
23,Fully Furnished 2BHK Apartment For Rent in Mount Lavnia, 9 Jul  7:31 pm,"Mount Lavinia, Colombo","80,000",Fully Furnished Apartment For Rent in Mount Lavnia,"Sea Side, Mount Lavnia",2,2,"1,100 sqft"
24,Fully Luxury Furnished Apartment for Rent in Mt.Lavnia, 9 Jul  7:23 pm,"Mount Lavinia, Colombo","110,000","Luxury Apartment For Rent In Mount Lavinia.2 Bedroom2 Bathroom1270sqft110,000 rent","Mount Lavinia, sea side",2,2,"1,270 sqft"
25,3BD Furnished Apartment for Rent in Mt.Laviniya., 9 Jul 11:07 am,"Mount Lavinia, Colombo","100,000",STRICTLY NO AGENTS/BROKERS!,"SIRIPALA ROAD ,MOUNT LAVINIYA.",3,3,"1,300 sqft"
26,Apartment for rent in Mount Lavinia, 9 Jul 10:45 am,"Mount Lavinia, Colombo","67,500","*** NO BROKERS*** Unfurnished Apartment For Rent.*** Sea view*** 2 Bed Rooms ( Fully air-condition )*** 2 Bath Rooms ( 1 attached, 1 common bathroom )*** 24 hours Security service*** One Vehicle parking*** Walking distance from Galle road.*** Only for Maldivians*** 4-month deposit *** HALF MONTH AGENT FEE",Mount lavinia,2,2,960 sqft
27,Beach View 2 BR Apartment for Rent Mount Lavinia | Furnished, 8 Jul  5:10 pm,"Mount Lavinia, Colombo","99,000","Apartment for rent in Mount Lavinia2 Ocean view  Bedrooms2 Bathrooms2nd Recidential floor/ 6th Floor altogether Gym/Pool1 Parking spot3 A/C unitsFurnished -  Refrigerator, washing machine, stove top  cooker, 3 fans, 32 inch TV with stand, 1 wardrobe",2,2,910 sqft,
28,Apartment for Rent - Mount Lavinia,18 Jul  9:06 pm,"Mount Lavinia, Colombo","160,000",▶ 4 bedrooms with ATTACHED bathrooms▶ Spacious living room▶ Modern pantry cupboard▶ Fully air-conditioned bedrooms▶ Long term rent or lease▶ Can negotiate the price after inspection,4,4,"1,900 sqft",
29,Luxury Apartment for rent in Mount lavinia, 8 Jul 10:45 am,"Mount Lavinia, Colombo","115,000","This luxury brand new development enjoys a prime location on Mount Lavenia,' next to the Mount Lavenia Hotel.3-Bedroom Apartment is bright and airy with spacious open-plan living areas and There are breathtaking, unimpeded sea views from the lounge and bedrooms.","Avenue Nine apartment at Hotel road, Mount lavinia",3,3,"1,350 sqft"
30,Brand New 3 Bed Room Apartment (APT1017) Mount Lavinia,19 Jul  9:36 am,"Mount Lavinia, Colombo","130,000","Address -41Templers Road Mount Lavinia Span Tower*Access - Galle Road *Rent - 130000\=*Sqft - 1310*Floor- 9*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",41  Templesrs Road  Mount Lavinia,3,2,"1,310 sqft"
31,Brand New 3 Bed Room Apartment (APT950) Mount Lavinia,19 Jul  9:42 am,"Mount Lavinia, Colombo","130,000","Address -41Templers Road Mount Lavinia Span Tower*Access - Galle Road *Rent - 130000\=*Sqft - 1310*Floor- 9*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",41  Templesrs Road  Mount Lavinia,3,2,"1,310 sqft"
32,Brand New 3 Bed Room Apartment (APT907) Mount Lavinia,19 Jul  9:48 am,"Mount Lavinia, Colombo","130,000","Address -41Templers Road Mount Lavinia Span Tower*Access - Galle Road *Rent - 130000\=*Sqft - 1310*Floor- 9*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",41  Templesrs Road  Mount Lavinia,3,2,"1,310 sqft"
33,Brand New 3 Bed Room Apartment (apt808) Mount Lavinia,19 Jul  9:49 am,"Mount Lavinia, Colombo","130,000","Address -41Templers Road Mount Lavinia Span Tower*Access - Galle Road *Rent - 130000*Sqft - 1310*Floor- 9*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",41  Templesrs Road  Mount Lavinia,3,2,"1,310 sqft"
34,Brand New 3 Bed Room Apartment (APT793) Mount Lavinia,19 Jul  9:50 am,"Mount Lavinia, Colombo","130,000","Address -41Templers Road Mount Lavinia Span Tower*Access - Galle Road *Rent - 130000*Sqft - 1310*Floor- 9*Bedrooms -3*Bathrooms - 2*Servant Room - 1*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",41  Templesrs Road  Mount Lavinia,3,2,"1,310 sqft"
35,Apartment for Rent in Mount Lavinia, 6 Jul 11:13 am,"Mount Lavinia, Colombo","100,000","STAR  RESIDENCES  - MOUNT LAVINIALocation - 9/5 De Seram Road 3 bed rooms (2 with AC)2 bath rooms (both with hot water)Large living hallSpacious dining space modern kitchen/Pantry (separate room)Balconies for all rooms3rd floor (4th Level ))Colombo sky-line, sea and harbor viewsWalking distance from Galle road and all amenitiesWalking distance from St. Thomas' Collegeroof top swimming pool24 hours securityLift serviceDedicated car park slotUnfurnishedBeing rented out for the very first timeRent  Rs 100000 6 months advanceNo agent fees",9 / 5 De Seram Road - Mount Lavinia,3,2,"1,450 sqft"
36,Apartment for rent in Mount Lavinia, 6 Jul 10:04 am,"Mount Lavinia, Colombo","76,000","*** NO BROKERS*** Unfurnished Apartment For Rent.*** Sea view*** 2 Bed Rooms ( Fully air-condition )*** 2 Bath Rooms ( 1 attached, 1 common bathroom )*** 24 hours Security service*** One Vehicle parking*** Walking distance from Galle road.*** Only for Maldivians*** 4-month deposit *** HALF MONTH AGENT FEE",Mount Lavinia,2,2,940 sqft
